ID,Ticker,Direction,Entry Time,Entry Price,Exit Time,Exit Price,PnL $,Reason
1,SPX,SHORT,2026-01-20 10:30:00,6861.18,2026-01-20 15:55:00,6793.09,680.9000000000015,EOD Force Exit
2,QQQ,SHORT,2026-01-21 09:31:00,609.79,2026-01-21 09:55:00,611.635,-73.80000000000109,Stop Loss
3,SPX,LONG,2026-01-21 09:56:00,6841.69,2026-01-21 11:32:00,6858.51,168.20000000000618,Trailing Stop Hit
4,SPY,LONG,2026-01-21 11:33:00,683.568,2026-01-21 11:46:00,681.01,-255.79999999999927,Stop Loss
5,QQQ,LONG,2026-01-21 11:52:00,610.995,2026-01-21 12:12:00,608.95,-81.79999999999836,Stop Loss
6,SPX,LONG,2026-01-21 12:14:00,6806.56,2026-01-21 13:03:00,6810.92,43.599999999996726,Trailing Stop Hit
7,SPY,LONG,2026-01-21 13:04:00,678.74,2026-01-21 15:16:00,686.64,789.9999999999977,Trailing Stop Hit
8,SPX,LONG,2026-01-22 09:30:00,6919.76,2026-01-22 09:58:00,6898.46,-213.00000000000182,Stop Loss
9,SPY,LONG,2026-01-22 10:03:00,687.1,2026-01-22 14:45:00,689.605,250.49999999999955,Trailing Stop Hit
10,SPX,LONG,2026-01-22 14:46:00,6919.96,2026-01-22 15:55:00,6912.09,-78.69999999999891,EOD Force Exit
11,SPX,LONG,2026-01-23 09:43:00,6896.9,2026-01-23 11:33:00,6918.82,219.20000000000073,Trailing Stop Hit
12,SPY,LONG,2026-01-23 11:34:00,689.67,2026-01-23 15:55:00,689.06,-61.000000000001364,EOD Force Exit
