ticker,trade_date,feature_valid,invalid_reason,front_greek_target_rows,front_iv_target_rows,back_greek_target_rows,back_iv_target_rows,underlying_rows,underlying_out_of_scope_invalid_rows
QQQ,20230103,True,,376.0,376.0,484.0,484.0,391.0,0.0
QQQ,20230104,True,,372.0,372.0,484.0,484.0,391.0,0.0
QQQ,20230105,True,,340.0,340.0,484.0,484.0,391.0,0.0
QQQ,20230106,True,,484.0,484.0,468.0,468.0,391.0,0.0
QQQ,20230109,True,,340.0,340.0,468.0,468.0,391.0,0.0
QQQ,20230110,True,,340.0,340.0,484.0,484.0,391.0,0.0
QQQ,20230111,True,,380.0,380.0,484.0,484.0,391.0,0.0
QQQ,20230112,True,,380.0,380.0,484.0,484.0,391.0,0.0
QQQ,20230113,True,,484.0,484.0,692.0,692.0,391.0,0.0
QQQ,20230117,True,,396.0,396.0,692.0,692.0,391.0,0.0
QQQ,20230118,True,,396.0,396.0,692.0,692.0,391.0,0.0
QQQ,20230119,True,,368.0,368.0,692.0,692.0,391.0,0.0
QQQ,20230120,True,,692.0,692.0,480.0,480.0,391.0,0.0
QQQ,20230123,True,,376.0,376.0,492.0,492.0,391.0,0.0
QQQ,20230124,True,,376.0,376.0,492.0,492.0,391.0,0.0
QQQ,20230125,True,,404.0,404.0,508.0,508.0,391.0,0.0
QQQ,20230126,True,,404.0,404.0,508.0,508.0,391.0,0.0
QQQ,20230127,True,,508.0,508.0,496.0,496.0,391.0,0.0
QQQ,20230130,True,,428.0,428.0,512.0,512.0,391.0,0.0
QQQ,20230131,True,,428.0,428.0,512.0,512.0,391.0,0.0
QQQ,20230201,True,,432.0,432.0,512.0,512.0,391.0,0.0
QQQ,20230202,True,,436.0,436.0,512.0,512.0,391.0,0.0
QQQ,20230203,True,,512.0,512.0,544.0,544.0,391.0,0.0
QQQ,20230206,True,,444.0,444.0,544.0,544.0,391.0,0.0
QQQ,20230207,True,,444.0,444.0,544.0,544.0,391.0,0.0
QQQ,20230208,True,,452.0,452.0,544.0,544.0,391.0,0.0
QQQ,20230209,True,,452.0,452.0,544.0,544.0,391.0,0.0
QQQ,20230210,True,,544.0,544.0,588.0,588.0,391.0,0.0
QQQ,20230213,True,,464.0,464.0,588.0,588.0,391.0,0.0
QQQ,20230214,True,,464.0,464.0,588.0,588.0,391.0,0.0
QQQ,20230215,True,,428.0,428.0,588.0,588.0,391.0,0.0
QQQ,20230216,True,,428.0,428.0,588.0,588.0,391.0,0.0
QQQ,20230217,True,,588.0,588.0,536.0,536.0,391.0,0.0
QQQ,20230221,True,,416.0,416.0,536.0,536.0,391.0,0.0
QQQ,20230222,True,,416.0,416.0,536.0,536.0,391.0,0.0
QQQ,20230223,True,,372.0,372.0,536.0,536.0,391.0,0.0
QQQ,20230224,True,,536.0,536.0,480.0,480.0,391.0,0.0
QQQ,20230227,True,,428.0,428.0,484.0,484.0,391.0,0.0
QQQ,20230228,True,,428.0,428.0,484.0,484.0,391.0,0.0
QQQ,20230301,True,,428.0,428.0,484.0,484.0,391.0,0.0
QQQ,20230302,True,,392.0,392.0,484.0,484.0,391.0,0.0
QQQ,20230303,True,,484.0,484.0,472.0,472.0,391.0,0.0
QQQ,20230306,True,,384.0,384.0,476.0,476.0,391.0,0.0
QQQ,20230307,True,,384.0,384.0,476.0,476.0,391.0,0.0
QQQ,20230308,True,,372.0,372.0,492.0,492.0,391.0,0.0
QQQ,20230309,True,,392.0,392.0,492.0,492.0,391.0,0.0
QQQ,20230310,True,,492.0,492.0,648.0,648.0,391.0,0.0
QQQ,20230313,True,,388.0,388.0,660.0,660.0,391.0,0.0
QQQ,20230314,True,,388.0,388.0,660.0,660.0,391.0,0.0
QQQ,20230315,True,,436.0,436.0,660.0,660.0,391.0,0.0
QQQ,20230316,True,,392.0,392.0,660.0,660.0,391.0,0.0
QQQ,20230317,True,,660.0,660.0,524.0,524.0,391.0,0.0
QQQ,20230320,True,,416.0,416.0,556.0,556.0,391.0,0.0
QQQ,20230321,True,,416.0,416.0,556.0,556.0,391.0,0.0
QQQ,20230322,True,,444.0,444.0,556.0,556.0,391.0,0.0
QQQ,20230323,True,,460.0,460.0,584.0,584.0,391.0,0.0
QQQ,20230324,True,,584.0,584.0,756.0,756.0,391.0,0.0
QQQ,20230327,True,,488.0,488.0,756.0,756.0,391.0,0.0
QQQ,20230328,True,,456.0,456.0,756.0,756.0,391.0,0.0
QQQ,20230329,True,,456.0,456.0,756.0,756.0,391.0,0.0
QQQ,20230330,True,,448.0,448.0,756.0,756.0,391.0,0.0
QQQ,20230331,True,,756.0,756.0,524.0,524.0,391.0,0.0
QQQ,20230403,True,,412.0,412.0,524.0,524.0,391.0,0.0
QQQ,20230404,True,,408.0,408.0,540.0,540.0,391.0,0.0
QQQ,20230405,True,,428.0,428.0,540.0,540.0,391.0,0.0
QQQ,20230406,True,,540.0,540.0,524.0,524.0,391.0,0.0
QQQ,20230410,True,,460.0,460.0,524.0,524.0,391.0,0.0
QQQ,20230411,True,,432.0,432.0,524.0,524.0,391.0,0.0
QQQ,20230412,True,,400.0,400.0,524.0,524.0,391.0,0.0
QQQ,20230413,True,,428.0,428.0,524.0,524.0,391.0,0.0
QQQ,20230414,True,,524.0,524.0,588.0,588.0,391.0,0.0
QQQ,20230417,True,,396.0,396.0,588.0,588.0,391.0,0.0
QQQ,20230418,True,,396.0,396.0,588.0,588.0,391.0,0.0
QQQ,20230419,True,,396.0,396.0,588.0,588.0,391.0,0.0
QQQ,20230420,True,,408.0,408.0,588.0,588.0,391.0,0.0
QQQ,20230421,True,,588.0,588.0,520.0,520.0,391.0,0.0
QQQ,20230424,True,,392.0,392.0,524.0,524.0,391.0,0.0
QQQ,20230425,True,,396.0,396.0,524.0,524.0,391.0,0.0
QQQ,20230426,True,,400.0,400.0,528.0,528.0,391.0,0.0
QQQ,20230427,True,,408.0,408.0,528.0,528.0,391.0,0.0
QQQ,20230428,True,,528.0,528.0,512.0,512.0,391.0,0.0
QQQ,20230501,True,,416.0,416.0,532.0,532.0,391.0,0.0
QQQ,20230502,True,,492.0,492.0,532.0,532.0,391.0,0.0
QQQ,20230503,True,,492.0,492.0,532.0,532.0,391.0,0.0
QQQ,20230504,True,,424.0,424.0,532.0,532.0,391.0,0.0
QQQ,20230505,True,,532.0,532.0,504.0,504.0,391.0,0.0
QQQ,20230508,True,,416.0,416.0,504.0,504.0,391.0,0.0
QQQ,20230509,True,,416.0,416.0,504.0,504.0,391.0,0.0
QQQ,20230510,True,,416.0,416.0,504.0,504.0,391.0,0.0
QQQ,20230511,True,,404.0,404.0,504.0,504.0,391.0,0.0
QQQ,20230512,True,,504.0,504.0,596.0,596.0,391.0,0.0
QQQ,20230515,True,,420.0,420.0,660.0,660.0,391.0,0.0
QQQ,20230516,True,,424.0,424.0,660.0,660.0,391.0,0.0
QQQ,20230517,True,,448.0,448.0,668.0,668.0,391.0,0.0
QQQ,20230518,True,,420.0,420.0,668.0,668.0,391.0,0.0
QQQ,20230519,True,,668.0,668.0,532.0,532.0,391.0,0.0
QQQ,20230522,True,,456.0,456.0,540.0,540.0,391.0,0.0
QQQ,20230523,True,,456.0,456.0,540.0,540.0,391.0,0.0
QQQ,20230524,True,,456.0,456.0,540.0,540.0,391.0,0.0
QQQ,20230525,True,,456.0,456.0,540.0,540.0,391.0,0.0
QQQ,20230526,True,,540.0,540.0,516.0,516.0,391.0,0.0
QQQ,20230530,True,,448.0,448.0,516.0,516.0,391.0,0.0
QQQ,20230531,True,,424.0,424.0,560.0,560.0,391.0,0.0
QQQ,20230601,True,,484.0,484.0,560.0,560.0,391.0,0.0
QQQ,20230602,True,,560.0,560.0,556.0,556.0,391.0,0.0
QQQ,20230605,True,,480.0,480.0,556.0,556.0,391.0,0.0
QQQ,20230606,True,,484.0,484.0,556.0,556.0,391.0,0.0
QQQ,20230607,True,,468.0,468.0,572.0,572.0,391.0,0.0
QQQ,20230608,True,,484.0,484.0,572.0,572.0,391.0,0.0
QQQ,20230609,True,,572.0,572.0,812.0,812.0,391.0,0.0
QQQ,20230612,True,,460.0,460.0,816.0,816.0,391.0,0.0
QQQ,20230613,True,,468.0,468.0,820.0,820.0,391.0,0.0
QQQ,20230614,True,,468.0,468.0,820.0,820.0,391.0,0.0
QQQ,20230615,True,,464.0,464.0,820.0,820.0,391.0,0.0
QQQ,20230616,True,,820.0,820.0,584.0,584.0,391.0,0.0
QQQ,20230620,True,,468.0,468.0,584.0,584.0,391.0,0.0
QQQ,20230621,True,,464.0,464.0,584.0,584.0,391.0,0.0
QQQ,20230622,True,,464.0,464.0,584.0,584.0,391.0,0.0
QQQ,20230623,True,,584.0,584.0,684.0,684.0,391.0,0.0
QQQ,20230626,False,AssertionError: no persistent signable CALL 25-delta contract,,,,,,
QQQ,20230627,True,,204.0,204.0,684.0,684.0,391.0,0.0
QQQ,20230628,True,,204.0,204.0,684.0,684.0,391.0,0.0
QQQ,20230629,True,,212.0,212.0,760.0,760.0,391.0,0.0
QQQ,20230630,True,,760.0,760.0,540.0,540.0,391.0,0.0
QQQ,20230703,True,,460.0,460.0,548.0,548.0,391.0,0.0
QQQ,20230705,True,,460.0,460.0,548.0,548.0,391.0,0.0
QQQ,20230706,True,,460.0,460.0,568.0,568.0,391.0,0.0
QQQ,20230707,True,,568.0,568.0,564.0,564.0,391.0,0.0
QQQ,20230710,True,,468.0,468.0,564.0,564.0,391.0,0.0
