ticker,trade_date,local_feature_valid,local_invalid_reason,front_greek_vintage_target_rows,front_iv_vintage_target_rows,front_native_target_rows,front_native_extra_vs_greek_rows,front_native_extra_vs_iv_rows,front_clock_key_coverage_exact,front_storage_generation,front_shared_key_rows,front_greek_only_key_rows,front_iv_only_key_rows,back_greek_vintage_target_rows,back_iv_vintage_target_rows,back_native_target_rows,back_native_extra_vs_greek_rows,back_native_extra_vs_iv_rows,back_clock_key_coverage_exact,back_storage_generation,back_shared_key_rows,back_greek_only_key_rows,back_iv_only_key_rows
QQQ,20240102,True,,656.0,656.0,656.0,0.0,0.0,True,V1,656.0,0.0,0.0,1264.0,1264.0,1264.0,0.0,0.0,True,V1,1264.0,0.0,0.0
QQQ,20240103,True,,656.0,656.0,656.0,0.0,0.0,True,V1,656.0,0.0,0.0,1264.0,1264.0,1264.0,0.0,0.0,True,V1,1264.0,0.0,0.0
QQQ,20240104,True,,656.0,656.0,656.0,0.0,0.0,True,V1,656.0,0.0,0.0,1264.0,1264.0,1264.0,0.0,0.0,True,V1,1264.0,0.0,0.0
QQQ,20240105,True,,1264.0,1264.0,1264.0,0.0,0.0,True,V1,1264.0,0.0,0.0,804.0,804.0,804.0,0.0,0.0,True,V1,804.0,0.0,0.0
QQQ,20240108,True,,568.0,568.0,568.0,0.0,0.0,True,V1,568.0,0.0,0.0,804.0,804.0,804.0,0.0,0.0,True,V1,804.0,0.0,0.0
QQQ,20240109,True,,568.0,568.0,568.0,0.0,0.0,True,V1,568.0,0.0,0.0,804.0,804.0,804.0,0.0,0.0,True,V1,804.0,0.0,0.0
QQQ,20240110,True,,508.0,508.0,508.0,0.0,0.0,True,V1,508.0,0.0,0.0,816.0,816.0,816.0,0.0,0.0,True,V1,816.0,0.0,0.0
QQQ,20240111,True,,528.0,528.0,528.0,0.0,0.0,True,V1,528.0,0.0,0.0,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0
QQQ,20240112,True,,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0,1092.0,1092.0,1092.0,0.0,0.0,True,V1,1092.0,0.0,0.0
QQQ,20240116,True,,504.0,504.0,504.0,0.0,0.0,True,V1,504.0,0.0,0.0,1092.0,1092.0,1092.0,0.0,0.0,True,V1,1092.0,0.0,0.0
QQQ,20240117,True,,512.0,512.0,512.0,0.0,0.0,True,V1,512.0,0.0,0.0,1092.0,1092.0,1092.0,0.0,0.0,True,V1,1092.0,0.0,0.0
QQQ,20240118,True,,512.0,512.0,512.0,0.0,0.0,True,V1,512.0,0.0,0.0,1092.0,1092.0,1092.0,0.0,0.0,True,V1,1092.0,0.0,0.0
QQQ,20240119,True,,1092.0,1092.0,1092.0,0.0,0.0,True,V1,1092.0,0.0,0.0,708.0,708.0,708.0,0.0,0.0,True,V1,708.0,0.0,0.0
QQQ,20240122,True,,548.0,548.0,548.0,0.0,0.0,True,V1,548.0,0.0,0.0,832.0,832.0,832.0,0.0,0.0,True,V1,832.0,0.0,0.0
QQQ,20240123,True,,548.0,548.0,548.0,0.0,0.0,True,V1,548.0,0.0,0.0,832.0,832.0,832.0,0.0,0.0,True,V1,832.0,0.0,0.0
QQQ,20240124,True,,524.0,524.0,524.0,0.0,0.0,True,V1,524.0,0.0,0.0,832.0,832.0,832.0,0.0,0.0,True,V1,832.0,0.0,0.0
QQQ,20240125,True,,500.0,500.0,500.0,0.0,0.0,True,V1,500.0,0.0,0.0,880.0,880.0,880.0,0.0,0.0,True,V1,880.0,0.0,0.0
QQQ,20240126,True,,880.0,880.0,880.0,0.0,0.0,True,V1,880.0,0.0,0.0,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0
QQQ,20240129,True,,560.0,560.0,560.0,0.0,0.0,True,V1,560.0,0.0,0.0,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0
QQQ,20240130,True,,560.0,560.0,560.0,0.0,0.0,True,V1,560.0,0.0,0.0,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0
QQQ,20240131,True,,560.0,560.0,560.0,0.0,0.0,True,V1,560.0,0.0,0.0,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0
QQQ,20240201,True,,560.0,560.0,560.0,0.0,0.0,True,V1,560.0,0.0,0.0,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0
QQQ,20240202,True,,856.0,856.0,856.0,0.0,0.0,True,V1,856.0,0.0,0.0,600.0,600.0,600.0,0.0,0.0,True,V1,600.0,0.0,0.0
QQQ,20240205,True,,524.0,524.0,524.0,0.0,0.0,True,V1,524.0,0.0,0.0,608.0,608.0,608.0,0.0,0.0,True,V1,608.0,0.0,0.0
QQQ,20240206,True,,524.0,524.0,524.0,0.0,0.0,True,V1,524.0,0.0,0.0,608.0,608.0,608.0,0.0,0.0,True,V1,608.0,0.0,0.0
QQQ,20240207,True,,524.0,524.0,524.0,0.0,0.0,True,V1,524.0,0.0,0.0,608.0,608.0,608.0,0.0,0.0,True,V1,608.0,0.0,0.0
QQQ,20240208,True,,552.0,552.0,552.0,0.0,0.0,True,V1,552.0,0.0,0.0,608.0,608.0,608.0,0.0,0.0,True,V1,608.0,0.0,0.0
QQQ,20240209,True,,608.0,608.0,608.0,0.0,0.0,True,V1,608.0,0.0,0.0,988.0,988.0,988.0,0.0,0.0,True,V1,988.0,0.0,0.0
