ticker,month,events,frequency_pass,month_complete,july_mtd
QQQ,202601,20,True,True,False
QQQ,202602,19,True,True,False
QQQ,202603,21,True,True,False
QQQ,202604,18,True,True,False
QQQ,202605,20,True,True,False
QQQ,202606,20,True,True,False
QQQ,202607,12,False,False,True
SPXW,202601,20,True,True,False
SPXW,202602,19,True,True,False
SPXW,202603,21,True,True,False
SPXW,202604,18,True,True,False
SPXW,202605,20,True,True,False
SPXW,202606,21,True,True,False
SPXW,202607,13,True,False,True
SPY,202601,20,True,True,False
SPY,202602,19,True,True,False
SPY,202603,21,True,True,False
SPY,202604,18,True,True,False
SPY,202605,20,True,True,False
SPY,202606,21,True,True,False
SPY,202607,13,True,False,True
