ticker,trade_date,front_generation,front_greek_rows,front_iv_rows,back_generation,back_greek_rows,back_iv_rows
QQQ,20260102,VINTAGE,508,508,VINTAGE,472,472
QQQ,20260105,VINTAGE,388,388,VINTAGE,472,472
QQQ,20260106,VINTAGE,388,388,VINTAGE,472,472
QQQ,20260107,VINTAGE,384,384,VINTAGE,472,472
QQQ,20260108,VINTAGE,384,384,VINTAGE,472,472
QQQ,20260109,VINTAGE,492,492,VINTAGE,864,864
QQQ,20260112,VINTAGE,400,400,VINTAGE,864,864
QQQ,20260113,VINTAGE,400,400,VINTAGE,864,864
QQQ,20260114,VINTAGE,400,400,VINTAGE,864,864
QQQ,20260115,VINTAGE,400,400,VINTAGE,864,864
QQQ,20260116,VINTAGE,864,864,VINTAGE,448,448
QQQ,20260120,VINTAGE,380,380,VINTAGE,448,448
QQQ,20260121,VINTAGE,380,380,VINTAGE,448,448
QQQ,20260122,VINTAGE,380,380,VINTAGE,464,464
QQQ,20260123,VINTAGE,464,464,VINTAGE,696,696
QQQ,20260126,VINTAGE,424,424,VINTAGE,696,696
QQQ,20260127,VINTAGE,440,440,VINTAGE,696,696
QQQ,20260128,VINTAGE,400,400,VINTAGE,696,696
QQQ,20260129,VINTAGE,412,412,VINTAGE,752,752
QQQ,20260130,VINTAGE,752,752,VINTAGE,528,528
QQQ,20260202,VINTAGE,412,412,VINTAGE,528,528
QQQ,20260203,VINTAGE,448,448,VINTAGE,560,560
QQQ,20260204,VINTAGE,448,448,VINTAGE,560,560
QQQ,20260205,VINTAGE,444,444,VINTAGE,596,596
QQQ,20260206,VINTAGE,688,688,VINTAGE,688,688
QQQ,20260209,VINTAGE,572,572,VINTAGE,688,688
QQQ,20260210,VINTAGE,572,572,VINTAGE,688,688
QQQ,20260211,VINTAGE,596,596,VINTAGE,688,688
QQQ,20260212,VINTAGE,572,572,VINTAGE,688,688
QQQ,20260213,VINTAGE,688,688,VINTAGE,960,960
QQQ,20260217,VINTAGE,528,528,VINTAGE,960,960
QQQ,20260218,VINTAGE,528,528,VINTAGE,960,960
QQQ,20260219,VINTAGE,540,540,VINTAGE,960,960
QQQ,20260220,VINTAGE,960,960,VINTAGE,732,732
QQQ,20260223,VINTAGE,456,456,VINTAGE,732,732
QQQ,20260224,VINTAGE,480,480,VINTAGE,732,732
QQQ,20260225,VINTAGE,508,508,VINTAGE,732,732
QQQ,20260226,VINTAGE,460,460,VINTAGE,732,732
QQQ,20260227,VINTAGE,732,732,VINTAGE,568,568
QQQ,20260302,VINTAGE,556,556,VINTAGE,696,696
QQQ,20260303,VINTAGE,668,668,VINTAGE,808,808
QQQ,20260304,VINTAGE,668,668,VINTAGE,816,816
QQQ,20260305,VINTAGE,668,668,VINTAGE,816,816
QQQ,20260306,VINTAGE,816,816,VINTAGE,656,656
QQQ,20260309,VINTAGE,556,556,VINTAGE,656,656
QQQ,20260311,VINTAGE,508,508,VINTAGE,656,656
QQQ,20260312,VINTAGE,508,508,VINTAGE,656,656
QQQ,20260313,VINTAGE,656,656,VINTAGE,872,872
QQQ,20260316,VINTAGE,508,508,VINTAGE,872,872
QQQ,20260317,VINTAGE,480,480,VINTAGE,872,872
QQQ,20260318,VINTAGE,480,480,VINTAGE,872,872
QQQ,20260319,VINTAGE,476,476,VINTAGE,872,872
QQQ,20260320,VINTAGE,872,872,VINTAGE,608,608
QQQ,20260323,VINTAGE,476,476,VINTAGE,608,608
QQQ,20260324,VINTAGE,540,540,VINTAGE,608,608
QQQ,20260325,VINTAGE,540,540,VINTAGE,608,608
QQQ,20260326,VINTAGE,544,544,VINTAGE,608,608
QQQ,20260327,VINTAGE,608,608,VINTAGE,560,560
QQQ,20260330,VINTAGE,480,480,VINTAGE,656,656
QQQ,20260331,VINTAGE,936,936,VINTAGE,656,656
QQQ,20260402,VINTAGE,656,656,VINTAGE,560,560
QQQ,20260406,VINTAGE,480,480,VINTAGE,560,560
QQQ,20260407,VINTAGE,476,476,VINTAGE,560,560
QQQ,20260408,VINTAGE,476,476,VINTAGE,592,592
QQQ,20260410,VINTAGE,592,592,VINTAGE,908,908
QQQ,20260413,VINTAGE,556,556,VINTAGE,908,908
QQQ,20260414,VINTAGE,532,532,VINTAGE,908,908
QQQ,20260416,VINTAGE,532,532,VINTAGE,908,908
QQQ,20260417,VINTAGE,908,908,VINTAGE,800,800
QQQ,20260420,VINTAGE,624,624,VINTAGE,848,848
QQQ,20260421,VINTAGE,624,624,VINTAGE,848,848
QQQ,20260422,VINTAGE,592,592,VINTAGE,848,848
QQQ,20260423,VINTAGE,560,560,VINTAGE,848,848
QQQ,20260424,VINTAGE,848,848,VINTAGE,828,828
QQQ,20260427,VINTAGE,572,572,VINTAGE,828,828
QQQ,20260428,VINTAGE,688,688,VINTAGE,988,988
QQQ,20260429,VINTAGE,688,688,VINTAGE,988,988
QQQ,20260430,VINTAGE,792,792,VINTAGE,988,988
QQQ,20260501,VINTAGE,988,988,VINTAGE,1056,1056
QQQ,20260504,VINTAGE,592,592,VINTAGE,1056,1056
QQQ,20260505,VINTAGE,520,520,VINTAGE,1084,1084
QQQ,20260506,VINTAGE,552,552,VINTAGE,1100,1100
QQQ,20260507,VINTAGE,568,568,VINTAGE,1100,1100
QQQ,20260508,VINTAGE,1100,1100,VINTAGE,1084,1084
QQQ,20260511,VINTAGE,768,768,VINTAGE,1192,1192
QQQ,20260512,VINTAGE,688,688,VINTAGE,1192,1192
QQQ,20260513,VINTAGE,624,624,VINTAGE,1192,1192
QQQ,20260514,VINTAGE,608,608,VINTAGE,1192,1192
QQQ,20260515,VINTAGE,1192,1192,VINTAGE,1216,1216
QQQ,20260518,VINTAGE,600,600,VINTAGE,1216,1216
QQQ,20260519,VINTAGE,716,716,VINTAGE,1216,1216
QQQ,20260520,VINTAGE,720,720,VINTAGE,1216,1216
QQQ,20260521,VINTAGE,564,564,VINTAGE,1216,1216
QQQ,20260522,VINTAGE,1216,1216,VINTAGE,976,976
QQQ,20260526,VINTAGE,496,496,VINTAGE,976,976
QQQ,20260527,VINTAGE,688,688,VINTAGE,1172,1172
QQQ,20260528,VINTAGE,684,684,VINTAGE,1172,1172
QQQ,20260529,VINTAGE,1172,1172,VINTAGE,1228,1228
QQQ,20260601,VINTAGE,700,700,VINTAGE,1228,1228
QQQ,20260602,VINTAGE,700,700,VINTAGE,1228,1228
QQQ,20260603,VINTAGE,704,704,VINTAGE,1248,1248
QQQ,20260604,VINTAGE,720,720,VINTAGE,1248,1248
QQQ,20260605,VINTAGE,1248,1248,VINTAGE,952,952
QQQ,20260608,VINTAGE,676,676,VINTAGE,952,952
QQQ,20260609,VINTAGE,656,656,VINTAGE,952,952
QQQ,20260610,VINTAGE,660,660,VINTAGE,952,952
QQQ,20260611,VINTAGE,748,748,VINTAGE,952,952
QQQ,20260612,VINTAGE,952,952,VINTAGE,1252,1252
QQQ,20260615,VINTAGE,808,808,VINTAGE,1252,1252
QQQ,20260616,VINTAGE,836,836,VINTAGE,1252,1252
QQQ,20260617,VINTAGE,868,868,VINTAGE,1252,1252
QQQ,20260618,VINTAGE,1252,1252,VINTAGE,772,772
QQQ,20260622,VINTAGE,688,688,VINTAGE,772,772
QQQ,20260623,VINTAGE,688,688,VINTAGE,772,772
QQQ,20260624,RETRY,688,688,VINTAGE,772,772
QQQ,20260625,VINTAGE,608,608,VINTAGE,772,772
QQQ,20260626,RETRY,800,800,VINTAGE,700,700
QQQ,20260629,VINTAGE,788,788,VINTAGE,700,700
QQQ,20260702,VINTAGE,700,700,VINTAGE,768,768
QQQ,20260706,VINTAGE,736,736,VINTAGE,856,856
QQQ,20260708,VINTAGE,732,732,VINTAGE,856,856
QQQ,20260709,VINTAGE,732,732,VINTAGE,856,856
QQQ,20260713,VINTAGE,756,756,VINTAGE,1184,1184
QQQ,20260714,VINTAGE,712,712,VINTAGE,1184,1184
QQQ,20260715,VINTAGE,736,736,VINTAGE,1184,1184
QQQ,20260717,VINTAGE,1184,1184,VINTAGE,756,756
QQQ,20260720,VINTAGE,708,708,VINTAGE,764,764
QQQ,20260721,VINTAGE,680,680,VINTAGE,948,948
QQQ,20260723,VINTAGE,848,848,VINTAGE,948,948
QQQ,20260724,VINTAGE,948,948,VINTAGE,992,992
SPY,20260102,VINTAGE,556,556,VINTAGE,476,476
SPY,20260105,VINTAGE,588,588,VINTAGE,476,476
SPY,20260106,VINTAGE,588,588,VINTAGE,524,524
SPY,20260107,VINTAGE,556,556,VINTAGE,524,524
SPY,20260108,VINTAGE,516,516,VINTAGE,524,524
SPY,20260109,VINTAGE,536,536,VINTAGE,1040,1040
SPY,20260112,VINTAGE,612,612,VINTAGE,1040,1040
SPY,20260113,VINTAGE,612,612,VINTAGE,1040,1040
SPY,20260114,VINTAGE,612,612,VINTAGE,1040,1040
SPY,20260115,VINTAGE,612,612,VINTAGE,1040,1040
SPY,20260116,VINTAGE,1040,1040,VINTAGE,708,708
SPY,20260120,VINTAGE,748,748,VINTAGE,708,708
SPY,20260121,VINTAGE,748,748,VINTAGE,708,708
SPY,20260122,VINTAGE,748,748,VINTAGE,708,708
SPY,20260123,VINTAGE,708,708,VINTAGE,1004,1004
SPY,20260126,VINTAGE,636,636,VINTAGE,1004,1004
SPY,20260127,VINTAGE,636,636,VINTAGE,1004,1004
SPY,20260128,VINTAGE,636,636,VINTAGE,1004,1004
SPY,20260129,VINTAGE,592,592,VINTAGE,1004,1004
SPY,20260130,VINTAGE,1004,1004,VINTAGE,552,552
SPY,20260202,VINTAGE,592,592,VINTAGE,552,552
SPY,20260203,VINTAGE,588,588,VINTAGE,560,560
SPY,20260204,VINTAGE,596,596,VINTAGE,560,560
SPY,20260205,VINTAGE,584,584,VINTAGE,576,576
SPY,20260206,VINTAGE,616,616,VINTAGE,596,596
SPY,20260209,VINTAGE,644,644,VINTAGE,596,596
SPY,20260210,VINTAGE,668,668,VINTAGE,612,612
SPY,20260211,VINTAGE,704,704,VINTAGE,612,612
SPY,20260212,VINTAGE,652,652,VINTAGE,612,612
