sensor,month,expected_captures,completed_captures,failed_captures,minimum_13_source_captures_pass,zero_missing_pass
QQQ,202301,20,20,0,True,True
QQQ,202302,19,19,0,True,True
QQQ,202303,23,23,0,True,True
QQQ,202304,19,19,0,True,True
QQQ,202305,22,22,0,True,True
QQQ,202306,21,21,0,True,True
QQQ,202307,20,20,0,True,True
QQQ,202308,23,23,0,True,True
QQQ,202309,20,18,2,True,False
QQQ,202310,22,12,10,False,False
QQQ,202311,21,16,5,True,False
QQQ,202312,20,5,15,False,False
QQQ,202401,21,0,21,False,False
QQQ,202402,20,18,2,True,False
QQQ,202403,20,20,0,True,True
QQQ,202404,22,21,1,True,False
QQQ,202405,22,22,0,True,True
QQQ,202406,19,18,1,True,False
QQQ,202407,22,22,0,True,True
QQQ,202408,22,22,0,True,True
QQQ,202409,20,20,0,True,True
QQQ,202410,23,23,0,True,True
QQQ,202411,20,20,0,True,True
QQQ,202412,21,21,0,True,True
QQQ,202501,20,20,0,True,True
QQQ,202502,19,19,0,True,True
QQQ,202503,21,21,0,True,True
QQQ,202504,21,19,2,True,False
QQQ,202505,21,21,0,True,True
QQQ,202506,20,20,0,True,True
QQQ,202507,22,22,0,True,True
QQQ,202508,21,21,0,True,True
QQQ,202509,21,20,1,True,False
QQQ,202510,23,23,0,True,True
QQQ,202511,19,14,5,True,False
QQQ,202512,22,22,0,True,True
SPY,202301,20,20,0,True,True
SPY,202302,19,19,0,True,True
SPY,202303,23,23,0,True,True
SPY,202304,19,19,0,True,True
SPY,202305,22,22,0,True,True
SPY,202306,21,21,0,True,True
SPY,202307,20,20,0,True,True
SPY,202308,23,23,0,True,True
SPY,202309,20,19,1,True,False
SPY,202310,22,8,14,False,False
SPY,202311,21,15,6,True,False
SPY,202312,20,3,17,False,False
SPY,202401,21,0,21,False,False
SPY,202402,20,17,3,True,False
SPY,202403,20,20,0,True,True
SPY,202404,22,22,0,True,True
SPY,202405,22,22,0,True,True
SPY,202406,19,18,1,True,False
SPY,202407,22,21,1,True,False
SPY,202408,22,21,1,True,False
SPY,202409,20,20,0,True,True
SPY,202410,23,23,0,True,True
SPY,202411,20,19,1,True,False
SPY,202412,21,19,2,True,False
SPY,202501,20,20,0,True,True
SPY,202502,19,19,0,True,True
SPY,202503,21,20,1,True,False
SPY,202504,21,19,2,True,False
SPY,202505,21,20,1,True,False
SPY,202506,20,20,0,True,True
SPY,202507,22,22,0,True,True
SPY,202508,21,21,0,True,True
SPY,202509,21,21,0,True,True
SPY,202510,23,23,0,True,True
SPY,202511,19,16,3,True,False
SPY,202512,22,22,0,True,True
