min_hold_minutes,stop_loss_pct,take_profit_pct,horizon_minutes,passes,score,overall_trades,overall_win_rate,overall_profit_factor,overall_avg_return,overall_avg_hold_minutes,overall_median_hold_minutes,overall_min_month_trades,overall_avg_month_trades,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_avg_return,QQQ_avg_hold_minutes,QQQ_median_hold_minutes,QQQ_min_month_trades,QQQ_avg_month_trades,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_avg_return,SPXW_avg_hold_minutes,SPXW_median_hold_minutes,SPXW_min_month_trades,SPXW_avg_month_trades,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_avg_return,SPY_avg_hold_minutes,SPY_median_hold_minutes,SPY_min_month_trades,SPY_avg_month_trades
0,0.6,0.5,180,False,9.871097120716444,374,0.5401069518716578,0.9825852968739115,-0.004721220693202799,42.00534759358289,33.0,55,62.333333333333336,119,0.5714285714285714,1.1085654473332451,0.027666989017523756,40.134453781512605,31.0,18,19.833333333333332,132,0.5303030303030303,0.958083263190293,-0.011510149346411473,43.03787878787879,33.0,18,22.0,123,0.5203252032520326,0.8983716249874846,-0.02877047576111266,42.707317073170735,34.0,19,20.5
0,0.8,0.5,180,False,8.851911600269034,374,0.5962566844919787,0.9514505560533707,-0.014977866929184463,64.78877005347593,53.0,55,62.333333333333336,119,0.6302521008403361,1.1016158267563483,0.028502862717321373,63.865546218487395,45.0,18,19.833333333333332,132,0.5833333333333334,0.9068171455923834,-0.029758817535100263,62.053030303030305,50.5,18,22.0,123,0.5772357723577236,0.8728797582488157,-0.04118210553043087,68.6178861788618,56.0,19,20.5
0,1.0,0.5,180,False,4.906335470214434,374,0.6042780748663101,0.9102576962933601,-0.029233179452978562,94.1336898395722,69.0,55,62.333333333333336,119,0.6386554621848739,1.066073935423604,0.01921161502738998,88.66386554621849,55.0,18,19.833333333333332,132,0.5984848484848485,0.8832430784005276,-0.03928407909620491,93.99242424242425,74.0,18,22.0,123,0.5772357723577236,0.8123614841294784,-0.06531620213800278,99.57723577235772,86.0,19,20.5
10,0.6,0.5,180,False,4.421130936319122,374,0.5267379679144385,0.9304004446260327,-0.01942710304614397,43.88770053475936,33.0,55,62.333333333333336,119,0.5630252100840336,1.0708905544347829,0.018423291538532165,41.49579831932773,31.0,18,19.833333333333332,132,0.5227272727272727,0.9289123330327654,-0.019843482679744805,44.79545454545455,33.0,18,22.0,123,0.4959349593495935,0.8132538873310465,-0.055599744053795586,45.22764227642276,35.0,19,20.5
10,0.8,0.5,180,False,3.3079819601885143,374,0.5828877005347594,0.9009531994534205,-0.031534481669351945,67.61497326203208,55.0,55,62.333333333333336,119,0.6218487394957983,1.061202406753073,0.017578492969422214,65.40336134453781,46.0,18,19.833333333333332,132,0.5757575757575758,0.8782886562458465,-0.03960730238358511,64.31818181818181,55.0,18,22.0,123,0.5528455284552846,0.7935698482142074,-0.07038677148833848,73.29268292682927,61.0,19,20.5
10,1.0,0.5,180,False,-0.5249740326988208,374,0.5909090909090909,0.8622532286333962,-0.04630065632213405,97.56684491978609,76.5,55,62.333333333333336,119,0.6302521008403361,1.0229084171865552,0.006847817838386458,91.07563025210084,56.0,18,19.833333333333332,132,0.5909090909090909,0.8574210817850095,-0.0487870030422372,96.84848484848484,82.0,18,22.0,123,0.5528455284552846,0.7400360526309347,-0.0950524502900066,104.6178861788618,101.0,19,20.5
0,0.8,0.75,180,False,-2.9738640809789176,374,0.48663101604278075,0.9175736564455436,-0.031950766570532585,81.0,71.0,55,62.333333333333336,119,0.5294117647058824,1.0872719008380916,0.030699809254418113,78.8655462184874,64.0,18,19.833333333333332,132,0.49242424242424243,0.932804512329331,-0.02631893089335296,75.23484848484848,67.5,18,22.0,123,0.43902439024390244,0.7640807837875936,-0.09860784651001911,89.2520325203252,79.0,19,20.5
0,1.0,0.75,180,False,-5.4502040974859804,374,0.49732620320855614,0.8936649034117253,-0.04284224736622388,115.64973262032086,180.0,55,62.333333333333336,119,0.5378151260504201,1.0447181116774822,0.016412919202053365,108.9327731092437,172.0,18,19.833333333333332,132,0.5151515151515151,0.9318992259571764,-0.027542059693925938,113.39393939393939,154.5,18,22.0,123,0.43902439024390244,0.7325639743608817,-0.11659013024726712,124.5691056910569,180.0,19,20.5
0,1.0,1.0,180,False,-6.009928598479901,374,0.44919786096256686,0.9689936102486424,-0.013548545685497702,126.04812834224599,180.0,55,62.333333333333336,119,0.5042016806722689,1.1742792866722178,0.06842442672303746,119.08403361344538,180.0,18,19.833333333333332,132,0.45454545454545453,0.974559414350163,-0.011415967422551633,125.21969696969697,180.0,18,22.0,123,0.3902439024390244,0.7963658408950537,-0.09514435094829912,133.6747967479675,180.0,19,20.5
0,0.6,0.75,180,False,-6.917157168101945,374,0.4385026737967914,0.9752354798670357,-0.00819022546375494,53.33422459893048,40.0,55,62.333333333333336,119,0.47058823529411764,1.1023918526382543,0.032288837757019524,50.890756302521005,37.0,18,19.833333333333332,132,0.45454545454545453,1.0528009266932135,0.016898941562679425,52.11363636363637,38.0,18,22.0,123,0.3902439024390244,0.7919723283626608,-0.07427785612035254,57.00813008130081,43.0,19,20.5
