date,daily_pnl,cum_pnl
20260102,2000.0,2000.0
20260105,500.0,2500.0
20260106,6000.0,8500.0
20260107,-500.0,8000.0
20260108,7500.0,15500.0
20260109,1000.0,16500.0
20260112,-2000.0,14500.0
20260113,-4500.0,10000.0
20260114,7500.0,17500.0
20260115,-3000.0,14500.0
20260116,-4500.0,10000.0
20260119,0.0,10000.0
20260120,-500.0,9500.0
20260121,-500.0,9000.0
20260122,2000.0,11000.0
20260123,3500.0,14500.0
20260126,3500.0,18000.0
20260127,-500.0,17500.0
20260128,-500.0,17000.0
20260129,-4500.0,12500.0
20260130,5000.0,17500.0
20260202,-4500.0,13000.0
20260203,1000.0,14000.0
20260204,-3000.0,11000.0
20260205,-3000.0,8000.0
20260206,-4500.0,3500.0
20260209,-4500.0,-1000.0
20260210,-3000.0,-4000.0
20260211,-3000.0,-7000.0
20260212,-3000.0,-10000.0
20260213,-1500.0,-11500.0
20260216,0.0,-11500.0
20260217,-4500.0,-16000.0
20260218,-4500.0,-20500.0
20260219,-4500.0,-25000.0
20260220,-500.0,-25500.0
20260223,7500.0,-18000.0
20260224,-500.0,-18500.0
20260225,-3000.0,-21500.0
20260226,-3000.0,-24500.0
20260227,-3000.0,-27500.0
20260302,500.0,-27000.0
20260303,8500.0,-18500.0
20260304,500.0,-18000.0
20260305,4500.0,-13500.0
20260306,4500.0,-9000.0
20260309,4500.0,-4500.0
20260310,4500.0,0.0
20260311,12500.0,12500.0
20260312,-3500.0,9000.0
20260313,500.0,9500.0
20260316,-3500.0,6000.0
20260317,8500.0,14500.0
20260318,-7500.0,7000.0
20260319,-3000.0,4000.0
20260320,4500.0,8500.0
20260323,4500.0,13000.0
20260324,-7500.0,5500.0
20260325,6000.0,11500.0
20260326,-2000.0,9500.0
20260327,-3500.0,6000.0
20260330,-3500.0,2500.0
20260331,500.0,3000.0
20260401,-3000.0,0.0
20260402,5500.0,5500.0
20260403,0.0,5500.0
20260406,3000.0,8500.0
20260407,8500.0,17000.0
20260408,8500.0,25500.0
20260409,-3000.0,22500.0
20260410,4500.0,27000.0
20260413,-5000.0,22000.0
20260414,-6000.0,16000.0
20260415,1000.0,17000.0
20260416,-5000.0,12000.0
20260417,-2000.0,10000.0
20260420,7000.0,17000.0
20260421,500.0,17500.0
20260422,-3500.0,14000.0
20260423,4500.0,18500.0
20260424,-3500.0,15000.0
20260427,-3500.0,11500.0
20260428,-7500.0,4000.0
20260429,1139.1040434280233,5139.104043428023
20260430,4500.0,9639.104043428022
20260501,-3500.0,6139.104043428022
20260504,-2000.0,4139.104043428022
20260505,-2000.0,2139.104043428022
20260506,3500.0,5639.104043428022
20260507,2000.0,7639.104043428022
20260508,2000.0,9639.104043428022
20260511,3500.0,13139.104043428022
20260512,-2000.0,11139.104043428022
20260513,6000.0,17139.104043428022
20260514,-2000.0,15139.104043428022
20260515,10000.0,25139.104043428022
20260518,10000.0,35139.10404342802
20260519,2000.0,37139.10404342802
20260520,-4500.0,32639.104043428022
20260521,6000.0,38639.10404342802
20260522,-2000.0,36639.10404342802
20260525,0.0,36639.10404342802
20260526,2000.0,38639.10404342802
20260527,-6000.0,32639.104043428022
20260528,-2000.0,30639.104043428022
20260529,2000.0,32639.104043428022
20260601,-2000.0,30639.104043428022
20260602,-6000.0,24639.104043428022
20260603,2000.0,26639.104043428022
20260604,-6000.0,20639.104043428022
20260605,2000.0,22639.104043428022
20260608,-500.0,22139.104043428022
20260609,2000.0,24139.104043428022
20260610,10000.0,34139.10404342802
20260611,-2000.0,32139.104043428022
20260612,6000.0,38139.10404342802
20260615,-4500.0,33639.10404342802
20260616,6000.0,39639.10404342802
20260617,2000.0,41639.10404342802
20260618,2000.0,43639.10404342802
20260619,0.0,43639.10404342802
20260622,4500.0,48139.10404342802
20260623,2500.0,50639.10404342802
20260624,-2000.0,48639.10404342802
20260625,2500.0,51139.10404342802
20260626,500.0,51639.10404342802
20260629,-2000.0,49639.10404342802
20260630,-500.0,49139.10404342802
