min_hold_minutes,stop_loss_pct,take_profit_pct,horizon_minutes,passes,score,overall_trades,overall_win_rate,overall_profit_factor,overall_avg_return,overall_avg_hold_minutes,overall_median_hold_minutes,overall_min_month_trades,overall_avg_month_trades,QQQ_trades,QQQ_win_rate,QQQ_profit_factor,QQQ_avg_return,QQQ_avg_hold_minutes,QQQ_median_hold_minutes,QQQ_min_month_trades,QQQ_avg_month_trades,SPXW_trades,SPXW_win_rate,SPXW_profit_factor,SPXW_avg_return,SPXW_avg_hold_minutes,SPXW_median_hold_minutes,SPXW_min_month_trades,SPXW_avg_month_trades,SPY_trades,SPY_win_rate,SPY_profit_factor,SPY_avg_return,SPY_avg_hold_minutes,SPY_median_hold_minutes,SPY_min_month_trades,SPY_avg_month_trades
0,0.6,0.5,180,False,7.312823868898978,469,0.535181236673774,0.9640273213087348,-0.009852830524750372,41.04051172707889,30.0,46,78.16666666666667,172,0.5581395348837209,1.0555798165588197,0.014488188659233093,39.883720930232556,28.0,10,28.666666666666668,139,0.5179856115107914,0.9095684883006638,-0.025554621318587597,42.49640287769784,34.0,18,23.166666666666668,158,0.5253164556962026,0.9196970672707719,-0.022537048115267966,41.01898734177215,29.0,18,26.333333333333332
0,0.8,0.5,180,False,5.440061137093416,469,0.5884861407249466,0.9288312329715981,-0.022088387176152486,66.08528784648188,50.0,46,78.16666666666667,172,0.6046511627906976,1.018319529003485,0.005332161992047203,64.45930232558139,42.0,10,28.666666666666668,139,0.5683453237410072,0.8526760412143831,-0.04875988074652232,67.10071942446044,55.0,18,23.166666666666668,158,0.5886075949367089,0.9091005487302342,-0.028474443192917965,66.9620253164557,51.5,18,26.333333333333332
0,1.0,0.5,180,False,3.581155556158011,469,0.5991471215351812,0.9080443712989911,-0.029650077971088137,93.71855010660981,68.0,46,78.16666666666667,172,0.6104651162790697,0.9558931884206031,-0.013707348748578749,89.63953488372093,53.0,10,28.666666666666668,139,0.5899280575539568,0.8760861857962331,-0.041442259075783146,98.2158273381295,93.0,18,23.166666666666668,158,0.5949367088607594,0.8871401477384981,-0.03663132007690466,94.20253164556962,75.0,18,26.333333333333332
0,0.5,0.5,180,False,2.8363752016342483,469,0.5010660980810234,0.9958406676344423,-0.001036270739529035,30.01918976545842,21.0,46,78.16666666666667,172,0.5290697674418605,1.1068597730539655,0.025161748887707003,29.28488372093023,20.5,10,28.666666666666668,139,0.4748201438848921,0.9041095890410958,-0.025179856115107913,29.53956834532374,24.0,18,23.166666666666668,158,0.4936708860759494,0.9670291755569123,-0.008315391047624824,31.240506329113924,21.5,18,26.333333333333332
10,0.6,0.5,180,False,0.21514115238187959,469,0.5181236673773987,0.899285747370573,-0.028616156750763164,43.492537313432834,32.0,46,78.16666666666667,172,0.5348837209302325,0.9596062851560601,-0.011093206689604113,43.151162790697676,31.0,10,28.666666666666668,139,0.49640287769784175,0.83319867897178,-0.0492956285128322,45.29496402877698,36.0,18,23.166666666666668,158,0.5189873417721519,0.896293558872919,-0.029499073431723657,42.278481012658226,29.5,18,26.333333333333332
10,0.5,0.5,180,False,-0.4432063528915906,469,0.4840085287846482,0.9297796497710985,-0.018093840035904304,32.191897654584224,24.0,46,78.16666666666667,172,0.5058139534883721,1.0077134307926023,0.001905934934218632,32.116279069767444,23.0,10,28.666666666666668,139,0.45323741007194246,0.8289473684210527,-0.046762589928057555,31.884892086330936,25.0,18,23.166666666666668,158,0.4873417721518987,0.9426535703510294,-0.014644504971675455,32.54430379746835,23.0,18,26.333333333333332
0,0.8,0.75,180,False,-1.5851088825893793,469,0.48187633262260127,0.9086102395655473,-0.03514152497109066,84.2366737739872,73.0,46,78.16666666666667,172,0.4883720930232558,0.9441856081882365,-0.02086972740361122,83.18604651162791,71.0,10,28.666666666666668,139,0.4748201438848921,0.8835746173908033,-0.046428455891106495,83.69064748201438,78.0,18,23.166666666666668,158,0.4810126582278481,0.893754653649831,-0.04074827043769994,85.86075949367088,73.5,18,26.333333333333332
10,0.8,0.5,180,False,-1.9160267940644742,469,0.5714285714285714,0.8643382896965127,-0.04390786126973496,69.30703624733475,53.0,46,78.16666666666667,172,0.5813953488372093,0.9224768302829544,-0.023931403995686388,68.57558139534883,47.0,10,28.666666666666668,139,0.5467625899280576,0.7794102606576103,-0.07681743470335685,70.6978417266187,63.0,18,23.166666666666668,158,0.5822784810126582,0.8846983421523114,-0.036702291294183786,68.87974683544304,52.5,18,26.333333333333332
0,1.0,0.75,180,False,-3.562231725191327,469,0.4904051172707889,0.8841180069940557,-0.046378155696430556,115.682302771855,180.0,46,78.16666666666667,172,0.4941860465116279,0.8896882610675089,-0.043856921399278596,112.96511627906976,179.0,10,28.666666666666668,139,0.4892086330935252,0.8818522739766123,-0.04838844346212522,119.64748201438849,180.0,18,23.166666666666668,158,0.4873417721518987,0.8800802338371376,-0.04735424620072534,115.15189873417721,180.0,18,26.333333333333332
10,1.0,0.5,180,False,-3.9003623635433193,469,0.582089552238806,0.8434350620486499,-0.052766558659955505,98.01492537313433,77.0,46,78.16666666666667,172,0.5872093023255814,0.8641789013670755,-0.04486213104202989,95.30232558139535,56.5,10,28.666666666666668,139,0.5683453237410072,0.7972776134736124,-0.07175719521017809,103.23741007194245,102.0,18,23.166666666666668,158,0.5886075949367089,0.8644240377963006,-0.04466442619034958,96.37341772151899,75.5,18,26.333333333333332
