source_index,ticker,date,month,time,ts,action,delta_target,strike,entry,actual_delta_abs,expected_realized_return,source_stream,monthly_backfill_role
0,QQQ,20260102,202601,10:00,2026-01-02 10:00:00,PUT,0.25,619.0,0.3700000047683716,0.2540000081062317,0.5,QQQ_BEST,
1,SPXW,20260102,202601,10:00,2026-01-02 10:00:00,CALL,0.25,6905.0,4.199999809265137,0.23330000042915344,-0.3,SPXW_BEST,
2,SPY,20260102,202601,10:25,2026-01-02 10:25:00,CALL,0.25,684.0,0.5699999928474426,0.29030001163482666,0.5,SPY_BEST,
3,SPY,20260102,202601,11:05,2026-01-02 11:05:00,CALL,0.25,683.0,0.5,0.27000001072883606,-0.3,SPY_BEST,
4,QQQ,20260105,202601,10:05,2026-01-05 10:05:00,PUT,0.25,616.0,0.5,0.22390000522136688,-0.3,QQQ_BEST,
5,SPY,20260105,202601,10:10,2026-01-05 10:10:00,PUT,0.25,686.0,0.6000000238418579,0.2802000045776367,-0.3,SPY_BEST,
6,SPXW,20260105,202601,10:25,2026-01-05 10:25:00,CALL,0.25,6920.0,2.4200000762939453,0.2492000013589859,0.5,SPXW_BEST,
7,QQQ,20260105,202601,10:50,2026-01-05 10:50:00,CALL,0.25,621.0,0.33000001311302185,0.2705000042915344,0.5,QQQ_BEST,
8,SPXW,20260105,202601,11:10,2026-01-05 11:10:00,PUT,0.25,6900.0,3.5,0.27630001306533813,-0.3,SPXW_BEST,
9,QQQ,20260106,202601,10:00,2026-01-06 10:00:00,PUT,0.25,620.0,0.4699999988079071,0.2639000117778778,0.5,QQQ_BEST,
10,SPXW,20260106,202601,10:05,2026-01-06 10:05:00,CALL,0.25,6940.0,2.619999885559082,0.2337000072002411,0.5,SPXW_BEST,
11,SPY,20260106,202601,10:25,2026-01-06 10:25:00,PUT,0.25,689.0,0.27000001072883606,0.24629999697208405,0.5,SPY_BEST,
12,QQQ,20260106,202601,12:35,2026-01-06 12:35:00,PUT,0.25,621.0,0.25999999046325684,0.249099999666214,-0.3,QQQ_BEST,
13,SPXW,20260107,202601,10:05,2026-01-07 10:05:00,CALL,0.25,6960.0,3.200000047683716,0.24529999494552612,-0.3,SPXW_BEST,
14,SPY,20260107,202601,10:05,2026-01-07 10:05:00,CALL,0.25,693.0,0.44999998807907104,0.31150001287460327,-0.3,SPY_BEST,
15,QQQ,20260107,202601,11:55,2026-01-07 11:55:00,CALL,0.25,628.0,0.3700000047683716,0.28200000524520874,0.5,QQQ_BEST,
16,QQQ,20260108,202601,10:00,2026-01-08 10:00:00,CALL,0.25,621.0,0.5400000214576721,0.26669999957084656,0.5,QQQ_BEST,
17,SPXW,20260108,202601,10:00,2026-01-08 10:00:00,CALL,0.25,6925.0,4.5,0.2709999978542328,0.5,SPXW_BEST,
18,SPY,20260108,202601,10:00,2026-01-08 10:00:00,CALL,0.25,690.0,0.4399999976158142,0.2727999985218048,0.5,SPY_BEST,
19,SPXW,20260109,202601,10:05,2026-01-09 10:05:00,CALL,0.25,6955.0,3.5199999809265137,0.2313999980688095,-0.3,SPXW_BEST,
20,QQQ,20260109,202601,10:10,2026-01-09 10:10:00,CALL,0.25,623.0,0.6200000047683716,0.22169999778270721,0.5,QQQ_BEST,
21,SPXW,20260112,202601,10:00,2026-01-12 10:00:00,CALL,0.25,6975.0,3.5999999046325684,0.2791000008583069,-0.3,SPXW_BEST,
22,SPY,20260112,202601,10:00,2026-01-12 10:00:00,CALL,0.25,695.0,0.36000001430511475,0.26899999380111694,-0.3,SPY_BEST,
23,SPY,20260112,202601,10:35,2026-01-12 10:35:00,CALL,0.25,695.0,0.23999999463558197,0.1808999925851822,0.5,SPY_BEST,
24,QQQ,20260112,202601,11:45,2026-01-12 11:45:00,PUT,0.25,625.0,0.33000001311302185,0.2280000001192093,-0.3,QQQ_BEST,
25,SPXW,20260113,202601,10:10,2026-01-13 10:10:00,CALL,0.25,6980.0,3.5999999046325684,0.23669999837875366,-0.3,SPXW_BEST,
26,SPY,20260113,202601,10:10,2026-01-13 10:10:00,CALL,0.25,695.0,0.5199999809265137,0.3037000000476837,-0.3,SPY_BEST,
27,QQQ,20260113,202601,10:20,2026-01-13 10:20:00,CALL,0.25,628.0,0.3799999952316284,0.24060000479221344,-0.3,QQQ_BEST,
