date,daily_pnl,cum_pnl
20260102,-9000.0,-9000.0
20260105,-4500.0,-13500.0
20260106,7500.0,-6000.0
20260107,-4500.0,-10500.0
20260108,0.0,-10500.0
20260109,7500.0,-3000.0
20260112,-4500.0,-7500.0
20260113,-4500.0,-12000.0
20260114,-4500.0,-16500.0
20260115,0.0,-16500.0
20260116,7500.0,-9000.0
20260119,0.0,-9000.0
20260120,-1000.0,-10000.0
20260121,-4500.0,-14500.0
20260122,3500.0,-11000.0
20260123,0.0,-11000.0
20260126,-4500.0,-15500.0
20260127,-4500.0,-20000.0
20260128,-500.0,-20500.0
20260129,7500.0,-13000.0
20260130,0.0,-13000.0
20260202,-500.0,-13500.0
20260203,-500.0,-14000.0
20260204,-500.0,-14500.0
20260205,-500.0,-15000.0
20260206,-4500.0,-19500.0
20260209,-4500.0,-24000.0
20260210,7500.0,-16500.0
20260211,7500.0,-9000.0
20260212,3500.0,-5500.0
20260213,0.0,-5500.0
20260216,0.0,-5500.0
20260217,15000.0,9500.0
20260218,-4500.0,5000.0
20260219,3500.0,8500.0
20260220,3500.0,12000.0
20260223,-4500.0,7500.0
20260224,-4500.0,3000.0
20260225,34.09080903145855,3034.090809031459
20260226,7500.0,10534.090809031459
20260227,0.0,10534.090809031459
20260302,-4500.0,6034.090809031459
20260303,7500.0,13534.090809031459
20260304,7500.0,21034.09080903146
20260305,7500.0,28534.09080903146
20260306,-4500.0,24034.09080903146
20260309,0.0,24034.09080903146
20260310,-4500.0,19534.09080903146
20260311,-4500.0,15034.090809031459
20260312,7500.0,22534.09080903146
20260313,7500.0,30034.09080903146
20260316,0.0,30034.09080903146
20260317,-500.0,29534.09080903146
20260318,-4500.0,25034.09080903146
20260319,3500.0,28534.09080903146
20260320,-4500.0,24034.09080903146
20260323,-4500.0,19534.09080903146
20260324,0.0,19534.09080903146
20260325,7500.0,27034.09080903146
20260326,-500.0,26534.09080903146
20260327,7500.0,34034.09080903146
20260330,7500.0,41534.09080903146
20260331,0.0,41534.09080903146
20260401,2500.0,44034.09080903146
20260402,4500.0,48534.09080903146
20260403,0.0,48534.09080903146
20260406,-5000.0,43534.09080903146
20260407,3500.0,47034.09080903146
20260408,0.0,47034.09080903146
20260409,-1500.0,45534.09080903146
20260410,-7500.0,38034.09080903146
20260413,-4500.0,33534.09080903146
20260414,-4500.0,29034.090809031462
20260415,0.0,29034.090809031462
20260416,-4500.0,24534.090809031462
20260417,-4500.0,20034.090809031462
20260420,7500.0,27534.090809031462
20260421,7500.0,35034.09080903146
20260422,-4500.0,30534.090809031462
20260423,0.0,30534.090809031462
20260424,-4500.0,26034.090809031462
20260427,-4500.0,21534.090809031462
20260428,7500.0,29034.090809031462
20260429,5674.8467155024955,34708.93752453396
20260430,0.0,34708.93752453396
20260501,-2000.0,32708.93752453396
20260504,-500.0,32208.93752453396
20260505,-4500.0,27708.93752453396
20260506,-500.0,27208.93752453396
20260507,2000.0,29208.93752453396
20260508,2105.2630588288434,31314.200583362806
20260511,3500.0,34814.200583362806
20260512,-4500.0,30314.200583362806
20260513,-4500.0,25814.200583362806
20260514,3500.0,29314.200583362806
20260515,-500.0,28814.200583362806
20260518,-4500.0,24314.200583362806
20260519,-4500.0,19814.200583362806
20260520,-4500.0,15314.200583362806
20260521,-4500.0,10814.200583362806
20260522,-4500.0,6314.200583362806
20260525,0.0,6314.200583362806
20260526,5000.0,11314.200583362806
20260527,-500.0,10814.200583362806
20260528,-500.0,10314.200583362806
20260529,-4500.0,5814.200583362806
20260601,-4500.0,1314.2005833628064
20260602,-4500.0,-3185.7994166371936
20260603,-500.0,-3685.7994166371936
20260604,-4500.0,-8185.799416637194
20260605,-500.0,-8685.799416637194
20260608,0.0,-8685.799416637194
20260609,-4500.0,-13185.799416637194
20260610,7500.0,-5685.799416637194
20260611,-4500.0,-10185.799416637194
20260612,7500.0,-2685.7994166371936
20260615,0.0,-2685.7994166371936
20260616,3500.0,814.2005833628064
20260617,7500.0,8314.200583362806
20260618,-4500.0,3814.2005833628064
20260619,0.0,3814.2005833628064
20260622,3000.0,6814.200583362806
20260623,0.0,6814.200583362806
20260624,-500.0,6314.200583362806
20260625,0.0,6314.200583362806
20260626,-9000.0,-2685.7994166371936
20260629,-4500.0,-7185.799416637194
