date,daily_pnl,cum_pnl
20260501,-3000.0,-3000.0
20260504,-500.0,-3500.0
20260505,-4500.0,-8000.0
20260506,1000.0,-7000.0
20260507,7500.0,500.0
20260508,3500.0,4000.0
20260511,3500.0,7500.0
20260512,-4500.0,3000.0
20260513,-4500.0,-1500.0
20260514,3500.0,2000.0
20260515,-500.0,1500.0
20260518,-4500.0,-3000.0
20260519,-4500.0,-7500.0
20260520,-4500.0,-12000.0
20260521,-4500.0,-16500.0
20260522,-4500.0,-21000.0
20260525,0.0,-21000.0
20260526,5000.0,-16000.0
20260527,-500.0,-16500.0
20260528,-500.0,-17000.0
20260529,-4500.0,-21500.0
