date,daily_pnl,cum_pnl
20260102,11000.0,11000.0
20260105,-500.0,10500.0
20260106,-2000.0,8500.0
20260107,-500.0,8000.0
20260108,5000.0,13000.0
20260109,-500.0,12500.0
20260112,-4500.0,8000.0
20260113,-4500.0,3500.0
20260114,7500.0,11000.0
20260115,1000.0,12000.0
20260116,-4500.0,7500.0
20260119,0.0,7500.0
20260120,-2000.0,5500.0
20260121,-4500.0,1000.0
20260122,7500.0,8500.0
20260123,1000.0,9500.0
20260126,-500.0,9000.0
20260127,-500.0,8500.0
20260128,-500.0,8000.0
20260129,-4500.0,3500.0
20260130,5000.0,8500.0
20260202,-4500.0,4000.0
20260203,-4500.0,-500.0
20260204,3500.0,3000.0
20260205,-4500.0,-1500.0
20260206,-4500.0,-6000.0
20260209,-4500.0,-10500.0
20260210,-4500.0,-15000.0
20260211,-500.0,-15500.0
20260212,-4500.0,-20000.0
20260213,-1500.0,-21500.0
20260216,0.0,-21500.0
20260217,500.0,-21000.0
20260218,-4500.0,-25500.0
20260219,-4500.0,-30000.0
20260220,-500.0,-30500.0
20260223,-4500.0,-35000.0
20260224,-4500.0,-39500.0
20260225,-4500.0,-44000.0
20260226,-4500.0,-48500.0
20260227,-1500.0,-50000.0
20260302,500.0,-49500.0
20260303,7500.0,-42000.0
20260304,1000.0,-41000.0
20260305,3500.0,-37500.0
20260306,2000.0,-35500.0
20260309,7500.0,-28000.0
20260310,7500.0,-20500.0
20260311,7500.0,-13000.0
20260312,-4500.0,-17500.0
20260313,-4500.0,-22000.0
20260316,-500.0,-22500.0
20260317,3500.0,-19000.0
20260318,-4500.0,-23500.0
20260319,-4500.0,-28000.0
20260320,-4500.0,-32500.0
20260323,-500.0,-33000.0
20260324,3500.0,-29500.0
20260325,3500.0,-26000.0
20260326,-4500.0,-30500.0
20260327,-4500.0,-35000.0
20260330,1000.0,-34000.0
20260331,7500.0,-26500.0
20260401,2500.0,-24000.0
20260402,4500.0,-19500.0
20260403,0.0,-19500.0
20260406,3000.0,-16500.0
20260407,7500.0,-9000.0
20260408,5000.0,-4000.0
20260409,2500.0,-1500.0
20260410,-2000.0,-3500.0
20260413,3500.0,0.0
20260414,-4500.0,-4500.0
20260415,-1500.0,-6000.0
20260416,-4500.0,-10500.0
20260417,-4500.0,-15000.0
20260420,7500.0,-7500.0
20260421,-500.0,-8000.0
20260422,-500.0,-8500.0
20260423,-3000.0,-11500.0
20260424,-500.0,-12000.0
20260427,3500.0,-8500.0
20260428,3500.0,-5000.0
20260429,-2329.446021582928,-7329.446021582928
20260430,1000.0,-6329.446021582928
20260501,-1000.0,-7329.446021582928
20260504,-2000.0,-9329.446021582928
20260505,-3000.0,-12329.446021582928
20260506,2500.0,-9829.446021582928
20260507,-500.0,-10329.446021582928
20260508,2000.0,-8329.446021582928
20260511,-6000.0,-14329.446021582928
20260512,2000.0,-12329.446021582928
20260513,-6000.0,-18329.446021582928
20260514,-3000.0,-21329.446021582928
20260515,2000.0,-19329.446021582928
20260518,2000.0,-17329.446021582928
20260519,-6000.0,-23329.446021582928
20260520,-6000.0,-29329.446021582928
20260521,6000.0,-23329.446021582928
20260522,-2000.0,-25329.446021582928
20260525,0.0,-25329.446021582928
20260526,3500.0,-21829.446021582928
20260527,-2000.0,-23829.446021582928
20260528,-4500.0,-28329.446021582928
20260529,6000.0,-22329.446021582928
20260601,-6000.0,-28329.446021582928
20260602,-4500.0,-32829.44602158293
20260603,-500.0,-33329.44602158293
20260604,-4500.0,-37829.44602158293
20260605,-4500.0,-42329.44602158293
20260608,1000.0,-41329.44602158293
20260609,-500.0,-41829.44602158293
20260610,7500.0,-34329.44602158293
20260611,-500.0,-34829.44602158293
20260612,7500.0,-27329.44602158293
20260615,-3000.0,-30329.44602158293
20260616,-500.0,-30829.44602158293
20260617,3500.0,-27329.44602158293
20260618,-500.0,-27829.44602158293
20260619,0.0,-27829.44602158293
20260622,-2000.0,-29829.44602158293
20260623,1000.0,-28829.44602158293
20260624,-500.0,-29329.44602158293
20260625,-1500.0,-30829.44602158293
20260626,2000.0,-28829.44602158293
20260629,-3000.0,-31829.44602158293
20260630,-3000.0,-34829.44602158293
