ticker,date,month,time,minute,expiry_mode,action,score,pred_call_return,pred_put_return,call_return,put_return,realized_return,deploy_config,test_month,entry_minute,source_stream,source_file,_source_order,_priority,backfill_required_count,backfill_count_before,backfill_month_target,backfill_partial_month,backfill_mode
QQQ,20260102,202601,10:00,600,zero_dte,PUT,-0.2244437260077439,-0.2275047928641964,-0.2244437260077439,-0.3,0.5,0.5,thr-999.000_maxday3,202601,600,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,719,1,2,0,18,False,fallback_volume_pace
QQQ,20260102,202601,10:30,630,zero_dte,CALL,-0.1903533351921932,-0.1903533351921932,-0.2483598914868058,0.5,-0.3,0.5,thr-999.000_maxday3,202601,630,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,720,1,2,1,18,False,fallback_volume_pace
QQQ,20260105,202601,10:05,605,zero_dte,PUT,0.3407644085303138,0.1039882649153141,0.3407644085303138,0.5,-0.3,-0.3,thr0.321_maxday1,202601,605,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,1,0,3,2,18,False,primary
QQQ,20260106,202601,10:00,600,zero_dte,CALL,-0.1705290195750752,-0.1705290195750752,-0.2573430902016573,-0.3,0.5,-0.3,thr-999.000_maxday3,202601,600,clean_d50,research_papers\JEPA\results\_diagnostics\event_option_clean_live_d50_fallback_wf2026_v1\event_option_gate_trades.csv,725,1,4,3,18,False,fallback_volume_pace
QQQ,20260106,202601,12:20,740,zero_dte,PUT,0.3800371017725487,0.2655585731330063,0.3800371017725487,0.5,-0.3,-0.3,thr0.321_maxday1,202601,740,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,2,0,4,4,18,False,primary
QQQ,20260107,202601,10:05,605,zero_dte,CALL,0.4009055060596668,0.4009055060596668,0.1021483380196221,0.5,-0.3,0.5,thr0.321_maxday1,202601,605,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,3,0,5,5,18,False,primary
QQQ,20260108,202601,10:00,600,zero_dte,CALL,0.510705283963873,0.510705283963873,0.0823450828922088,0.5,-0.3,0.5,thr0.321_maxday1,202601,600,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,4,0,5,6,18,False,primary
QQQ,20260109,202601,10:10,610,zero_dte,CALL,0.3530178226745588,0.3530178226745588,0.1033103877075687,0.5,-0.3,0.5,thr0.321_maxday1,202601,610,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,5,0,6,7,18,False,primary
QQQ,20260112,202601,10:15,615,zero_dte,CALL,0.3598527540703932,0.3598527540703932,0.1653907957735477,-0.3,-0.3,-0.3,thr0.321_maxday1,202601,615,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,6,0,7,8,18,False,primary
QQQ,20260113,202601,10:20,620,zero_dte,CALL,0.5342625049415205,0.5342625049415205,0.0642759427188,-0.3,0.5,-0.3,thr0.321_maxday1,202601,620,clean_d25,research_papers\JEPA\results\_diagnostics\event_option_clean_live_qqq_d25_wf2026_v1\event_option_gate_trades.csv,7,0,8,9,18,False,primary
