path,size_mb,nrows_meta,cols,date_min,date_max,months,tickers,expiry_modes
research_papers\JEPA\results\event_option_dataset_spxw_spy_qqq_trailing_liveexit_2024_2026_v1\event_option_dataset.parquet,114.0,136061,226,20240102,20260622,30,"QQQ,SPXW,SPY","{""front_weekly"": 67749, ""zero_dte"": 68312}"
research_papers\JEPA\results\_diagnostics\event_option_dataset_trailing_smoke_202401_qqq\event_option_dataset.parquet,0.2,40,226,20240102,20240102,1,QQQ,"{""zero_dte"": 40}"
research_papers\JEPA\results\event_option_dataset_full20_spxstandard_2022_2026_v1_physics_modaltdv20_oof202301_202412\event_option_dataset.parquet,988.2,704569,525,20220103,20260622,54,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPX,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 484721, ""zero_dte"": 219848}"
research_papers\JEPA\results\event_option_dataset_full20_spxstandard_2022_2026_v1_physics_tdv20_tickernorm_oof202301_202412\event_option_dataset.parquet,988.2,704569,525,20220103,20260622,54,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPX,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 484721, ""zero_dte"": 219848}"
research_papers\JEPA\results\event_option_dataset_full20_tdv20_oof_202301_202412_targets\event_option_dataset.parquet,257.3,112540,525,20230103,20241231,24,"QQQ,SPXW,SPY","{""front_weekly"": 56150, ""zero_dte"": 56390}"
research_papers\JEPA\results\event_option_dataset_full20_spxstandard_2022_2026_v1_physics_combined\event_option_dataset.parquet,888.4,704569,358,20220103,20260622,54,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPX,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 484721, ""zero_dte"": 219848}"
research_papers\JEPA\results\event_option_dataset_spxstandard_2022_20260622_v1_physics\event_option_dataset.parquet,15.1,9516,314,20220114,20260616,54,SPX,"{""front_weekly"": 9516}"
research_papers\JEPA\results\event_option_dataset_spxstandard_2022_20260622_v1\event_option_dataset.parquet,9.9,9516,226,20220114,20260616,54,SPX,"{""front_weekly"": 9516}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_physics_combined\event_option_dataset.parquet,876.3,695053,358,20220103,20260622,54,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 475205, ""zero_dte"": 219848}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_physics_by_year\y2026_through20260622\event_option_dataset.parquet,106.0,70410,358,20260102,20260622,6,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 46728, ""zero_dte"": 23682}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_physics_by_year\y2025\event_option_dataset.parquet,227.9,160319,358,20250102,20251231,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 107402, ""zero_dte"": 52917}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_physics_by_year\y2024\event_option_dataset.parquet,231.7,168702,358,20240102,20241231,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 113871, ""zero_dte"": 54831}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_physics_by_year\y2023\event_option_dataset.parquet,219.9,164023,358,20230103,20231229,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 112395, ""zero_dte"": 51628}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_physics_by_year\y2022\event_option_dataset.parquet,188.9,131599,358,20220103,20221230,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 94809, ""zero_dte"": 36790}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_chunks\y2026_through20260622\event_option_dataset.parquet,60.8,70410,226,20260102,20260622,6,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 46728, ""zero_dte"": 23682}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_chunks\y2025\event_option_dataset.parquet,127.2,160319,226,20250102,20251231,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 107402, ""zero_dte"": 52917}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_chunks\y2024\event_option_dataset.parquet,127.9,168702,226,20240102,20241231,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 113871, ""zero_dte"": 54831}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_chunks\y2023\event_option_dataset.parquet,120.7,164023,226,20230103,20231229,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 112395, ""zero_dte"": 51628}"
research_papers\JEPA\results\event_option_dataset_full19_2022_2026_v1_chunks\y2022\event_option_dataset.parquet,106.7,131599,226,20220103,20221230,12,"AAPL,AMZN,GLD,GOOGL,HOOD,IWM,META,MSFT,NFLX,NVDA,PLTR,QQQ,SLV,SPXW,SPY,TLT,TSLA,UNH,VIX","{""front_weekly"": 94809, ""zero_dte"": 36790}"
research_papers\JEPA\results\_diagnostics\event_dataset_chunk_smoke_202201_spy\event_option_dataset.parquet,0.3,156,226,20220103,20220105,1,SPY,"{""front_weekly"": 98, ""zero_dte"": 58}"
research_papers\JEPA\results\_diagnostics\core_june17_22_event_dataset_physics\event_option_dataset.parquet,1.0,422,358,20260617,20260622,1,"QQQ,SPXW,SPY","{""front_weekly"": 160, ""zero_dte"": 262}"
