date,daily_pnl,cum_pnl
20260102,1000.0,1000.0
20260105,-3000.0,-2000.0
20260106,-1500.0,-3500.0
20260107,-1500.0,-5000.0
20260108,2500.0,-2500.0
20260109,-1500.0,-4000.0
20260112,-1500.0,-5500.0
20260113,2500.0,-3000.0
20260114,2500.0,-500.0
20260115,0.0,-500.0
20260116,2500.0,2000.0
20260119,0.0,2000.0
20260120,-1500.0,500.0
20260121,-1500.0,-1000.0
20260122,2500.0,1500.0
20260123,-1500.0,0.0
20260126,-1500.0,-1500.0
20260127,-1500.0,-3000.0
20260128,2500.0,-500.0
20260129,2500.0,2000.0
20260130,2500.0,4500.0
20260202,-1500.0,3000.0
20260203,2500.0,5500.0
20260204,2500.0,8000.0
20260205,2500.0,10500.0
20260206,2500.0,13000.0
20260209,-1500.0,11500.0
20260210,-1500.0,10000.0
20260211,2500.0,12500.0
20260212,2500.0,15000.0
20260213,-1500.0,13500.0
20260216,0.0,13500.0
20260217,2500.0,16000.0
20260218,2500.0,18500.0
20260219,-1500.0,17000.0
20260220,-1500.0,15500.0
20260223,2500.0,18000.0
20260224,-1500.0,16500.0
20260225,-1500.0,15000.0
20260226,2500.0,17500.0
20260227,-1500.0,16000.0
20260302,2500.0,18500.0
20260303,-500.0,18000.0
20260304,-3000.0,15000.0
20260305,2500.0,17500.0
20260306,-1500.0,16000.0
20260309,1000.0,17000.0
20260310,3500.0,20500.0
20260311,3500.0,24000.0
20260312,-1500.0,22500.0
20260313,1000.0,23500.0
20260316,0.0,23500.0
20260317,-3000.0,20500.0
20260318,3500.0,24000.0
20260319,1000.0,25000.0
20260320,-1500.0,23500.0
20260323,-500.0,23000.0
20260324,-500.0,22500.0
20260325,5000.0,27500.0
20260326,-1500.0,26000.0
20260327,0.0,26000.0
20260330,0.0,26000.0
20260331,2500.0,28500.0
20260401,0.0,28500.0
20260402,1000.0,29500.0
20260403,0.0,29500.0
20260406,3500.0,33000.0
20260407,2500.0,35500.0
20260408,-1500.0,34000.0
20260409,0.0,34000.0
20260410,-1500.0,32500.0
20260413,2500.0,35000.0
20260414,2500.0,37500.0
20260415,0.0,37500.0
20260416,-1500.0,36000.0
20260417,-1500.0,34500.0
20260420,2500.0,37000.0
20260421,2500.0,39500.0
20260422,2500.0,42000.0
20260423,2500.0,44500.0
20260424,2500.0,47000.0
20260427,2500.0,49500.0
20260428,0.0,49500.0
20260429,-1500.0,48000.0
20260430,2500.0,50500.0
20260501,1000.0,51500.0
20260504,-3000.0,48500.0
20260505,1000.0,49500.0
20260506,5000.0,54500.0
20260507,1000.0,55500.0
20260508,1000.0,56500.0
20260511,1000.0,57500.0
20260512,5000.0,62500.0
20260513,-3000.0,59500.0
20260514,-3000.0,56500.0
20260515,1000.0,57500.0
20260518,5000.0,62500.0
20260519,1000.0,63500.0
20260520,0.0,63500.0
20260521,1000.0,64500.0
20260522,1000.0,65500.0
20260525,0.0,65500.0
20260526,-3000.0,62500.0
20260527,1000.0,63500.0
20260528,-3000.0,60500.0
20260529,0.0,60500.0
20260601,1000.0,61500.0
20260602,-500.0,61000.0
20260603,3500.0,64500.0
20260604,-3000.0,61500.0
20260605,3500.0,65000.0
20260608,-500.0,64500.0
20260609,-500.0,64000.0
20260610,-500.0,63500.0
20260611,3500.0,67000.0
20260612,3500.0,70500.0
20260615,-3000.0,67500.0
20260616,1000.0,68500.0
20260617,0.0,68500.0
20260618,1000.0,69500.0
20260619,0.0,69500.0
20260622,-3000.0,66500.0
20260623,-500.0,66000.0
20260624,-500.0,65500.0
20260625,0.0,65500.0
20260626,-4500.0,61000.0
