ticker,test_month,winner_name,grid_index,selection_prediction_sha256,test_prediction_sha256,test_trades,test_pf,test_pnl
QQQ,202601,thr0.05_edge0.15_PUT_t630-840_near15_SPX_SAME_5M_cap2_cd45,285447,78e3370bd6d372b6de3d7e541ad5a4ff0aca2924f750dfbb49ad2ee3b1c79820,6c2d9ba91956cf5539832e730a41322bb7c2839150f3c7e3f6369a3a3dde739b,24,0.9622433914590655,-0.2761445809624561
SPXW,202601,thr0_edge0.3_PUT_t630-810_near15_QQQ_SAME_5M_cap1_cd0,205168,dce26fca81c316309dfe7ff4d64eae000c65ebb6ce134f40cbb7c7fa1b199b31,1dbd69b1754ad970e8c01cee30d025589756076b55d6ca2cf36b0ddbba6aed95,20,0.5347694235685727,-3.591270291470517
SPY,202601,thr0.25_edge0.3_BOTH_t630-810_near20_NONE_cap2_cd0,758916,d652775a008db03ad1b1d14fd75556fb8d969f5279a0e0b027bf7c5f45d57290,36e86b27195e0815d3e21a049293a5eca2c064fb08cb68b74ee78cca3e7c7e81,25,0.9910090770304905,-0.060081681312680435
QQQ,202602,thr-0.1_edge0.3_BOTH_t630-840_near15_SPX_SAME_5M_cap1_cd0,81152,fb1414569fb709e2ff273c996ab22231fef97332abd559ff894d8bc2951ceae2,fedcbbef113f6fa3cdb1befc3e02c44715608bafe25eaf5e08db2e3ceab88d05,18,1.0547581888640907,0.3491953065742496
SPXW,202602,thr-0.1_edge0_BOTH_t630-810_near20_SELF_SAME_5M_cap1_cd0,928,d9221123036217bd94f35d1e16adb2e43a36130ffc92fcc3e414f51b60a64c0c,909c3d4ebd62a80ef0d239ef19044b050a1ea6d052ebf87a91ed01d824f77f1d,19,0.974828502246983,-0.20946495959164857
SPY,202602,thr0.25_edge0.4_PUT_t630-870_near20_QQQ_SAME_5M_cap1_cd0,785216,c368fab5783a4ca4fba0466cc244dd2a3caac84d317e6ca46df848d2678b043d,3c5d2b46f92fc11bdb5f8c261bcb9d078ac2ec684dea5bba5cfd09554a813bb2,18,1.2344243454933552,1.642636186973056
QQQ,202603,thr-0.1_edge0.15_BOTH_t690-840_near15_SPX_SAME_5M_cap2_cd0,50916,0eceb8349466532fe920b64a24873534a536fa8147e6197b43123911a4e8ff72,d9683ea7c1543a9186a4922267e6d7e3d91844738d398d4e30aaa6d71546f109,33,0.24025442376880932,-11.34876952055556
SPXW,202603,thr0_edge0.4_BOTH_t630-870_near10_SELF_SAME_5M_cap3_cd45,209707,24a1b35574e96aa925abdb843d801c9b802c2350a847a2d3c527a1486703e8e7,5b7e74821a55ffc9aae7a0e3869eed3d9ab94d2d57a2b646da1f9492753ca5dd,19,0.3315993518754359,-4.575995223703597
SPY,202603,thr0_edge0.4_BOTH_t630-870_near15_QQQ_COUNTER_5M_cap1_cd0,209856,b76d285ff3a7fa33041a6dcebdd9c88ac4577e0acd047ffa66fe32f16dd67cb8,a8268905f8ca761ca28568c5903ab1e5b4fd1e58b5e7a029f94696350b008f95,12,0.7621749232134923,-0.8502084547818556
QQQ,202604,thr-0.1_edge0.05_PUT_t630-810_near15_NONE_cap2_cd45,27671,23f2d74612b00c34d97d6f6bc023debd0b47485206b56ba7b8a7480d6648bf41,2f935e5333fcbdc94dab96189ed5f2482af902330fa713fb0a5c98c4424ccd98,33,0.528282786594736,-6.445185260597507
SPXW,202604,thr0_edge0.4_BOTH_t690-810_near10_QQQ_COUNTER_5M_cap2_cd0,212436,9154eb710dc67df0db9a6d5accd8f1430417ca851b11d5d3d5ee83e2ed10818c,2cbbb10a1c51f772292c307c6eb162cb8c23e2d2a3f8524659a3062207fc0093,17,1.1151393797611555,0.6663239020701515
SPY,202604,thr0.1_edge0.4_PUT_t630-840_near15_QQQ_SAME_5M_cap1_cd0,446752,0122ee6d6e1d4baeddae9fd8bb70cb5e7e9698a989ac7295d6286c9d2ec1bc64,b693759f456ccf7c7a75f0d183ca49657d1c2e647a5f0f68fc577a14b46ea737,15,0.7399764007430631,-1.2741183083303302
QQQ,202605,thr-0.1_edge0.1_BOTH_t660-870_near10_SPX_COUNTER_5M_cap1_cd0,33312,b8183d71b41e458d1750f177ab40c09721992757432af6275de585fcb6740694,098e37a0412958a65b03471c95be337b00dfd94a6d1099654c24a439ac806ea2,20,0.7688251521261399,-1.4015308510428284
SPXW,202605,thr0_edge0.3_BOTH_t630-870_near15_NONE_cap1_cd0,193648,4c557fefa998691d7291e6d2649259d1e8c07a2da7c6f8fa44901a3846f4aa94,9bd93f884b6c39f09a47087d85d2f1489158153d8396a3aaad62bbd7f069136f,20,1.0797398808951566,0.5648954840736742
SPY,202605,thr0_edge0.2_BOTH_t630-810_near20_SPX_SAME_5M_cap1_cd0,178368,d8f9e1d1fdd962ba30173389530a127ee15f00aa83cf49ba59210aa5f7defaf0,31f226ed3a8e0a0a9c449c6c24503ff9ad837d8ee6670f26f35557f8083add8b,18,0.5020596691361111,-2.829728139360575
