ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPY,202501,202501,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406",202406,202407,"202407,202408,202409,202410,202411,202412",202412,thr-999.000_maxday1,31899,2413,380,6.724367050869605,False,128,0.5078125,1.7299203727356016,13.713008117474066,0.10713287591776614,-3.4000000000000155,0.1484375,128,0.5078125,0.5,-3.4000000000000155,2.5,0.18230865019428716,20,0.8333333333333334,20,0.4,1.0704607127328034,0.25365856583809193,0.012682928291904597,-1.0999999999999999,0.05,20,0.4,-0.3,-1.0999999999999999,2.5,9.855768094170053,20,1.0
SPY,202502,202502,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407",202407,202408,"202408,202409,202410,202411,202412,202501",202501,thr-999.000_maxday1,33134,2381,361,8.819994557221015,False,126,0.5952380952380952,2.459582440997877,22.166666683312158,0.175925926058033,-1.5000000000000036,0.373015873015873,126,0.5952380952380952,0.5,-1.5000000000000036,2.5,0.11278195480252733,20,1.0,19,0.47368421052631576,1.5000000000000002,1.5,0.07894736842105263,-1.8,0.47368421052631576,19,0.47368421052631576,-0.3,-1.8,2.5,1.6666666666666667,19,1.0
SPY,202503,202503,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408",202408,202409,"202409,202410,202411,202412,202501,202502",202502,thr-999.000_maxday1,34388,2324,399,7.982908307307554,False,123,0.5609756097560976,2.0990630462022666,17.80482134847673,0.1447546451095669,-1.8000000000000043,0.3902439024390244,123,0.5609756097560976,0.5,-1.8000000000000043,2.5,0.1404114060495128,19,1.0,21,0.5714285714285714,2.2222222222222223,3.3000000000000003,0.15714285714285717,-0.5999999999999996,0.38095238095238093,21,0.5714285714285714,0.5,-0.5999999999999996,2.5,0.7575757575757576,21,1.0
SPY,202504,202504,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409",202409,202410,"202410,202411,202412,202501,202502,202503",202503,thr-999.000_maxday1,35528,2343,399,7.396699923555177,False,124,0.5241935483870968,1.827890314454129,14.653658565838091,0.11817466585353299,-1.8000000000000043,0.31451612903225806,124,0.5241935483870968,0.5,-1.8000000000000043,2.5,0.17060585851428406,19,1.0,21,0.47619047619047616,1.5151515151515154,1.7,0.08095238095238096,-1.0,0.5238095238095238,21,0.47619047619047616,-0.3,-1.0,2.5,1.4705882352941178,21,1.0
SPY,202505,202505,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410",202410,202411,"202411,202412,202501,202502,202503,202504",202504,thr-999.000_maxday1,36839,2305,399,8.103141543530509,False,122,0.5655737704918032,2.1606074569709484,18.453658565838094,0.15125949644129585,-1.8000000000000043,0.4098360655737705,122,0.5655737704918032,0.5,-1.8000000000000043,2.5,0.13547449092984015,19,1.0,21,0.5238095238095238,1.9011522297382393,2.607017568626123,0.1241436937441011,-0.9000000000000001,0.5238095238095238,21,0.5238095238095238,0.5,-0.9000000000000001,2.5,0.9589501927742972,21,1.0
SPY,202506,202506,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411",202411,202412,"202412,202501,202502,202503,202504,202505",202505,thr-999.000_maxday1,37960,2330,380,8.335429510564001,False,123,0.5772357723577236,2.2662601644768,19.75365856583809,0.16059885012876496,-1.8000000000000043,0.45528455284552843,123,0.5772357723577236,0.5,-1.8000000000000043,2.5,0.12655883423658498,19,1.0,20,0.45,1.363636363636364,1.2000000000000004,0.06000000000000002,-1.4999999999999998,0.45,20,0.45,-0.3,-1.4999999999999998,2.5,2.0833333333333326,20,1.0
SPY,202507,202507,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412",202412,202501,"202501,202502,202503,202504,202505,202506",202506,thr-999.000_maxday1,39137,2318,412,7.661928381982959,False,122,0.5409836065573771,1.9555749146332195,16.05365856583809,0.13158736529375484,-1.799999999999999,0.5081967213114754,122,0.5409836065573771,0.5,-1.799999999999999,2.5,0.15572774204379536,19,1.0,22,0.5909090909090909,2.4074074074074074,3.8000000000000003,0.17272727272727273,-1.2000000000000002,0.3181818181818182,22,0.5909090909090909,0.5,-1.2000000000000002,2.5,0.6578947368421052,22,1.0
SPY,202508,202508,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501",202501,202502,"202502,202503,202504,202505,202506,202507",202507,thr-999.000_maxday1,40277,2350,399,7.3000923431397355,False,124,0.5241935483870968,1.836158192090395,14.8,0.11935483870967742,-2.4000000000000057,0.45161290322580644,124,0.5241935483870968,0.5,-2.4000000000000057,2.5,0.16891891891891891,19,1.0,21,0.6666666666666666,3.333333333333333,4.9,0.23333333333333334,-0.6000000000000001,0.42857142857142855,21,0.6666666666666666,0.5,-0.6000000000000001,2.5,0.5102040816326531,21,1.0
SPY,202509,202509,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502",202502,202503,"202503,202504,202505,202506,202507,202508",202508,thr-999.000_maxday2,41360,2388,399,8.392513028962561,False,252,0.5,1.6666666666666676,25.2,0.09999999999999999,-2.800000000000008,0.4087301587301587,126,0.753968253968254,0.2,-2.5999999999999996,5.0,0.19841269841269843,40,1.0,42,0.42857142857142855,1.1819873983631595,1.3103092682147488,0.03119783971939878,-3.3000000000000003,0.30952380952380953,21,0.6190476190476191,0.2,-3.0,4.5103092682147485,3.4421715373805526,42,1.0
SPY,202510,202510,"202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503",202503,202504,"202504,202505,202506,202507,202508,202509",202509,thr-999.000_maxday2,42557,2388,436,8.679117829402243,False,252,0.5119047619047619,1.7346967281359016,27.11030926821475,0.10758059233418552,-2.7000000000000064,0.4007936507936508,126,0.7698412698412699,0.2,-2.3999999999999986,5.0,0.1844316842914886,40,1.0,46,0.4782608695652174,1.5147569522593622,3.7062500562674083,0.08057065339711757,-1.4999999999999998,0.391304347826087,23,0.7391304347826086,0.2,-1.4,4.906250056267407,1.323777398119901,46,1.0
