ticker,month,test_month,train_months,train_month_max,first_val_month,val_months,val_month_max,deploy_config,train_rows,val_rows,test_rows,val_score,abstained_invalid_val,val_trades,val_win_rate,val_profit_factor,val_pnl_return,val_avg_return,val_max_drawdown,val_call_rate,val_days_with_trades,val_daily_win_rate,val_median_daily_return,val_daily_max_drawdown,val_top5_day_return,val_top5_share_of_pnl,val_min_month_trades,val_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate
SPXW,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.450_maxday1,3906,4133,674,3.269294190310439,False,128,0.53125,0.9367458916915427,-2.226001864755172,-0.01739063956839978,-5.890243865222466,0.1796875,128,0.53125,0.5,-5.890243865222466,2.5,-1.123089804902281,19,0.5,20,0.45,0.6414938367131418,-2.262173886921094,-0.11310869434605471,-4.2621738869210954,0.15,20,0.45,-0.45499999523162843,-4.2621738869210954,2.5,-1.1051316675760043,20,0.0
SPXW,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,thr0.700_maxday1,4640,4073,551,2.9034091215394766,False,123,0.5284552845528455,0.9344990875734814,-2.2054741376620246,-0.01793068404603272,-6.790243865222467,0.10569105691056911,123,0.5284552845528455,0.5,-6.790243865222467,2.5,-1.1335431040919826,19,0.3333333333333333,19,0.3684210526315789,0.4861111111111112,-3.6999999999999997,-0.19473684210526315,-4.1000000000000005,0.0,19,0.3684210526315789,-0.6,-4.1000000000000005,2.5,-0.6756756756756758,19,0.0
SPXW,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.783_maxday1,5309,3955,723,2.1886272195163374,False,51,0.45098039215686275,0.6712956632329905,-5.434099898112784,-0.1065509783943683,-5.434099898112785,0.7058823529411765,51,0.45098039215686275,-0.6,-5.434099898112785,2.5,-0.46005779188347795,5,0.5,12,0.75,2.3224043644653896,2.3803278560377,0.19836065466980835,-0.6000000000000001,0.6666666666666666,12,0.75,0.5,-0.6000000000000001,2.5,1.0502754877479383,12,1.0
SPXW,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.600_maxday1,6010,3977,677,0.7919665819183872,False,125,0.488,0.7885624832271997,-8.003155871179628,-0.06402524696943702,-11.641406673662907,0.064,125,0.488,-0.6,-11.641406673662907,2.5,-0.3123767723933523,19,0.0,21,0.38095238095238093,0.571764904408564,-2.995882344575901,-0.14266106402742387,-4.495882344575902,0.14285714285714285,21,0.38095238095238093,-0.6,-4.495882344575902,2.5,-0.834478698579834,21,0.0
SPXW,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.521_maxday1,6740,3924,676,2.447213219258031,False,123,0.5040650406504065,0.8765684641883118,-4.296145949583979,-0.03492801585027625,-8.403166811125763,0.2764227642276423,123,0.5040650406504065,0.009756134777534342,-8.403166811125763,2.5,-0.5819169156117915,19,0.5,20,0.55,0.970873785575425,-0.15728155789270537,-0.00786407789463527,-2.6000000000000005,0.3,20,0.55,0.37135922105364716,-2.6000000000000005,2.5,-15.895061274160666,20,0.0
SPXW,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr-999.000_maxday1,7311,4029,656,5.02414105062952,False,124,0.5725806451612904,1.181128245644368,5.3293575656363945,0.04297869004545479,-3.438647073857922,0.46774193548387094,124,0.5725806451612904,0.5,-3.438647073857922,2.5,0.46909969338892865,19,0.6666666666666666,20,0.65,1.5476190476190474,2.3,0.11499999999999999,-2.7000000000000006,0.35,20,0.65,0.5,-2.7000000000000006,2.5,1.0869565217391306,20,1.0
QQQ,202601,202601,"202501,202502,202503,202504,202505,202506",202506,202507,"202507,202508,202509,202510,202511,202512",202512,thr0.400_maxday1,3662,3990,617,1.5653639322755082,False,127,0.47244094488188976,0.7813172026490642,-8.153100988869312,-0.06419764558164813,-9.34066098656558,0.2125984251968504,127,0.47244094488188976,-0.10326089879008404,-9.34066098656558,2.5,-0.3066317960997935,19,0.3333333333333333,20,0.2,0.21357380108199375,-7.364444467756482,-0.3682222233878241,-8.864444467756481,0.15,20,0.2,-0.6,-8.864444467756481,1.6355555322435167,-0.2220881071755539,20,0.0
QQQ,202602,202602,"202501,202502,202503,202504,202505,202506,202507",202507,202508,"202508,202509,202510,202511,202512,202601",202601,ABSTAIN_INVALID_VAL,4348,3921,509,-9.999999999999996e+17,True,368,0.44565217391304346,0.6812959795296655,-37.48881060948854,-0.10187176796056668,-42.44941665504301,0.04891304347826087,126,0.4444444444444444,-0.6330419264376831,-41.84941665504295,7.5,-0.20005969456128134,56,0.3333333333333333,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,
QQQ,202603,202603,"202501,202502,202503,202504,202505,202506,202507,202508",202508,202509,"202509,202510,202511,202512,202601,202602",202602,thr0.773_maxday1,5031,3747,712,1.1776151975304558,False,42,0.42857142857142855,0.5860498615258172,-6.1139181066066115,-0.14556947872872886,-7.2696969715784245,0.21428571428571427,42,0.42857142857142855,-0.6,-7.2696969715784245,2.5,-0.4089030890516077,5,0.16666666666666666,13,0.5384615384615384,0.9722222222222222,-0.09999999999999976,-0.007692307692307674,-2.6,0.46153846153846156,13,0.5384615384615384,0.5,-2.6,2.5,-25.00000000000006,13,0.0
QQQ,202604,202604,"202501,202502,202503,202504,202505,202506,202507,202508,202509",202509,202510,"202510,202511,202512,202601,202602,202603",202603,thr0.788_maxday1,5723,3767,567,2.1719345769659135,False,38,0.4473684210526316,0.642436171098692,-4.328477755073998,-0.11390730934405259,-4.328477755073999,0.23684210526315788,38,0.4473684210526316,-0.6,-4.328477755073999,2.5,-0.5775702548244379,3,0.3333333333333333,8,0.625,1.388888888888889,0.7000000000000001,0.08750000000000001,-1.2,0.25,8,0.625,0.5,-1.2,2.5,3.571428571428571,8,1.0
QQQ,202605,202605,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510",202510,202511,"202511,202512,202601,202602,202603,202604",202604,thr0.755_maxday1,6420,3637,653,3.7555000329608688,False,44,0.5227272727272727,0.9545898472363967,-0.5470587795305952,-0.0124331540802408,-2.8999999999999995,0.7045454545454546,44,0.5227272727272727,0.5,-2.8999999999999995,2.5,-4.569892840665366,3,0.6666666666666666,8,0.25,0.3010380640916469,-2.3218390605101806,-0.2902298825637726,-2.821839060510181,0.75,8,0.25,-0.6,-2.821839060510181,-0.521839060510181,0.2247524685864819,8,0.0
QQQ,202606,202606,"202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511",202511,202512,"202512,202601,202602,202603,202604,202605",202605,thr0.700_maxday1,6995,3715,581,3.2061332076663023,False,91,0.5384615384615384,0.9388730577200101,-1.41890245427969,-0.015592334662414175,-6.69884395931394,0.8461538461538461,91,0.5384615384615384,0.06048390895717448,-6.69884395931394,2.5,-1.7619252066690747,13,0.6666666666666666,16,0.625,1.3888888888888888,1.4000000000000001,0.08750000000000001,-1.6000000000000003,0.8125,16,0.625,0.5,-1.6000000000000003,2.5,1.7857142857142856,16,1.0
