date,daily_pnl,cum_pnl
20260102,-3000.0,-3000.0
20260105,-3000.0,-6000.0
20260106,1712.962778998017,-4287.037221001983
20260107,-3000.0,-7287.037221001983
20260108,5454.545192851508,-1832.4920281504756
20260109,11587.838316764854,9755.346288614379
20260112,-3000.0,6755.346288614379
20260113,2613.636086548654,9368.982375163032
20260114,-3000.0,6368.982375163032
20260115,-3000.0,3368.982375163032
20260116,1709.1832266207473,5078.1656017837795
20260119,0.0,5078.1656017837795
20260120,-3000.0,2078.1656017837795
20260121,1985.294014524834,4063.4596163086135
20260122,-3000.0,1063.4596163086135
20260123,-3000.0,-1936.5403836913865
20260126,3928.571257512181,1992.0308738207946
20260127,1907.8949019519264,3899.925775772721
20260128,-3000.0,899.925775772721
20260129,-3000.0,-2100.074224227279
20260130,-3000.0,-5100.074224227279
20260202,-3000.0,-8100.074224227279
20260203,1864.753986231523,-6235.3202379957565
20260204,-3000.0,-9235.320237995757
20260205,-3000.0,-12235.320237995757
20260206,-3000.0,-15235.320237995757
20260209,-3000.0,-18235.32023799576
20260210,-3000.0,-21235.32023799576
20260211,-3000.0,-24235.32023799576
20260212,1801.9483133278468,-22433.37192466791
20260213,-3000.0,-25433.37192466791
20260216,0.0,-25433.37192466791
20260217,-3000.0,-28433.37192466791
20260218,-3000.0,-31433.37192466791
20260219,1237.113414731564,-30196.258509936346
20260220,4750.000000000001,-25446.258509936346
20260223,3500.000238418579,-21946.258271517767
20260224,-3000.0,-24946.258271517767
20260225,-3000.0,-27946.258271517767
20260226,-3000.0,-30946.258271517767
20260227,-3000.0,-33946.25827151777
20260302,3428.8596116652952,-30517.398659852475
20260303,-1607.7237151274066,-32125.12237497988
20260304,-5621.951285995663,-37747.07366097554
20260305,-6000.0,-43747.07366097554
20260306,1190.25114322831,-42556.822517747234
20260309,5196.025515125313,-37360.79700262192
20260310,-1.862645103756222e-05,-37360.79702124837
20260311,5423.9130364361245,-31936.883984812244
20260312,-408.6475307605742,-32345.531515572817
20260313,10807.132692985138,-21538.39882258768
20260316,-6000.0,-27538.39882258768
20260317,-6000.0,-33538.39882258768
20260318,-4832.060994027159,-38370.45981661484
20260319,1802.6312157057619,-36567.82860090908
20260320,4585.6399591736645,-31982.188641735418
20260323,-1125.000253997067,-33107.188895732485
20260324,7276.003333442986,-25831.1855622895
20260325,879.8700092333015,-24951.315553056196
20260326,-258.40335292639793,-25209.718905982594
20260327,2803.73773467378,-22405.981171308813
20260330,1386.3630156871823,-21019.618155621632
20260331,8418.66725307017,-12600.950902551462
20260401,0.0,-12600.950902551462
20260402,24994.938915054023,12393.988012502561
20260403,0.0,12393.988012502561
20260406,-5250.0,7143.988012502561
20260407,4558.571137027478,11702.55914953004
20260408,2084.8486297332133,13787.407779263252
20260409,0.0,13787.407779263252
20260410,954.24399206733,14741.651771330582
20260413,-17695.03541502249,-2953.3836436919064
20260414,-4582.3326447026275,-7535.716288394534
20260415,0.0,-7535.716288394534
20260416,-12000.0,-19535.716288394535
20260417,-7865.85493785636,-27401.571226250897
20260420,9053.03085180653,-18348.54037444437
20260421,2022.726369626629,-16325.81400481774
20260422,-7320.759970153998,-23646.57397497174
20260423,-2929.4753074246355,-26576.049282396376
20260424,-9000.0,-35576.04928239637
20260427,-104.5752169076518,-35680.62449930402
20260428,11677.78807282067,-24002.836426483354
20260429,4544.391712287815,-19458.44471419554
20260430,-12000.0,-31458.44471419554
20260501,-9000.0,-40458.44471419554
20260504,24167.741052814137,-16290.703661381402
20260505,-8566.137503564452,-24856.841164945854
20260506,-3000.0,-27856.841164945854
20260507,7735.5682631105265,-20121.272901835328
20260508,-4652.5974930750235,-24773.87039491035
20260511,-4548.850425090733,-29322.720820001083
20260512,5114.876033318729,-24207.844786682355
20260513,-3397.5408394405295,-27605.385626122887
20260514,-4029.660409087911,-31635.0460352108
20260515,-4256.26988534234,-35891.31592055314
20260518,14539.800343633631,-21351.51557691951
20260519,-9000.0,-30351.51557691951
20260520,-9000.0,-39351.51557691951
20260521,-3070.3126673470283,-42421.82824426654
20260522,-4421.717487954444,-46843.545732220984
20260525,0.0,-46843.545732220984
20260526,1204.0097525399256,-45639.53597968106
20260527,662.834821604718,-44976.70115807634
20260528,-3416.6666666666665,-48393.36782474301
20260529,-2109.8132246768564,-50503.181049419865
20260601,-3000.0,-53503.181049419865
20260602,-3000.0,-56503.181049419865
20260603,1461.8649718337726,-55041.316077586096
20260604,-3000.0,-58041.316077586096
20260605,-3000.0,-61041.316077586096
20260608,-3000.0,-64041.316077586096
20260609,11249.999838030859,-52791.316239555235
20260610,3385.036845676962,-49406.27939387827
20260611,3571.428742487819,-45834.85065139045
20260612,1740.196204469647,-44094.6544469208
20260615,-3000.0,-47094.6544469208
20260616,5220.588029049668,-41874.06641787113
20260617,3547.97999258735,-38326.08642528378
20260618,-3000.0,-41326.08642528378
20260619,0.0,-41326.08642528378
20260622,16957.548782468228,-24368.53764281555
20260623,2015.3059859118948,-22353.231656903656
20260624,1250.000177394782,-21103.231479508875
20260625,-3000.0,-24103.231479508875
20260626,-3000.0,-27103.231479508875
20260629,-3000.0,-30103.231479508875
20260630,-3000.0,-33103.231479508875
