ticker,month,mode,variants,selected_source,source_stream,source_path,max_day,cooldown,daily_order,select_months,select_score,select_trades,select_win_rate,select_profit_factor,select_pnl_return,select_avg_return,select_max_drawdown,select_call_rate,select_days_with_trades,select_daily_win_rate,select_median_daily_return,select_daily_max_drawdown,select_top5_day_return,select_top5_share_of_pnl,select_min_month_trades,select_positive_month_rate,test_trades,test_win_rate,test_profit_factor,test_pnl_return,test_avg_return,test_max_drawdown,test_call_rate,test_days_with_trades,test_daily_win_rate,test_median_daily_return,test_daily_max_drawdown,test_top5_day_return,test_top5_share_of_pnl,test_min_month_trades,test_positive_month_rate,source_file,test_month
QQQ,202601,NO_HISTORY,d25,d25,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv,1,0,time_asc,,,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,20,0.75,4.044377791855931,9.133133375567795,0.45665666877838973,-1.1999999999999993,0.8,20,0.75,0.39683435575782355,-1.1999999999999993,8.072608217664762,0.8838815645964327,20,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_folds.csv,202601
QQQ,202602,NO_HISTORY,d25,d25,QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv,1,0,time_asc,,,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,19,0.42105263157894735,1.4001381139543918,2.5752478545476643,0.13553936076566653,-2.2358974182629248,0.0,19,0.42105263157894735,-0.6,-2.2358974182629248,7.420688323070282,2.881543347358193,19,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_folds.csv,202602
QQQ,202603,SELECTED,"d25,d35,d50,d65","d25,d35,d50,d65",QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d50_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf2026_v1\event_option_gate_trades.csv,999,30,score_desc,"202601,202602",40.54926158361573,126,0.6031746031746031,2.0466378289245446,30.989932740669015,0.24595184714816679,-2.8980561933262763,0.2857142857142857,39,0.6666666666666666,0.2615323155314202,-2.8980561933262656,20.7774257306072,0.6704572708975377,53,1.0,83,0.5783132530120482,1.480726756273297,9.884362403953046,0.11908870366208489,-6.364825837127272,0.5301204819277109,22,0.6818181818181818,0.712740191138287,-5.880066668985737,12.71383467723944,1.2862574395445885,83,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_folds.csv,202603
QQQ,202604,SELECTED,"d25,d50,d65,d80","d25,d50,d65,d80",QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d50_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d80_return_wf2026_v1\event_option_gate_trades.csv,2,30,score_desc,"202602,202603",38.04692740071756,81,0.6172839506172839,2.16127122305234,20.81332068923455,0.2569545764103031,-3.1687579839691877,0.2716049382716049,41,0.5853658536585366,0.09915258860458154,-3.168757983969187,12.774139028623111,0.6137482441824089,37,1.0,36,0.4166666666666667,0.6234084757509931,-4.745053205537487,-0.13180703348715242,-7.627812681638627,0.3611111111111111,18,0.2777777777777778,-0.28386186075568853,-7.627812681638627,4.149842331374636,-0.8745618124011256,36,0.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_folds.csv,202604
QQQ,202605,SELECTED,"d25,d35,d50","d25,d35,d50",QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d50_return_wf2026_v1\event_option_gate_trades.csv,2,0,time_asc,"202603,202604",43.136676614956045,80,0.6375,2.689465279656671,29.319901991342512,0.3664987748917814,-4.410162578518241,0.4375,40,0.625,0.22663084605585804,-3.812505623258719,22.758232733096744,0.776204256747404,36,1.0,40,0.45,0.6795151251711465,-4.230400347740866,-0.10576000869352165,-4.974269553142989,0.375,20,0.4,-0.26070156527576005,-4.576052461091537,3.2741958904780373,-0.7739683295521984,40,0.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_folds.csv,202605
QQQ,202606,SELECTED,"d25,d35,d65","d25,d35,d65",QQQ,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf2026_v1\event_option_gate_trades.csv,1,0,time_asc,"202604,202605",32.88911465113771,38,0.631578947368421,1.9163494209102534,7.69733513564613,0.20256145093805605,-2.3999999999999986,0.42105263157894735,38,0.631578947368421,0.30741093740730807,-2.3999999999999986,8.576222548025505,1.1141807387740303,18,1.0,20,0.45,1.6220362631449254,3.8327994323949013,0.19163997161974505,-2.2428571538049353,0.25,20,0.45,-0.38084886644455607,-2.2428571538049353,8.087491523001356,2.1100742852980274,20,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_QQQ_wf2026_v1\trade_union_config_selector_folds.csv,202606
SPXW,202601,NO_HISTORY,d25,d25,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv,1,0,time_asc,,,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,19,0.42105263157894735,0.5734348622093012,-2.6541830764476497,-0.13969384612882366,-3.294135175996414,0.3684210526315789,19,0.42105263157894735,-0.6,-3.294135175996414,2.698736863349226,-1.0167862523489553,19,0.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_folds.csv,202601
SPXW,202602,NO_HISTORY,d25,d25,SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv,1,0,time_asc,,,0,,,0.0,,0.0,,0,,,0.0,0.0,,0,,17,0.5294117647058824,1.9131065840632904,4.382911603503793,0.25781832961787016,-1.8000000000000003,0.0,17,0.5294117647058824,0.3313953230482889,-1.8000000000000003,7.257561792001953,1.655876834522536,17,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_folds.csv,202602
SPXW,202603,SELECTED,"d35,d65","d35,d65",SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d35_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf2026_v1\event_option_gate_trades.csv,1,0,score_desc,"202601,202602",37.172832992168836,39,0.6923076923076923,2.3921586979433815,10.023542625192349,0.25701391346647046,-1.799999999999999,0.28205128205128205,39,0.6923076923076923,0.3601694654986904,-1.799999999999999,6.9099035204273385,0.6893674002104361,19,1.0,22,0.6818181818181818,2.4482359470804957,5.320292251713184,0.2418314659869629,-1.3190386540950536,0.5,22,0.6818181818181818,0.37496491280965155,-1.3190386540950536,5.111473999415214,0.9607506049633404,22,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_folds.csv,202603
SPXW,202604,SELECTED,"d25,d50,d65","d25,d50,d65",SPXW,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d25_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d50_return_wf2026_v1\event_option_gate_trades.csv|research_papers\JEPA\results\_diagnostics\event_option_mh30trail_clean1000_nopool_d65_return_wf2026_v1\event_option_gate_trades.csv,2,0,time_asc,"202602,202603",34.07198397221764,82,0.573170731707317,1.7873268698486855,15.922608188340496,0.19417814863829871,-4.174341165145022,0.3048780487804878,41,0.5853658536585366,0.46999994913736953,-4.174341165145022,12.452474972833132,0.782062512971436,38,1.0,42,0.5,1.4733352508066981,5.707070744746585,0.1358826367796806,-5.310953633162277,0.16666666666666666,21,0.42857142857142855,-0.07619044104941419,-5.053810740878366,12.66196059649545,2.2186444084561083,42,1.0,research_papers\JEPA\results\_diagnostics\event_option_mh30trail_union_selector_SPXW_wf2026_v1\trade_union_config_selector_folds.csv,202604
