scan_rank,name,dir,eligible_pre2026_selection,test_pass,fold_2026_ok,test_pass_with_lineage,observed_ticker_gates_passed,all_ticker_wilson_lower_passed,strict_pre2026_lineage_candidate,strict_pre2026_lineage_robust_passed,test_wr_min,test_pf_min,test_min_month_min,test_pnl_sum,wilson_min,wilson_min_ticker,select_score,fold_2026_checked,fold_2026_issues,spxw_trades,spxw_wins,spxw_win_rate,spxw_profit_factor,spxw_min_month_trades,spxw_wilson_lower,spxw_wilson_upper,spxw_wilson_lower_passed,spy_trades,spy_wins,spy_win_rate,spy_profit_factor,spy_min_month_trades,spy_wilson_lower,spy_wilson_upper,spy_wilson_lower_passed,qqq_trades,qqq_wins,qqq_win_rate,qqq_profit_factor,qqq_min_month_trades,qqq_wilson_lower,qqq_wilson_upper,qqq_wilson_lower_passed
1,dense_candidate_daily_streak_guard_scan_best_t4p2_roll3m1_vp20,research_papers\JEPA\results\_diagnostics\dense_candidate_daily_streak_guard_scan_best_t4p2_roll3m1_vp20,True,True,False,False,True,False,False,False,0.5227272727272727,1.8253968253968251,19,31.5,0.41695642649729936,SPY,18.26925775530544,24,row38:val_months:after_202512|row39:val_months:after_202512|row40:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row81:val_months:after_202512|row121:val_months:after_202512|row122:val_months:after_202512|row123:val_months:after_202512|row162:val_months:after_202512|row163:val_months:after_202512|row164:val_months:after_202512|row204:val_months:after_202512|row205:val_months:after_202512|row206:val_months:after_202512|row245:val_months:after_202512|row246:val_months:after_202512|row247:val_months:after_202512,79,44,0.5569620253164557,2.095238095238095,19,0.44731912948308383,0.6613221248854566,False,80,42,0.525,1.842105263157894,19,0.41695642649729936,0.6307526670259243,False,88,46,0.5227272727272727,1.8253968253968251,19,0.41961959494387296,0.6239337202077226,False
2,event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_backfill_d50max3_causal_2023_2026_v1,True,True,False,False,True,False,False,False,0.5280898876404494,1.865079365079365,19,31.599999999999994,0.42326718507834094,SPY,18.140856062092734,24,row37:val_months:after_202512|row38:val_months:after_202512|row39:val_months:after_202512|row78:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row119:val_months:after_202512|row120:val_months:after_202512|row121:val_months:after_202512|row160:val_months:after_202512|row161:val_months:after_202512|row162:val_months:after_202512|row201:val_months:after_202512|row202:val_months:after_202512|row203:val_months:after_202512|row242:val_months:after_202512|row243:val_months:after_202512|row244:val_months:after_202512,82,44,0.5365853658536586,1.929824561403508,19,0.4294472560322624,0.6404490397952913,False,81,43,0.5308641975308642,1.8859649122807012,19,0.42326718507834094,0.6356662664381767,False,89,47,0.5280898876404494,1.865079365079365,19,0.4253754742950576,0.6284797759725685,False
3,dense_candidate_monthly_pnl_rescue_best_t-1_start10_max3_cd45,research_papers\JEPA\results\_diagnostics\dense_candidate_monthly_pnl_rescue_best_t-1_start10_max3_cd45,True,True,False,False,True,False,False,False,0.5061728395061729,1.7083333333333333,19,29.599999999999998,0.3995078470731793,SPY,18.07452391913026,24,row38:val_months:after_202512|row39:val_months:after_202512|row40:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row81:val_months:after_202512|row121:val_months:after_202512|row122:val_months:after_202512|row123:val_months:after_202512|row162:val_months:after_202512|row163:val_months:after_202512|row164:val_months:after_202512|row204:val_months:after_202512|row205:val_months:after_202512|row206:val_months:after_202512|row245:val_months:after_202512|row246:val_months:after_202512|row247:val_months:after_202512,79,44,0.5569620253164557,2.095238095238095,19,0.44731912948308383,0.6613221248854566,False,81,41,0.5061728395061729,1.7083333333333333,19,0.3995078470731793,0.6122788432301242,False,88,45,0.5113636363636364,1.7441860465116277,19,0.40865530398151334,0.6131213535942844,False
4,dense_candidate_daily_streak_guard_l4p1_vp18,research_papers\JEPA\results\_diagnostics\dense_candidate_daily_streak_guard_l4p1_vp18,True,True,False,False,True,False,False,False,0.5189873417721519,1.798245614035087,19,31.499999999999993,0.4105110559940594,SPY,17.8888535990125,24,row38:val_months:after_202512|row39:val_months:after_202512|row40:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row81:val_months:after_202512|row121:val_months:after_202512|row122:val_months:after_202512|row123:val_months:after_202512|row162:val_months:after_202512|row163:val_months:after_202512|row164:val_months:after_202512|row204:val_months:after_202512|row205:val_months:after_202512|row206:val_months:after_202512|row245:val_months:after_202512|row246:val_months:after_202512|row247:val_months:after_202512,79,44,0.5569620253164557,2.095238095238095,19,0.44731912948308383,0.6613221248854566,False,79,41,0.5189873417721519,1.798245614035087,19,0.4105110559940594,0.6257026954621209,False,89,47,0.5280898876404494,1.865079365079365,19,0.4253754742950576,0.6284797759725685,False
5,dense_candidate_walkforward_2026_completed_jan_may_v1,research_papers\JEPA\results\_diagnostics\dense_candidate_walkforward_2026_completed_jan_may_v1,True,True,False,False,True,False,False,False,0.5280898876404494,1.865079365079365,19,32.5,0.42326718507834094,SPY,17.88780707388246,24,row38:val_months:after_202512|row39:val_months:after_202512|row40:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row81:val_months:after_202512|row121:val_months:after_202512|row122:val_months:after_202512|row123:val_months:after_202512|row162:val_months:after_202512|row163:val_months:after_202512|row164:val_months:after_202512|row204:val_months:after_202512|row205:val_months:after_202512|row206:val_months:after_202512|row245:val_months:after_202512|row246:val_months:after_202512|row247:val_months:after_202512,79,44,0.5569620253164557,2.095238095238095,19,0.44731912948308383,0.6613221248854566,False,81,43,0.5308641975308642,1.8859649122807012,19,0.42326718507834094,0.6356662664381767,False,89,47,0.5280898876404494,1.865079365079365,19,0.4253754742950576,0.6284797759725685,False
6,event_option_gate_dense15_zero_dte_win_d25_strict_uniform_backfill_d50max3_causal_2023_2026_v1,research_papers\JEPA\results\event_option_gate_dense15_zero_dte_win_d25_strict_uniform_backfill_d50max3_causal_2023_2026_v1,True,True,False,False,True,False,False,False,0.5280898876404494,1.865079365079365,19,32.5,0.42326718507834094,SPY,17.88780707388246,24,row38:val_months:after_202512|row39:val_months:after_202512|row40:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row81:val_months:after_202512|row121:val_months:after_202512|row122:val_months:after_202512|row123:val_months:after_202512|row162:val_months:after_202512|row163:val_months:after_202512|row164:val_months:after_202512|row204:val_months:after_202512|row205:val_months:after_202512|row206:val_months:after_202512|row245:val_months:after_202512|row246:val_months:after_202512|row247:val_months:after_202512,79,44,0.5569620253164557,2.095238095238095,19,0.44731912948308383,0.6613221248854566,False,81,43,0.5308641975308642,1.8859649122807012,19,0.42326718507834094,0.6356662664381767,False,89,47,0.5280898876404494,1.865079365079365,19,0.4253754742950576,0.6284797759725685,False
7,dense_candidate_daily_streak_guard_l3p1_vp18,research_papers\JEPA\results\_diagnostics\dense_candidate_daily_streak_guard_l3p1_vp18,True,True,False,False,True,False,False,False,0.5172413793103449,1.7857142857142856,19,30.599999999999994,0.4137512133636875,QQQ,16.222023978931322,24,row38:val_months:after_202512|row39:val_months:after_202512|row40:val_months:after_202512|row79:val_months:after_202512|row80:val_months:after_202512|row81:val_months:after_202512|row121:val_months:after_202512|row122:val_months:after_202512|row123:val_months:after_202512|row162:val_months:after_202512|row163:val_months:after_202512|row164:val_months:after_202512|row204:val_months:after_202512|row205:val_months:after_202512|row206:val_months:after_202512|row245:val_months:after_202512|row246:val_months:after_202512|row247:val_months:after_202512,77,42,0.5454545454545454,1.9999999999999996,19,0.43473084293295094,0.6518583911322823,False,78,42,0.5384615384615384,1.944444444444444,19,0.4286364394039756,0.6446760367720094,False,87,45,0.5172413793103449,1.7857142857142856,19,0.4137512133636875,0.6192733553623774,False
8,event_static_union_longsrc_2024h2select_objpass_simpler_spy_daily_guard_l5p2_risk5000_v1,research_papers\JEPA\results\event_static_union_longsrc_2024h2select_objpass_simpler_spy_daily_guard_l5p2_risk5000_v1,True,True,True,True,True,False,True,False,0.5121951219512195,1.4351875826629967,19,20.05137142637426,0.4059077238820504,SPXW,8.021741868305572,24,,82,42,0.5121951219512195,1.7371907395113129,19,0.4059077238820504,0.6173910413938009,False,196,105,0.5357142857142857,1.4671969380345093,38,0.46587875550092717,0.6041767779335108,True,148,76,0.5135135135135135,1.4351875826629967,34,0.4336714275713848,0.5926718388267831,False
9,event_static_union_longsrc_2024h2select_2025_2026janmay_risk5000_v1,research_papers\JEPA\results\event_static_union_longsrc_2024h2select_2025_2026janmay_risk5000_v1,True,True,True,True,True,False,True,False,0.506578947368421,1.3776982322348923,19,22.162456108923184,0.4059077238820504,SPXW,7.646809395858374,27,,82,42,0.5121951219512195,1.7371907395113129,19,0.4059077238820504,0.6173910413938009,False,208,113,0.5432692307692307,1.5676464289458187,44,0.47540198257029914,0.6095672208151225,True,152,77,0.506578947368421,1.3776982322348923,34,0.4279221522197677,0.5849114032097994,False
10,event_static_union_longsrc_2024h2select_2025_2026janmay_daily_guard_l5p2_risk5000_v1,research_papers\JEPA\results\event_static_union_longsrc_2024h2select_2025_2026janmay_daily_guard_l5p2_risk5000_v1,True,True,True,True,True,False,True,False,0.5121951219512195,1.4351875826629967,19,22.68874054089781,0.4059077238820504,SPXW,7.516919752807972,27,,82,42,0.5121951219512195,1.7371907395113129,19,0.4059077238820504,0.6173910413938009,False,208,113,0.5432692307692307,1.5676464289458187,44,0.47540198257029914,0.6095672208151225,True,148,76,0.5135135135135135,1.4351875826629967,34,0.4336714275713848,0.5926718388267831,False
11,event_static_union_longsrc_2024h2select_2025_2026janmay_objpass_simpler_spy_risk5000_v1,research_papers\JEPA\results\event_static_union_longsrc_2024h2select_2025_2026janmay_objpass_simpler_spy_risk5000_v1,True,True,True,True,True,False,True,False,0.506578947368421,1.3776982322348923,19,19.60633824340003,0.4059077238820504,SPXW,7.496401195944112,24,,82,42,0.5121951219512195,1.7371907395113129,19,0.4059077238820504,0.6173910413938009,False,201,108,0.5373134328358209,1.4571417739649106,38,0.4683296336176688,0.604897730053521,True,152,77,0.506578947368421,1.3776982322348923,34,0.4279221522197677,0.5849114032097994,False
