scope,ticker,year,events,eligible,both_valid,coverage
ticker_year,QQQ,2022,485,485,485,1.0
ticker_year,QQQ,2023,1622,1610,1610,0.9926017262638718
ticker_year,QQQ,2024,1681,1619,1619,0.9631171921475312
ticker_year,QQQ,2025,1620,1620,1619,0.9993827160493827
ticker_year,SPXW,2022,717,717,717,1.0
ticker_year,SPXW,2023,1722,1722,1721,0.9994192799070848
ticker_year,SPXW,2024,1733,1733,1733,1.0
ticker_year,SPXW,2025,1686,1686,1686,1.0
ticker_year,SPY,2022,523,523,523,1.0
ticker_year,SPY,2023,1725,1725,1724,0.9994202898550725
ticker_year,SPY,2024,1731,1731,1731,1.0
ticker_year,SPY,2025,1681,1681,1681,1.0
ticker,QQQ,ALL,5408,5334,5333,0.9861316568047337
ticker,SPXW,ALL,5858,5858,5857,0.999829293274155
ticker,SPY,ALL,5660,5660,5659,0.9998233215547703
