cell_id,family,fold,ticker,horizon,valid_pair,auc_delta,average_precision_delta,log_loss_delta,brier_delta,balanced_accuracy_delta,spearman_delta,ece_delta,bootstrap_requested,bootstrap_valid,bootstrap_auc_delta_p025,bootstrap_auc_delta_median,bootstrap_auc_delta_p975,bootstrap_favorable_share
lr_2024_SPXW_30m,lr,2024,SPXW,30,True,-0.023592324630386963,-0.00907225872493267,0.006270783948357672,0.0026346075231774013,-0.0222097046753037,-0.03965393157765247,0.0003865902064576626,1000,1000,-0.05794517653095325,-0.023076347855538998,0.00890703107507047,0.071
lr_2024_SPXW_60m,lr,2024,SPXW,60,True,0.003330618543443742,0.004600805412476483,0.011325659182721881,0.004925999594578012,0.0026726392044237324,0.005692212635770057,0.014491327055835238,1000,1000,-0.02479006977396283,0.0023896821932613554,0.03218928016794208,0.564
lr_2024_SPXW_120m,lr,2024,SPXW,120,True,-0.008794026359588036,-0.0060661619654719945,0.00475610019684658,0.0021824858358234778,-0.012276936324437604,-0.01518769930543246,0.010497314196924575,1000,1000,-0.037800561646586024,-0.008792620441897658,0.02055062396145107,0.271
lr_2024_SPXW_180m,lr,2024,SPXW,180,True,0.009885037699607246,0.014371597773651323,0.0007816764709853707,0.00022624863741910195,0.0030475043720077366,0.017064937787562975,-0.005341709139839383,1000,1000,-0.020329670568112142,0.009581616930532055,0.037148926627164944,0.759
lr_2024_QQQ_30m,lr,2024,QQQ,30,True,-0.0019129167425758764,0.0042605874565779245,0.010091149801331634,0.0047138890147242485,-0.01016882249347184,-0.0032436928199246484,0.01637681264160322,1000,1000,-0.023029296124759,-0.0018696467242268477,0.019312064961992104,0.435
lr_2024_QQQ_60m,lr,2024,QQQ,60,True,-0.004993102680612371,-0.005437319501082893,0.0165902797183628,0.00771836964800543,-0.011290136634505621,-0.008572162413194605,0.027112931805039223,1000,1000,-0.03030992944050035,-0.0053449593474828305,0.020978391204261336,0.354
lr_2024_QQQ_120m,lr,2024,QQQ,120,True,0.019031737493276024,0.02099484822307307,0.010789094577555947,0.004822791101066981,-0.011859422628653249,0.032936662777314094,0.051058516918795586,1000,1000,-0.0051770002049647545,0.018790365007489762,0.041921177872301665,0.937
lr_2024_QQQ_180m,lr,2024,QQQ,180,True,0.010887538894650994,0.012883844874714834,0.007261194216459876,0.0027470408025901394,0.004065787524077602,0.018846840916654062,0.02630056731829459,1000,1000,-0.017606788393038857,0.010627758674490284,0.03824605753727679,0.743
lr_2024_SPY_30m,lr,2024,SPY,30,True,-0.03133110019838048,-0.008335440214388812,0.01887335631689313,0.00884658482854847,-0.026927704966015154,-0.05306311465408194,0.025700960220440258,1000,1000,-0.060152702207609224,-0.030975496490030452,0.001314315981943927,0.033
lr_2024_SPY_60m,lr,2024,SPY,60,True,-0.010382613157655207,0.003181126830900105,0.011460356933487015,0.005497085049284367,-0.01179992882385561,-0.01776934538221821,0.021715402803921466,1000,1000,-0.04130053334785123,-0.010060601989955092,0.023554071923174987,0.263
lr_2024_SPY_120m,lr,2024,SPY,120,True,-0.0061691836936136335,0.0071070568290586,0.008818482609388001,0.004030496034144182,-0.010607911361168676,-0.010655001972373797,0.01470880539285379,1000,1000,-0.03666754688435138,-0.006271452076306583,0.025493785070528643,0.343
lr_2024_SPY_180m,lr,2024,SPY,180,True,0.004384323669204049,0.009551282580917808,0.0009722600135791959,0.000399317089929796,-0.02714091830636639,0.007578464231022028,0.027829826649191446,1000,1000,-0.03352275331180248,0.004052272881921226,0.03746844345725266,0.586
lr_2025_SPXW_30m,lr,2025,SPXW,30,True,0.005683996245918865,0.010542719407344525,0.002348898436510205,0.0010806705035455166,0.015264173639476075,0.009537872911718481,0.004940319849948388,1000,1000,-0.0125705447406707,0.005737464672737058,0.023275826219557698,0.729
lr_2025_SPXW_60m,lr,2025,SPXW,60,True,-0.02032026412153609,-0.013957865321383545,0.012521989056465288,0.006084121901296702,-0.0234416242804113,-0.034772034113512,0.02399124980974486,1000,1000,-0.045302089709563474,-0.019888852787876332,0.0050159252202146825,0.059
lr_2025_SPXW_120m,lr,2025,SPXW,120,True,-0.0013867054516417676,0.002885656295974537,0.01741730750735404,0.008575521968355038,0.004366874494244666,-0.002360146498062113,0.038246656177697486,1000,1000,-0.027601383256795942,-0.0014850470364571877,0.023619763737503973,0.452
lr_2025_SPXW_180m,lr,2025,SPXW,180,True,-0.004381161007667056,-0.007821057382828123,0.009800517869329117,0.0047791003313734925,-0.02834063526834607,-0.007455585016433688,0.020767461140645788,1000,1000,-0.030008615868695177,-0.004121193510611021,0.021792941005254064,0.382
lr_2025_QQQ_30m,lr,2025,QQQ,30,True,0.015203516377649273,0.011675286884616332,-0.013105896221949132,-0.006487960686966832,0.013361030828516363,0.025984454761586465,-0.036913618856633426,1000,1000,-0.006472337578392861,0.015133838509621023,0.037778261264173794,0.904
lr_2025_QQQ_60m,lr,2025,QQQ,60,True,-0.01410705155936609,0.005188595761337345,0.0020530074886522254,0.0010601937810472695,-0.014122782868604244,-0.024373814134101682,0.005808013755485446,1000,1000,-0.03504360017950109,-0.013586045530595725,0.007533824817055381,0.108
lr_2025_QQQ_120m,lr,2025,QQQ,120,True,-0.003861905379612063,0.008773882826284607,0.011555000194634402,0.00555186755420764,-0.00841687823138082,-0.006630773788586397,0.02783402633384001,1000,1000,-0.02888695721517873,-0.0038729847353025093,0.022100393190246998,0.383
lr_2025_QQQ_180m,lr,2025,QQQ,180,True,-0.001993471381226408,-0.009896233584963054,0.007899010157912612,0.00371268168010358,-0.019536019536019578,-0.00343696468300482,0.01677316647896654,1000,1000,-0.028092663968917138,-0.0019800766145365856,0.025924137456663436,0.436
lr_2025_SPY_30m,lr,2025,SPY,30,True,-0.004201952291680189,-0.0042596685692711245,0.007170821195793153,0.0032002888246276395,-0.007747753571659466,-0.007076600358678742,0.0072885248785674595,1000,1000,-0.029436534428441203,-0.0037434368989556766,0.0187342559256382,0.388
lr_2025_SPY_60m,lr,2025,SPY,60,True,-0.0023263027295284955,0.0002453039427351422,0.009960064861304074,0.004939791100116692,-0.01001738605197855,-0.003969129961046272,0.022634656992543203,1000,1000,-0.028183689763801627,-0.0024197710539914374,0.022077452340079032,0.433
lr_2025_SPY_120m,lr,2025,SPY,120,True,-0.016225347000457302,-0.028421419126957725,0.006206887108577197,0.0030236280572365215,-0.011199642616577243,-0.0276527725161288,0.003556245843974154,1000,1000,-0.03973649454056238,-0.01602724970359004,0.009483768902736682,0.11
lr_2025_SPY_180m,lr,2025,SPY,180,True,-0.015793152484363526,-0.026885243742353127,0.005118049570460581,0.0024971831294131885,-0.03925390761517977,-0.026884646671886878,0.002532919969097061,1000,1000,-0.04674604023898679,-0.015830803361401746,0.015047053972753488,0.14
lgbm_sensitivity_2024_SPXW_30m,lgbm_sensitivity,2024,SPXW,30,True,0.013160493646532156,0.022307440632651332,-0.005656914312547445,-0.00312501175033314,0.03373153763433001,0.022120131134324594,0.01084033234641453,1000,1000,-0.022455726466846286,0.012727929391836756,0.053545758826654605,0.754
lgbm_sensitivity_2024_SPXW_60m,lgbm_sensitivity,2024,SPXW,60,True,0.016936002400445682,0.022081934620598043,-0.011315331788333771,-0.005449885970450152,-0.005004500835869563,0.028944571588066285,-0.019427409385971706,1000,1000,-0.01677184029328301,0.017385914598972096,0.05338171175486447,0.825
lgbm_sensitivity_2024_SPXW_120m,lgbm_sensitivity,2024,SPXW,120,True,-0.020775365159333536,0.0012649542736719033,0.00367161441461894,0.0018529326561594894,-0.033497304279095474,-0.03588003789146009,0.00985758526515676,1000,1000,-0.05521951834920129,-0.021353328644881986,0.01599593063081288,0.15
lgbm_sensitivity_2024_SPXW_180m,lgbm_sensitivity,2024,SPXW,180,True,0.02725265904073848,0.047185582848309426,-0.010469205473214838,-0.0053929265014661665,0.024021673690547862,0.04704736038531718,-0.0046157272635592855,1000,1000,-0.015211045264595538,0.027915322873372256,0.07008130974927847,0.912
lgbm_sensitivity_2024_QQQ_30m,lgbm_sensitivity,2024,QQQ,30,True,-0.005969514787150132,-0.004485443481272999,0.005926217459568117,0.0028521180528932044,-0.011559482601566806,-0.010122381085669619,-0.00804934796104162,1000,1000,-0.03826643710665779,-0.006485096579387145,0.023498922227552517,0.357
lgbm_sensitivity_2024_QQQ_60m,lgbm_sensitivity,2024,QQQ,60,True,-0.003271754383872505,-0.008960717979192512,0.016927309794868894,0.007560180538495609,-0.010361880682337676,-0.0056169503710662115,0.030959776691225446,1000,1000,-0.03838981458385118,-0.00240239692393146,0.030409672494415504,0.45
lgbm_sensitivity_2024_QQQ_120m,lgbm_sensitivity,2024,QQQ,120,True,-0.008642639411870157,-0.009818142283279818,0.013972727040105326,0.005894074853454112,0.0004500627577550542,-0.01495710519942095,0.00839338122654866,1000,1000,-0.04067788482493358,-0.008259191910302055,0.020992693357664474,0.299
lgbm_sensitivity_2024_QQQ_180m,lgbm_sensitivity,2024,QQQ,180,True,0.02707364053933914,0.022469632148786833,-0.021985930444007873,-0.009525432948906343,0.009479922951548425,0.046865742682240516,-0.028041824235517293,1000,1000,-0.0025180116468981545,0.026843754490370964,0.05499222929236786,0.962
lgbm_sensitivity_2024_SPY_30m,lgbm_sensitivity,2024,SPY,30,True,0.008377508211649065,0.023179489117407637,-0.00394597902787186,-0.001897024652928958,5.203421249477813e-05,0.01418835201877881,0.007468540724860598,1000,1000,-0.022033599744302065,0.008756888807795765,0.04245281210647279,0.701
lgbm_sensitivity_2024_SPY_60m,lgbm_sensitivity,2024,SPY,60,True,0.01327517856108329,0.01196672902586099,-0.006748505955996964,-0.0033532642373096944,0.01845200162215388,0.0227198325971128,0.0024766213728222852,1000,1000,-0.02024673720243547,0.013216013439039886,0.047100393120160726,0.79
lgbm_sensitivity_2024_SPY_120m,lgbm_sensitivity,2024,SPY,120,True,-0.00572500246767349,-0.0011340148057749078,0.0058341370703219875,0.0024362025095973072,-0.0012523442898035864,-0.009887841830362894,0.007788673347318559,1000,1000,-0.03829594014078259,-0.007150043315367172,0.025599169442911098,0.346
lgbm_sensitivity_2024_SPY_180m,lgbm_sensitivity,2024,SPY,180,True,-0.03167883293213514,-0.033693780588664735,0.016032454627691317,0.007321821277349483,-0.02250247141811923,-0.054758024354594835,0.017858640052251754,1000,1000,-0.07931529328249919,-0.031462183400382315,0.012752719417000265,0.073
lgbm_sensitivity_2025_SPXW_30m,lgbm_sensitivity,2025,SPXW,30,True,0.010654188312117507,0.025420292864889005,-0.013325394532516466,-0.006107291459074238,-0.01188351773274654,0.017877966434523468,-0.007941900155357756,1000,1000,-0.023826250777230863,0.010558420990019413,0.04767442684094914,0.71
lgbm_sensitivity_2025_SPXW_60m,lgbm_sensitivity,2025,SPXW,60,True,-0.02288019842633182,-0.017825120110540493,0.013059876899059297,0.006086045312449051,-0.020163148677297293,-0.03915259346265754,0.0218238160599432,1000,1000,-0.06433215631298705,-0.022808386429082894,0.019067460325503723,0.124
lgbm_sensitivity_2025_SPXW_120m,lgbm_sensitivity,2025,SPXW,120,True,-0.033833474142755726,-0.050111563029675066,0.011710663983972358,0.005679031722803346,-0.022066084179080958,-0.05758393422392696,-0.010193647716670334,1000,1000,-0.07176600264297654,-0.03330282067267015,0.0038676873857528956,0.037
