mode,outer_month,ticker,arm,model_family,utility_percentile,margin_percentile,utility_threshold,side_margin,passed,policy_candidates,scheduled_trades,worst_inner_month_pnl,worst_inner_month_pf,worst_inner_month_wr,minimum_inner_month_trades,pooled_inner_pnl,pooled_inner_pf,inner_month_metrics
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,50,0,0.016679513551548352,5.385276490446622e-05,False,584,123,-10.093596007140214,0.42225235622724394,0.2702702702702703,37,-12.712683030618978,0.7350916803506722,"{""202301"": {""call_rate"": 0.24324324324324326, ""max_drawdown"": 10.42206372874531, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -10.093596007140214, ""profit_factor"": 0.42225235622724394, ""put_rate"": 0.7567567567567568, ""trades"": 37, ""win_rate"": 0.2702702702702703}, ""202302"": {""call_rate"": 0.40476190476190477, ""max_drawdown"": 4.36492316172829, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 0.19259578805545652, ""profit_factor"": 1.0121196291087098, ""put_rate"": 0.5952380952380952, ""trades"": 42, ""win_rate"": 0.42857142857142855}, ""202303"": {""call_rate"": 0.38636363636363635, ""max_drawdown"": 5.245089894801522, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -2.8116828115342196, ""profit_factor"": 0.8077766628039217, ""put_rate"": 0.6136363636363636, ""trades"": 44, ""win_rate"": 0.4772727272727273}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,50,10,0.016679513551548352,0.06648191791669567,False,576,122,-9.462017055368863,0.4380897231377605,0.2777777777777778,36,-12.081104078847627,0.7448951812286804,"{""202301"": {""call_rate"": 0.25, ""max_drawdown"": 9.79048477697396, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -9.462017055368863, ""profit_factor"": 0.4380897231377605, ""put_rate"": 0.75, ""trades"": 36, ""win_rate"": 0.2777777777777778}, ""202302"": {""call_rate"": 0.40476190476190477, ""max_drawdown"": 4.36492316172829, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 0.19259578805545652, ""profit_factor"": 1.0121196291087098, ""put_rate"": 0.5952380952380952, ""trades"": 42, ""win_rate"": 0.42857142857142855}, ""202303"": {""call_rate"": 0.38636363636363635, ""max_drawdown"": 5.245089894801522, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -2.8116828115342196, ""profit_factor"": 0.8077766628039217, ""put_rate"": 0.6136363636363636, ""trades"": 44, ""win_rate"": 0.4772727272727273}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,50,20,0.016679513551548352,0.1331889120505271,False,557,120,-9.462017055368863,0.4380897231377605,0.2777777777777778,36,-12.816650908194832,0.7292112225442368,"{""202301"": {""call_rate"": 0.25, ""max_drawdown"": 9.79048477697396, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -9.462017055368863, ""profit_factor"": 0.4380897231377605, ""put_rate"": 0.75, ""trades"": 36, ""win_rate"": 0.2777777777777778}, ""202302"": {""call_rate"": 0.425, ""max_drawdown"": 4.3711731906924225, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 0.18634575909132423, ""profit_factor"": 1.0122264269363928, ""put_rate"": 0.575, ""trades"": 40, ""win_rate"": 0.425}, ""202303"": {""call_rate"": 0.38636363636363635, ""max_drawdown"": 5.245089894801522, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -3.540979611917294, ""profit_factor"": 0.7678131389944414, ""put_rate"": 0.6136363636363636, ""trades"": 44, ""win_rate"": 0.45454545454545453}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,50,30,0.016679513551548352,0.19960867925819373,False,520,117,-8.105227211202712,0.47783866366364225,0.3142857142857143,35,-9.009773326774347,0.800274498771844,"{""202301"": {""call_rate"": 0.22857142857142856, ""max_drawdown"": 8.433694932807809, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -8.105227211202712, ""profit_factor"": 0.47783866366364225, ""put_rate"": 0.7714285714285715, ""trades"": 35, ""win_rate"": 0.3142857142857143}, ""202302"": {""call_rate"": 0.42105263157894735, ""max_drawdown"": 4.084913652886718, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 0.6975835614730181, ""profit_factor"": 1.0486535827368069, ""put_rate"": 0.5789473684210527, ""trades"": 38, ""win_rate"": 0.42105263157894735}, ""202303"": {""call_rate"": 0.38636363636363635, ""max_drawdown"": 5.245089894801523, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -1.602129677044659, ""profit_factor"": 0.89494617269614, ""put_rate"": 0.6136363636363636, ""trades"": 44, ""win_rate"": 0.45454545454545453}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,50,40,0.016679513551548352,0.26733805803833033,False,454,106,-8.029285818295147,0.4078039934389292,0.3225806451612903,31,-9.034556726705373,0.7795296176245881,"{""202301"": {""call_rate"": 0.22580645161290322, ""max_drawdown"": 8.532006828587706, ""maximum_hold"": 114.0, ""minimum_hold"": 30.0, ""pnl"": -8.029285818295147, ""profit_factor"": 0.4078039934389292, ""put_rate"": 0.7741935483870968, ""trades"": 31, ""win_rate"": 0.3225806451612903}, ""202302"": {""call_rate"": 0.4722222222222222, ""max_drawdown"": 4.365427294049203, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.2088033297460412, ""profit_factor"": 0.9845190268847955, ""put_rate"": 0.5277777777777778, ""trades"": 36, ""win_rate"": 0.4166666666666667}, ""202303"": {""call_rate"": 0.4358974358974359, ""max_drawdown"": 4.123266617741983, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.7964675786641844, ""profit_factor"": 0.9428330877765918, ""put_rate"": 0.5641025641025641, ""trades"": 39, ""win_rate"": 0.4358974358974359}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,50,50,0.016679513551548352,0.33776177420424763,False,373,90,-7.645414131989522,0.32199963979188573,0.32,25,-5.850126380931952,0.8262589013346637,"{""202301"": {""call_rate"": 0.16, ""max_drawdown"": 7.645414131989521, ""maximum_hold"": 107.0, ""minimum_hold"": 30.0, ""pnl"": -7.645414131989522, ""profit_factor"": 0.32199963979188573, ""put_rate"": 0.84, ""trades"": 25, ""win_rate"": 0.32}, ""202302"": {""call_rate"": 0.42424242424242425, ""max_drawdown"": 5.028845533947177, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 0.5854304342905614, ""profit_factor"": 1.0476947265185546, ""put_rate"": 0.5757575757575758, ""trades"": 33, ""win_rate"": 0.42424242424242425}, ""202303"": {""call_rate"": 0.4375, ""max_drawdown"": 4.9084745874846885, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": 1.209857316767009, ""profit_factor"": 1.1195443924992965, ""put_rate"": 0.5625, ""trades"": 32, ""win_rate"": 0.5}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,60,0,0.06919375496834376,5.385276490446622e-05,False,411,95,-7.264966689222324,0.3427809997433415,0.2608695652173913,23,-8.397505287596001,0.7723809507103722,"{""202301"": {""call_rate"": 0.21739130434782608, ""max_drawdown"": 7.264966689222324, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -7.264966689222324, ""profit_factor"": 0.3427809997433415, ""put_rate"": 0.782608695652174, ""trades"": 23, ""win_rate"": 0.2608695652173913}, ""202302"": {""call_rate"": 0.42857142857142855, ""max_drawdown"": 4.23300517890427, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.7473863667492552, ""profit_factor"": 0.9435031444847481, ""put_rate"": 0.5714285714285714, ""trades"": 35, ""win_rate"": 0.42857142857142855}, ""202303"": {""call_rate"": 0.3783783783783784, ""max_drawdown"": 4.056674697522164, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.38515223162442447, ""profit_factor"": 0.969456333530568, ""put_rate"": 0.6216216216216216, ""trades"": 37, ""win_rate"": 0.4594594594594595}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,60,10,0.06919375496834376,0.06648191791669567,False,409,94,-6.633387737450973,0.3635526725387769,0.2727272727272727,22,-7.7659263358246555,0.7858338754784353,"{""202301"": {""call_rate"": 0.22727272727272727, ""max_drawdown"": 6.633387737450975, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -6.633387737450973, ""profit_factor"": 0.3635526725387769, ""put_rate"": 0.7727272727272727, ""trades"": 22, ""win_rate"": 0.2727272727272727}, ""202302"": {""call_rate"": 0.42857142857142855, ""max_drawdown"": 4.23300517890427, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.7473863667492552, ""profit_factor"": 0.9435031444847481, ""put_rate"": 0.5714285714285714, ""trades"": 35, ""win_rate"": 0.42857142857142855}, ""202303"": {""call_rate"": 0.3783783783783784, ""max_drawdown"": 4.056674697522164, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.38515223162442447, ""profit_factor"": 0.969456333530568, ""put_rate"": 0.6216216216216216, ""trades"": 37, ""win_rate"": 0.4594594594594595}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,60,20,0.06919375496834376,0.1331889120505271,False,401,94,-6.633387737450973,0.3635526725387769,0.2727272727272727,22,-7.7659263358246555,0.7858338754784353,"{""202301"": {""call_rate"": 0.22727272727272727, ""max_drawdown"": 6.633387737450975, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -6.633387737450973, ""profit_factor"": 0.3635526725387769, ""put_rate"": 0.7727272727272727, ""trades"": 22, ""win_rate"": 0.2727272727272727}, ""202302"": {""call_rate"": 0.42857142857142855, ""max_drawdown"": 4.23300517890427, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.7473863667492552, ""profit_factor"": 0.9435031444847481, ""put_rate"": 0.5714285714285714, ""trades"": 35, ""win_rate"": 0.42857142857142855}, ""202303"": {""call_rate"": 0.3783783783783784, ""max_drawdown"": 4.056674697522164, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.38515223162442447, ""profit_factor"": 0.969456333530568, ""put_rate"": 0.6216216216216216, ""trades"": 37, ""win_rate"": 0.4594594594594595}}"
development,202304,SPXW,X1,lightgbm_quantile_distribution_utility_v1,60,30,0.06919375496834376,0.19960867925819373,False,385,92,-5.9747368678255315,0.3905881338404146,0.3181818181818182,22,-6.270131116671058,0.8197546219038263,"{""202301"": {""call_rate"": 0.18181818181818182, ""max_drawdown"": 5.9747368678255315, ""maximum_hold"": 123.0, ""minimum_hold"": 30.0, ""pnl"": -5.9747368678255315, ""profit_factor"": 0.3905881338404146, ""put_rate"": 0.8181818181818182, ""trades"": 22, ""win_rate"": 0.3181818181818182}, ""202302"": {""call_rate"": 0.42424242424242425, ""max_drawdown"": 3.9826810493523075, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.27208397262130024, ""profit_factor"": 0.9780092373788803, ""put_rate"": 0.5757575757575758, ""trades"": 33, ""win_rate"": 0.42424242424242425}, ""202303"": {""call_rate"": 0.3783783783783784, ""max_drawdown"": 4.032226085446406, ""maximum_hold"": 180.0, ""minimum_hold"": 30.0, ""pnl"": -0.023310276224225435, ""profit_factor"": 0.9981514288537284, ""put_rate"": 0.6216216216216216, ""trades"": 37, ""win_rate"": 0.4594594594594595}}"
