month,ticker,direction,config_id,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,D0_K1,H120,52,0.36538461538461536,0.5140347182181416,-8.694609530197797,30.0,120.0,10.89051046138811,0.15384615384615385,0.8461538461538461,False,False
202301,QQQ,D0_K1,H120,36,0.3888888888888889,0.5028553763973127,-6.499395106505739,30.0,120.0,7.069492980970688,0.3611111111111111,0.6388888888888888,False,False
202301,SPY,D0_K1,H120,19,0.47368421052631576,0.5334751589892975,-2.4523613257779155,30.0,120.0,2.972796855034451,0.3157894736842105,0.6842105263157895,False,False
202302,SPXW,D0_K1,H120,45,0.3333333333333333,0.6740670159721942,-5.471735676882995,30.0,120.0,7.75985344394121,0.2222222222222222,0.7777777777777778,False,False
202302,QQQ,D0_K1,H120,32,0.28125,0.3403086310236464,-8.15426483463277,30.0,120.0,8.588262194158036,0.1875,0.8125,False,False
202302,SPY,D0_K1,H120,19,0.5789473684210527,1.1871895263568522,0.8525529258858108,30.0,120.0,1.842575328808529,0.2631578947368421,0.7368421052631579,True,False
202303,SPXW,D0_K1,H120,54,0.3888888888888889,0.6458772096867491,-7.108224873106395,30.0,120.0,7.108224873106393,0.25925925925925924,0.7407407407407407,False,False
202303,QQQ,D0_K1,H120,43,0.4883720930232558,1.3304662886894785,4.074383739011321,30.0,120.0,4.210425197860895,0.18604651162790697,0.813953488372093,True,False
202303,SPY,D0_K1,H120,23,0.4782608695652174,0.7506698139356522,-1.548959454776672,30.0,120.0,3.091681344196499,0.30434782608695654,0.6956521739130435,False,False
202304,SPXW,D0_K1,H120,55,0.2545454545454545,0.43095543099829753,-14.39979673163386,30.0,120.0,15.183580466654165,0.2,0.8,False,False
202304,QQQ,D0_K1,H120,35,0.45714285714285713,1.1964999382011565,2.004681182475146,30.0,120.0,1.9782196753917045,0.17142857142857143,0.8285714285714286,True,False
202304,SPY,D0_K1,H120,19,0.3157894736842105,0.30331673114183744,-5.177695577100545,30.0,120.0,5.177695577100543,0.10526315789473684,0.8947368421052632,False,False
202305,SPXW,D0_K1,H120,55,0.4,0.9997427098181715,-0.004669366326950142,30.0,120.0,6.5307055398357825,0.2545454545454545,0.7454545454545455,False,False
202305,QQQ,D0_K1,H120,42,0.5476190476190477,0.9550905981334532,-0.4759279295450165,30.0,120.0,2.647565258536854,0.38095238095238093,0.6190476190476191,False,False
202305,SPY,D0_K1,H120,22,0.2727272727272727,0.4129372153760442,-3.8651180484011953,30.0,120.0,3.929625195598275,0.3181818181818182,0.6818181818181818,False,False
202306,SPXW,D0_K1,H120,60,0.4,0.9260044729741441,-1.5538405707719816,30.0,120.0,7.979988097543458,0.2,0.8,False,False
202306,QQQ,D0_K1,H120,38,0.5789473684210527,1.003876391311179,0.039226930387783465,30.0,120.0,2.902592040882978,0.21052631578947367,0.7894736842105263,True,False
202306,SPY,D0_K1,H120,20,0.4,0.4497762401340283,-3.639186659509706,30.0,120.0,4.940217577631832,0.1,0.9,False,False
202307,SPXW,D0_K1,H120,53,0.4716981132075472,0.7775378171899718,-3.589563272052618,30.0,120.0,6.834763154781777,0.18867924528301888,0.8113207547169812,False,False
202307,QQQ,D0_K1,H120,31,0.41935483870967744,0.7776594516434516,-2.2192410834552487,30.0,120.0,3.164483563578358,0.3870967741935484,0.6129032258064516,False,False
202307,SPY,D0_K1,H120,19,0.6842105263157895,3.044129693483322,5.358197708841712,30.0,120.0,1.2249999916180956,0.2631578947368421,0.7368421052631579,True,True
202308,SPXW,D0_K1,H120,65,0.46153846153846156,0.7757751553284161,-4.820156718630903,30.0,120.0,6.913643203522654,0.2,0.8,False,False
202308,QQQ,D0_K1,H120,45,0.4444444444444444,0.8143180268268381,-2.6330511264123975,30.0,120.0,4.346584938781761,0.17777777777777778,0.8222222222222222,False,False
202308,SPY,D0_K1,H120,22,0.5454545454545454,1.0405594740671,0.23807187971847288,30.0,120.0,1.841545948966671,0.2727272727272727,0.7272727272727273,True,False
202309,SPXW,D0_K1,H120,54,0.35185185185185186,0.6015470176763118,-8.157083156272703,30.0,120.0,13.676737304816584,0.3333333333333333,0.6666666666666666,False,False
202309,QQQ,D0_K1,H120,39,0.358974358974359,0.6211166445280492,-5.428518539006258,30.0,120.0,7.855106953941332,0.2564102564102564,0.7435897435897436,False,False
202309,SPY,D0_K1,H120,20,0.25,0.23838703980600384,-6.650562906548844,30.0,120.0,7.425030907826922,0.3,0.7,False,False
202310,SPXW,D0_K1,H120,63,0.4126984126984127,0.9281386072677784,-1.5625331636210729,30.0,120.0,6.700675879132737,0.25396825396825395,0.746031746031746,False,False
202310,QQQ,D0_K1,H120,42,0.5476190476190477,1.7202834392575252,8.591437617401198,30.0,120.0,1.900885884131295,0.30952380952380953,0.6904761904761905,True,True
202310,SPY,D0_K1,H120,22,0.5454545454545454,1.3450269547523341,2.122876866656998,30.0,120.0,3.2177557506435828,0.3181818181818182,0.6818181818181818,True,True
202311,SPXW,D0_K1,H120,55,0.34545454545454546,0.6807183412565199,-6.740219273958719,30.0,120.0,11.20005735402675,0.2,0.8,False,False
202311,QQQ,D0_K1,H120,38,0.42105263157894735,0.8975369155654789,-1.20191633455387,30.0,120.0,3.436498693801128,0.3157894736842105,0.6842105263157895,False,False
202311,SPY,D0_K1,H120,19,0.5263157894736842,1.0207928751853856,0.10877241575340768,30.0,120.0,2.980386699179127,0.15789473684210525,0.8421052631578947,True,False
202312,SPXW,D0_K1,H120,50,0.38,0.9259439982273587,-1.3656722080703894,30.0,120.0,5.798443279334833,0.28,0.72,False,False
202312,QQQ,D0_K1,H120,32,0.1875,0.48294091712958437,-7.29557880348938,30.0,120.0,8.684170758718615,0.40625,0.59375,False,False
202312,SPY,D0_K1,H120,20,0.35,0.6954248320230139,-1.948783356838204,30.0,120.0,2.382946887448413,0.3,0.7,False,False
