month,ticker,direction,config_id,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,D0_K1,S40,62,0.3064516129032258,0.44050937839397153,-11.972982058220742,30.0,165.0,14.748263911309923,0.14516129032258066,0.8548387096774194,False,False
202301,QQQ,D0_K1,S40,36,0.4444444444444444,0.7491539684800316,-2.467897759949643,30.0,139.0,4.335080361877614,0.3055555555555556,0.6944444444444444,False,False
202301,SPY,D0_K1,S40,19,0.3684210526315789,0.44309061925538173,-3.3002710917096243,30.0,177.0,3.877211211142641,0.3157894736842105,0.6842105263157895,False,False
202302,SPXW,D0_K1,S40,50,0.32,0.571809620384574,-7.111365731282195,30.0,180.0,9.509142603809428,0.2,0.8,False,False
202302,QQQ,D0_K1,S40,31,0.2903225806451613,0.5451445398015324,-4.514007298669246,30.0,180.0,5.088963035801824,0.16129032258064516,0.8387096774193549,False,False
202302,SPY,D0_K1,S40,19,0.42105263157894735,1.3324712308666737,1.537138683816167,30.0,180.0,1.508712144784246,0.2631578947368421,0.7368421052631579,True,False
202303,SPXW,D0_K1,S40,60,0.35,0.5623684729507709,-8.660864962152239,30.0,151.0,8.660864962152242,0.2833333333333333,0.7166666666666667,False,False
202303,QQQ,D0_K1,S40,45,0.3333333333333333,0.8825630483484113,-1.7460084192559147,30.0,156.0,5.97431209593878,0.24444444444444444,0.7555555555555555,False,False
202303,SPY,D0_K1,S40,23,0.391304347826087,0.6663467600638108,-2.063060016590745,30.0,151.0,3.6216549068660413,0.30434782608695654,0.6956521739130435,False,False
202304,SPXW,D0_K1,S40,66,0.30303030303030304,0.5034809393668244,-11.316083454370679,30.0,167.0,11.31608345437068,0.2878787878787879,0.7121212121212122,False,False
202304,QQQ,D0_K1,S40,37,0.3783783783783784,1.0918002136163374,0.938013117778119,30.0,118.0,2.445367412834773,0.21621621621621623,0.7837837837837838,True,False
202304,SPY,D0_K1,S40,19,0.3157894736842105,0.401309919980032,-3.3629442325096983,30.0,180.0,3.362944232509697,0.10526315789473684,0.8947368421052632,False,False
202305,SPXW,D0_K1,S40,62,0.3387096774193548,0.8655862248504157,-2.6021616759721637,30.0,180.0,7.257637621950074,0.3064516129032258,0.6935483870967742,False,False
202305,QQQ,D0_K1,S40,43,0.4418604651162791,0.9051794122201119,-1.0661007554920852,30.0,180.0,3.0754977733085536,0.3953488372093023,0.6046511627906976,False,False
202305,SPY,D0_K1,S40,22,0.09090909090909091,0.17096814317813747,-6.511319225347197,30.0,163.0,7.096859283910044,0.3181818181818182,0.6818181818181818,False,False
202306,SPXW,D0_K1,S40,70,0.34285714285714286,0.9734744894051759,-0.5790957670813719,30.0,135.0,6.061056221021008,0.2857142857142857,0.7142857142857143,False,False
202306,QQQ,D0_K1,S40,38,0.5526315789473685,1.4442413405833059,3.779943942424943,30.0,169.0,1.5423430370367415,0.18421052631578946,0.8157894736842105,True,True
202306,SPY,D0_K1,S40,20,0.35,0.42526164860330273,-3.4092480147440325,30.0,160.0,3.764803637998692,0.1,0.9,False,False
202307,SPXW,D0_K1,S40,58,0.3793103448275862,0.7432804565057743,-4.370950451100409,30.0,180.0,7.227586119022681,0.22413793103448276,0.7758620689655172,False,False
202307,QQQ,D0_K1,S40,32,0.375,0.5843141478188033,-4.401345462253226,30.0,180.0,4.401345462253226,0.40625,0.59375,False,False
202307,SPY,D0_K1,S40,19,0.631578947368421,2.7190206385569073,4.948254962394983,30.0,180.0,1.2909099711373484,0.2631578947368421,0.7368421052631579,True,True
202308,SPXW,D0_K1,S40,78,0.2948717948717949,0.5355737259295045,-12.347129075091512,30.0,81.0,12.347129075091509,0.21794871794871795,0.782051282051282,False,False
202308,QQQ,D0_K1,S40,45,0.4444444444444444,0.8205582907063628,-2.094947069741766,30.0,161.0,3.7055784957173388,0.2,0.8,False,False
202308,SPY,D0_K1,S40,22,0.5454545454545454,1.346912521371403,1.5731251668942345,30.0,120.0,1.467632887695279,0.2727272727272727,0.7272727272727273,True,True
202309,SPXW,D0_K1,S40,70,0.35714285714285715,0.946429700477926,-1.1194158677913546,30.0,137.0,5.370067656139115,0.34285714285714286,0.6571428571428571,False,False
202309,QQQ,D0_K1,S40,39,0.2564102564102564,0.5127447989435499,-6.176324409985747,30.0,180.0,9.2026183091952,0.2564102564102564,0.7435897435897436,False,False
202309,SPY,D0_K1,S40,20,0.2,0.3152251691789814,-5.091511229489625,30.0,137.0,6.130680663595731,0.3,0.7,False,False
202310,SPXW,D0_K1,S40,73,0.3835616438356164,0.9058956349035562,-2.1262712169489615,30.0,74.0,9.200972663370386,0.273972602739726,0.726027397260274,False,False
202310,QQQ,D0_K1,S40,43,0.37209302325581395,1.1773492661054272,2.163710193308166,30.0,122.0,3.263852444677947,0.27906976744186046,0.7209302325581395,True,False
202310,SPY,D0_K1,S40,22,0.4090909090909091,0.8220618031495283,-1.1129035956918987,30.0,152.0,5.1688735246408095,0.3181818181818182,0.6818181818181818,False,False
202311,SPXW,D0_K1,S40,66,0.4090909090909091,1.1351530935209362,2.6985695490481554,30.0,109.0,4.732786129452752,0.30303030303030304,0.696969696969697,True,False
202311,QQQ,D0_K1,S40,37,0.3783783783783784,0.879807310886649,-1.2575669525224211,30.0,151.0,2.71854949436673,0.35135135135135137,0.6486486486486487,False,False
202311,SPY,D0_K1,S40,19,0.47368421052631576,1.2262631656421663,0.9750572723399513,30.0,158.0,1.8515288509044012,0.15789473684210525,0.8421052631578947,True,False
202312,SPXW,D0_K1,S40,60,0.25,0.516131406300317,-10.859430954381722,30.0,143.0,10.859430954381718,0.21666666666666667,0.7833333333333333,False,False
202312,QQQ,D0_K1,S40,31,0.06451612903225806,0.346008238498377,-7.848145854246216,30.0,180.0,8.91098020121993,0.3870967741935484,0.6129032258064516,False,False
202312,SPY,D0_K1,S40,20,0.4,0.8814042244834209,-0.6714270975228455,30.0,180.0,1.663421544696101,0.3,0.7,False,False
