month,ticker,arm,source_rows,policy_candidates,scheduler_rejections,trades,win_rate,profit_factor,pnl,minimum_hold,maximum_hold,max_drawdown,call_rate,put_rate,positive_month,gate_pass
202301,SPXW,K0_LEVEL,540,540,480,60,0.45,0.8425096920925657,-2.9877232335444295,30.0,166.0,5.879261252748176,0.3333333333333333,0.6666666666666666,False,False
202301,SPXW,K1_ALIGNED,540,369,320,49,0.3877551020408163,0.5349963187359814,-8.25828567753571,30.0,180.0,10.986214729906681,0.14285714285714285,0.8571428571428571,False,False
202301,QQQ,K0_LEVEL,427,423,386,37,0.4594594594594595,0.6294682019046162,-4.524818528706561,30.0,153.0,5.357991424280421,0.32432432432432434,0.6756756756756757,False,False
202301,QQQ,K1_ALIGNED,427,300,265,35,0.4,0.5031038760436956,-6.407054120381669,30.0,139.0,6.727152021455833,0.34285714285714286,0.6571428571428571,False,False
202301,SPY,K0_LEVEL,539,533,514,19,0.5263157894736842,0.6447241122724909,-1.849342635272568,30.0,180.0,2.5361100737929254,0.3684210526315789,0.631578947368421,False,False
202301,SPY,K1_ALIGNED,539,370,351,19,0.47368421052631576,0.5204425654802582,-2.9693253513597213,30.0,180.0,3.834144243619849,0.3157894736842105,0.6842105263157895,False,False
202302,SPXW,K0_LEVEL,462,462,405,57,0.3684210526315789,0.44609499194345276,-12.330359072285205,30.0,180.0,13.441480889354613,0.5614035087719298,0.43859649122807015,False,False
202302,SPXW,K1_ALIGNED,462,269,226,43,0.32558139534883723,0.6709549095303924,-5.529965798038603,30.0,180.0,8.054697054199988,0.23255813953488372,0.7674418604651163,False,False
202302,QQQ,K0_LEVEL,471,465,433,32,0.28125,0.4908588317522544,-7.101167909320649,30.0,180.0,8.633708744331189,0.34375,0.65625,False,False
202302,QQQ,K1_ALIGNED,471,318,288,30,0.36666666666666664,0.5866849659109621,-4.744736978737074,30.0,180.0,7.378879484352373,0.23333333333333334,0.7666666666666667,False,False
202302,SPY,K0_LEVEL,469,465,446,19,0.42105263157894735,0.7925432439412109,-1.368032394537479,30.0,180.0,2.403800467586173,0.47368421052631576,0.5263157894736842,False,False
202302,SPY,K1_ALIGNED,469,301,282,19,0.47368421052631576,1.1309619578045291,0.7391012504318629,30.0,180.0,1.842575328808529,0.2631578947368421,0.7368421052631579,True,False
202303,SPXW,K0_LEVEL,646,646,579,67,0.373134328358209,0.7419750803413568,-6.731620813133878,30.0,180.0,9.419118861380994,0.44776119402985076,0.5522388059701493,False,False
202303,SPXW,K1_ALIGNED,646,344,293,51,0.35294117647058826,0.5625688870309679,-8.956192882005247,30.0,158.0,8.956192882005247,0.23529411764705882,0.7647058823529411,False,False
202303,QQQ,K0_LEVEL,542,539,496,43,0.4418604651162791,0.9493775832139597,-0.7700294468761312,30.0,173.0,6.415896472864268,0.3023255813953488,0.6976744186046512,False,False
202303,QQQ,K1_ALIGNED,542,389,347,42,0.47619047619047616,1.1557010681866449,2.181324946603657,30.0,173.0,4.992038555094375,0.19047619047619047,0.8095238095238095,True,False
202303,SPY,K0_LEVEL,646,642,619,23,0.21739130434782608,0.1533971815383423,-8.467601746075454,30.0,180.0,8.467601746075454,0.5652173913043478,0.43478260869565216,False,False
202303,SPY,K1_ALIGNED,646,372,349,23,0.391304347826087,0.5151172662823544,-3.8783537438333657,30.0,180.0,5.246472434621943,0.30434782608695654,0.6956521739130435,False,False
202304,SPXW,K0_LEVEL,575,575,513,62,0.3225806451612903,0.4043753219523871,-15.737635562383167,30.0,180.0,16.119129105756365,0.43548387096774194,0.5645161290322581,False,False
202304,SPXW,K1_ALIGNED,575,404,350,54,0.25925925925925924,0.4388841390246187,-13.942642632654202,30.0,180.0,14.726426367674508,0.2037037037037037,0.7962962962962963,False,False
202304,QQQ,K0_LEVEL,565,559,522,37,0.43243243243243246,0.5352853505083479,-6.220140324735246,30.0,180.0,6.2571773249792955,0.43243243243243246,0.5675675675675675,False,False
202304,QQQ,K1_ALIGNED,565,365,331,34,0.47058823529411764,1.1325319914657614,1.4211825418811002,30.0,180.0,1.9782196753917045,0.14705882352941177,0.8529411764705882,True,False
202304,SPY,K0_LEVEL,579,575,556,19,0.42105263157894735,0.5268872805391573,-2.9872156241032295,30.0,180.0,3.513051543046851,0.3684210526315789,0.631578947368421,False,False
202304,SPY,K1_ALIGNED,579,433,414,19,0.3157894736842105,0.300267493713264,-5.25316726354321,30.0,180.0,5.253167263543208,0.10526315789473684,0.8947368421052632,False,False
202305,SPXW,K0_LEVEL,580,579,517,62,0.45161290322580644,1.1879835089785098,3.7223556553527004,30.0,180.0,6.974715176506178,0.3870967741935484,0.6129032258064516,True,False
202305,SPXW,K1_ALIGNED,580,386,332,54,0.42592592592592593,1.1012675647475738,1.7766150240193015,30.0,180.0,6.530705539835783,0.25925925925925924,0.7407407407407407,True,False
202305,QQQ,K0_LEVEL,621,615,573,42,0.5714285714285714,1.0105282742613693,0.1125044501638569,30.0,180.0,2.754320199295396,0.47619047619047616,0.5238095238095238,True,False
202305,QQQ,K1_ALIGNED,621,395,354,41,0.5609756097560976,1.0285953867286497,0.30061056274517894,30.0,180.0,2.371562161536486,0.3902439024390244,0.6097560975609756,True,False
202305,SPY,K0_LEVEL,599,595,573,22,0.2727272727272727,0.4565104034971446,-4.290773355959988,30.0,180.0,6.484843593170411,0.45454545454545453,0.5454545454545454,False,False
202305,SPY,K1_ALIGNED,599,417,395,22,0.3181818181818182,0.846852315447955,-1.1471703754212057,30.0,180.0,3.0428868312096986,0.3181818181818182,0.6818181818181818,False,False
202306,SPXW,K0_LEVEL,615,614,546,68,0.39705882352941174,0.8822903726050418,-2.7597154223861518,30.0,135.0,6.124565610890413,0.36764705882352944,0.6323529411764706,False,False
202306,SPXW,K1_ALIGNED,615,386,326,60,0.4,0.9419923467627688,-1.1964297425847372,30.0,135.0,8.179988166901591,0.2,0.8,False,False
202306,QQQ,K0_LEVEL,502,494,455,39,0.5128205128205128,0.9671272834402086,-0.3846659237475101,30.0,169.0,3.393543646738336,0.3333333333333333,0.6666666666666666,False,False
202306,QQQ,K1_ALIGNED,502,321,283,38,0.5526315789473685,1.0408881948165418,0.44373785294095347,30.0,169.0,2.902592040882978,0.21052631578947367,0.7894736842105263,True,False
202306,SPY,K0_LEVEL,587,584,564,20,0.45,0.7447994141450274,-1.5489902822838386,30.0,160.0,4.6811808759664775,0.2,0.8,False,False
202306,SPY,K1_ALIGNED,587,364,344,20,0.4,0.4013829925491681,-4.166055148481146,30.0,180.0,4.940217577631833,0.1,0.9,False,False
202307,SPXW,K0_LEVEL,551,550,497,53,0.39622641509433965,0.7429747089989506,-4.958321165433689,30.0,180.0,6.95351460494274,0.37735849056603776,0.6226415094339622,False,False
202307,SPXW,K1_ALIGNED,551,330,278,52,0.4807692307692308,0.8136372268254376,-2.9022905228476787,30.0,180.0,6.272490380741571,0.19230769230769232,0.8076923076923077,False,False
202307,QQQ,K0_LEVEL,414,404,371,33,0.5757575757575758,1.257901004968251,2.21108716828692,30.0,180.0,1.8866061383422128,0.5454545454545454,0.45454545454545453,True,False
202307,QQQ,K1_ALIGNED,414,249,220,29,0.5172413793103449,0.8664061518687831,-1.2423453247844423,30.0,180.0,2.5417089787145,0.41379310344827586,0.5862068965517241,False,False
202307,SPY,K0_LEVEL,571,563,544,19,0.631578947368421,2.081709019228281,4.189912169788919,30.0,180.0,1.224999991618096,0.2631578947368421,0.7368421052631579,True,True
202307,SPY,K1_ALIGNED,571,397,378,19,0.7368421052631579,3.2806089160929583,5.913828866151685,30.0,180.0,1.2249999916180956,0.2631578947368421,0.7368421052631579,True,True
202308,SPXW,K0_LEVEL,633,632,566,66,0.5303030303030303,1.1410395459398626,2.6499013211689375,30.0,180.0,5.666688598516733,0.36363636363636365,0.6363636363636364,True,False
202308,SPXW,K1_ALIGNED,633,398,335,63,0.4603174603174603,0.7325342012193377,-5.843207739670186,30.0,177.0,6.641450682743872,0.19047619047619047,0.8095238095238095,False,False
202308,QQQ,K0_LEVEL,622,617,574,43,0.4883720930232558,1.0424790606434025,0.5712981490297473,30.0,180.0,3.17911133206349,0.3488372093023256,0.6511627906976745,True,False
202308,QQQ,K1_ALIGNED,622,412,369,43,0.4883720930232558,0.9803163302048846,-0.2659809001165143,30.0,180.0,3.7268275719059876,0.18604651162790697,0.813953488372093,False,False
202308,SPY,K0_LEVEL,635,629,607,22,0.5454545454545454,1.1159038687538008,0.6844156639448248,30.0,180.0,1.6415865086737977,0.4090909090909091,0.5909090909090909,True,False
202308,SPY,K1_ALIGNED,635,405,383,22,0.5909090909090909,1.2665313808822138,1.3998364953688816,30.0,180.0,1.841545948966671,0.2727272727272727,0.7272727272727273,True,False
202309,SPXW,K0_LEVEL,607,606,547,59,0.423728813559322,1.097989016444348,2.0206764995229944,30.0,167.0,6.523724674198899,0.423728813559322,0.576271186440678,True,False
202309,SPXW,K1_ALIGNED,607,404,351,53,0.37735849056603776,0.578526338996439,-8.631552787010364,30.0,137.0,14.151206935554242,0.32075471698113206,0.6792452830188679,False,False
202309,QQQ,K0_LEVEL,571,565,526,39,0.358974358974359,0.5971985068793949,-6.009343503698902,30.0,180.0,8.747788753750216,0.3076923076923077,0.6923076923076923,False,False
202309,QQQ,K1_ALIGNED,571,344,307,37,0.3783783783783784,0.698510867809592,-3.9607237617822144,30.0,180.0,6.387312176717289,0.24324324324324326,0.7567567567567568,False,False
202309,SPY,K0_LEVEL,603,598,578,20,0.3,0.5550363657419038,-3.928652265987843,31.0,176.0,5.823916499547508,0.5,0.5,False,False
202309,SPY,K1_ALIGNED,603,404,384,20,0.3,0.3859607027169703,-5.425016791107405,30.0,176.0,6.199484792385481,0.3,0.7,False,False
202310,SPXW,K0_LEVEL,643,643,571,72,0.4444444444444444,0.9382318152322466,-1.593565167482454,30.0,136.0,9.19819690277713,0.4305555555555556,0.5694444444444444,False,False
