primary,fallback,score25,pass25,pass26,minwr25,minpf25,minm25,minwr26,minpf26,minm26,R25,R26
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-177.12737807332385,False,False,0.5384615384615384,1.7349314520747119,1,0.4672131147540984,1.2545845064549352,2,3.8692021313637035,6.869265340852916
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-179.34076278084663,False,False,0.5384615384615384,1.502966797973235,2,0.4672131147540984,1.2545845064549352,1,4.495385480563725,7.191920195268377
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-179.34076278084663,False,False,0.5384615384615384,1.502966797973235,2,0.1875,0.340301134461495,1,4.495385480563725,-0.7562037544190339
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-179.34076278084663,False,False,0.5384615384615384,1.502966797973235,2,0.1111111111111111,0.09172030498197303,1,4.495385480563725,-4.2162446232149
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-179.34076278084663,False,False,0.5384615384615384,1.502966797973235,2,0.4672131147540984,1.2545845064549352,1,4.495385480563725,7.191920195268377
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.13632044274996,False,False,0.4393939393939394,1.1343929063873261,19,0.4291044776119403,1.0490131774849747,19,22.58110994373846,14.41379702854335
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.38924806210565,False,False,0.4444444444444444,1.1111807768119553,19,0.43656716417910446,1.0936924899724583,19,15.449972533035753,17.3561656385318
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.45413145085467,False,False,0.4440993788819876,1.0971832412036517,19,0.4681647940074906,1.1558934552023974,19,23.304234828894742,21.86447366413492
active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.8494174957654,False,False,0.43543543543543545,1.071805218111445,19,0.43656716417910446,1.0877460282192593,19,17.817596876579923,14.311455111825907
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.85941807657335,False,False,0.43573667711598746,1.062205265623735,19,0.46774193548387094,1.167554542818195,19,26.11624960294325,18.84925431277901
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.98340408123093,False,False,0.4473684210526316,1.052613589122952,19,0.42105263157894735,0.9568429193446135,14,11.677581701323172,19.17036097383232
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-182.98340408123093,False,False,0.4473684210526316,1.052613589122952,19,0.4036697247706422,0.847117939723902,14,11.677581701323172,15.050825534384984
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.02107532618314,False,False,0.43722943722943725,1.0602187790873028,19,0.4968152866242038,1.280502319823207,14,10.444251064946004,24.43094672281937
win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.17679013580164,False,False,0.43478260869565216,1.033107717972456,19,0.46774193548387094,1.149494019724077,19,24.43065975172972,18.669956174804128
win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.71818510002888,False,False,0.43859649122807015,0.9894019006299699,19,0.42201834862385323,0.888808068588841,14,10.183098139073184,10.394281752993852
win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.71818510002888,False,False,0.43859649122807015,0.9894019006299699,19,0.4298245614035088,0.9574515722670204,14,10.183098139073184,13.854322621789716
return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.8038017933133,False,False,0.42424242424242425,0.9962003879861402,19,0.4951923076923077,1.3188347484432181,14,9.177008440106368,21.223593538477836
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.98275549806914,False,False,0.4277456647398844,0.9376895348442457,24,0.47368421052631576,1.1803295417789712,39,-3.710749391042283,38.53836971074621
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-183.98439499215394,False,False,0.42479338842975206,0.962111314884682,21,0.4629156010230179,1.2305031815864111,31,4.655797470172046,29.894428528559203
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.98579897623512,False,False,0.4277456647398844,0.9376895348442457,24,0.47368421052631576,1.1803295417789712,39,-4.015097207640887,38.23836971074621
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,active_win_clip5p0_act0p0_min0p0_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,39.938369710746215
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_min0p1_k2_nl7_mcs80,-183.98605273438415,False,False,0.4277456647398844,0.9376895348442457,24,0.4748743718592965,1.1881384465438616,39,-4.040473022543123,40.23836971074621
return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-183.9953164144173,False,False,0.4243421052631579,0.9604638932991173,21,0.4641025641025641,1.2305031815864111,33,5.662359995995025,30.094428528559206
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,return_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.00023697116862,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.6428429430475076,31.812588310359423
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,-184.00139142973117,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,39,1.5273970867934379,31.712588310359422
active_win_clip5p0_act0p0_minm999p0_k2_nl7_mcs80,win_clip5p0_act0p0_min0p1_k1_nl7_mcs80,-184.00328044933462,False,False,0.4237037037037037,0.9346297562363864,24,0.45454545454545453,1.1589965752463036,37,1.3384951264489038,31.812588310359423
