ticker,month,source_events,valid_events,frequency_pass
QQQ,202301,20,20,True
QQQ,202302,19,19,True
QQQ,202303,23,23,True
QQQ,202304,19,19,True
QQQ,202305,22,22,True
QQQ,202306,21,21,True
QQQ,202307,19,19,True
QQQ,202308,23,23,True
QQQ,202309,20,20,True
QQQ,202310,22,22,True
QQQ,202311,20,20,True
QQQ,202312,20,20,True
QQQ,202401,21,21,True
QQQ,202402,20,20,True
QQQ,202403,20,20,True
QQQ,202404,22,22,True
QQQ,202405,22,22,True
QQQ,202406,19,19,True
QQQ,202407,21,21,True
QQQ,202408,22,22,True
QQQ,202409,20,20,True
QQQ,202410,23,23,True
QQQ,202411,19,19,True
QQQ,202412,20,20,True
QQQ,202501,20,20,True
QQQ,202502,19,19,True
QQQ,202503,21,21,True
QQQ,202504,21,21,True
QQQ,202505,21,21,True
QQQ,202506,20,20,True
QQQ,202507,21,21,True
QQQ,202508,21,21,True
QQQ,202509,21,21,True
QQQ,202510,23,23,True
QQQ,202511,18,18,True
QQQ,202512,21,21,True
SPXW,202301,20,20,True
SPXW,202302,19,19,True
SPXW,202303,23,23,True
SPXW,202304,19,19,True
SPXW,202305,22,22,True
SPXW,202306,21,21,True
SPXW,202307,19,19,True
SPXW,202308,23,23,True
SPXW,202309,20,20,True
SPXW,202310,22,22,True
SPXW,202311,20,20,True
SPXW,202312,20,20,True
SPXW,202401,21,21,True
SPXW,202402,20,20,True
SPXW,202403,20,20,True
SPXW,202404,22,22,True
SPXW,202405,22,22,True
SPXW,202406,19,19,True
SPXW,202407,21,21,True
SPXW,202408,22,22,True
SPXW,202409,20,20,True
SPXW,202410,23,23,True
SPXW,202411,19,19,True
SPXW,202412,20,20,True
SPXW,202501,20,20,True
SPXW,202502,19,19,True
SPXW,202503,21,21,True
SPXW,202504,21,21,True
SPXW,202505,21,21,True
SPXW,202506,20,20,True
SPXW,202507,21,21,True
SPXW,202508,21,21,True
SPXW,202509,21,21,True
SPXW,202510,23,23,True
SPXW,202511,18,18,True
SPXW,202512,21,21,True
SPY,202301,20,20,True
SPY,202302,19,19,True
SPY,202303,23,23,True
SPY,202304,19,19,True
SPY,202305,22,22,True
SPY,202306,21,21,True
SPY,202307,19,19,True
SPY,202308,23,23,True
SPY,202309,20,20,True
SPY,202310,22,22,True
SPY,202311,20,20,True
SPY,202312,20,20,True
SPY,202401,21,21,True
SPY,202402,20,20,True
SPY,202403,20,20,True
SPY,202404,22,22,True
SPY,202405,22,22,True
SPY,202406,19,19,True
SPY,202407,21,21,True
SPY,202408,22,22,True
SPY,202409,20,20,True
SPY,202410,23,23,True
SPY,202411,19,19,True
SPY,202412,20,20,True
SPY,202501,20,20,True
SPY,202502,19,19,True
SPY,202503,21,21,True
SPY,202504,21,21,True
SPY,202505,21,21,True
SPY,202506,20,20,True
SPY,202507,21,21,True
SPY,202508,21,21,True
SPY,202509,21,21,True
SPY,202510,23,23,True
SPY,202511,18,18,True
SPY,202512,21,21,True
