date,daily_pnl,cum_pnl
20250102,-7500.0,-7500.0
20250103,-6000.0,-13500.0
20250106,-6000.0,-19500.0
20250107,10000.0,-9500.0
20250108,6000.0,-3500.0
20250109,0.0,-3500.0
20250110,6000.0,2500.0
20250113,-6000.0,-3500.0
20250114,10000.0,6500.0
20250115,-2000.0,4500.0
20250116,-6000.0,-1500.0
20250117,-6000.0,-7500.0
20250120,0.0,-7500.0
20250121,6000.0,-1500.0
20250122,-6000.0,-7500.0
20250123,-6000.0,-13500.0
20250124,2000.0,-11500.0
20250127,6000.0,-5500.0
20250128,-6000.0,-11500.0
20250129,1268.2928291904584,-10231.707170809541
20250130,6000.0,-4231.707170809541
20250131,-6000.0,-10231.707170809541
20250203,2000.0,-8231.707170809541
20250204,6000.0,-2231.707170809541
20250205,6000.0,3768.292829190459
20250206,-6000.0,-2231.707170809541
20250207,6000.0,3768.292829190459
20250210,6000.0,9768.292829190459
20250211,-6000.0,3768.292829190459
20250212,-2000.0,1768.292829190459
20250213,-2000.0,-231.7071708095409
20250214,-2000.0,-2231.707170809541
20250217,0.0,-2231.707170809541
20250218,-6000.0,-8231.707170809541
20250219,2000.0,-6231.707170809541
20250220,10000.0,3768.292829190459
20250221,10000.0,13768.292829190459
20250224,6000.0,19768.29282919046
20250225,6000.0,25768.29282919046
20250226,-2000.0,23768.29282919046
20250227,6000.0,29768.29282919046
20250228,-6000.0,23768.29282919046
20250303,-7500.0,16268.29282919046
20250304,2000.0,18268.29282919046
20250305,-2000.0,16268.29282919046
20250306,2000.0,18268.29282919046
20250307,-6000.0,12268.29282919046
20250310,10000.0,22268.29282919046
20250311,10000.0,32268.29282919046
20250312,-6000.0,26268.29282919046
20250313,10000.0,36268.29282919046
20250314,6000.0,42268.29282919046
20250317,-2000.0,40268.29282919046
20250318,2000.0,42268.29282919046
20250319,-6000.0,36268.29282919046
20250320,6000.0,42268.29282919046
20250321,-6000.0,36268.29282919046
20250324,-6000.0,30268.29282919046
20250325,-2000.0,28268.29282919046
20250326,10000.0,38268.29282919046
20250327,2000.0,40268.29282919046
20250328,10000.0,50268.29282919046
20250331,-2000.0,48268.29282919046
20250401,3500.0,51768.29282919046
20250402,-6000.0,45768.29282919046
20250403,10000.0,55768.29282919046
20250404,-2000.0,53768.29282919046
20250407,-6000.0,47768.29282919046
20250408,-6000.0,41768.29282919046
