date,daily_pnl,cum_pnl
20250102,-3000.0,-3000.0
20250103,-1500.0,-4500.0
20250106,-1500.0,-6000.0
20250107,2500.0,-3500.0
20250108,2500.0,-1000.0
20250109,0.0,-1000.0
20250110,2500.0,1500.0
20250113,-1500.0,0.0
20250114,2500.0,2500.0
20250115,-1500.0,1000.0
20250116,-1500.0,-500.0
20250117,-1500.0,-2000.0
20250120,0.0,-2000.0
20250121,2500.0,500.0
20250122,-1500.0,-1000.0
20250123,-1500.0,-2500.0
20250124,2500.0,0.0
20250127,2500.0,2500.0
20250128,-1500.0,1000.0
20250129,-1500.0,-500.0
20250130,2500.0,2000.0
20250131,-1500.0,500.0
20250203,-1500.0,-1000.0
20250204,2500.0,1500.0
20250205,2500.0,4000.0
20250206,-1500.0,2500.0
20250207,2500.0,5000.0
20250210,2500.0,7500.0
20250211,-1500.0,6000.0
20250212,2500.0,8500.0
20250213,-1500.0,7000.0
20250214,-1500.0,5500.0
20250217,0.0,5500.0
20250218,-1500.0,4000.0
20250219,-1500.0,2500.0
20250220,2500.0,5000.0
20250221,2500.0,7500.0
20250224,2500.0,10000.0
20250225,2500.0,12500.0
20250226,2500.0,15000.0
20250227,2500.0,17500.0
20250228,-1500.0,16000.0
20250303,-3000.0,13000.0
20250304,2500.0,15500.0
20250305,2500.0,18000.0
20250306,-1500.0,16500.0
20250307,-1500.0,15000.0
20250310,2500.0,17500.0
20250311,2500.0,20000.0
20250312,-1500.0,18500.0
20250313,2500.0,21000.0
20250314,2500.0,23500.0
20250317,2500.0,26000.0
20250318,2500.0,28500.0
20250319,-1500.0,27000.0
20250320,2500.0,29500.0
20250321,-1500.0,28000.0
20250324,-1500.0,26500.0
20250325,2500.0,29000.0
20250326,2500.0,31500.0
20250327,-1500.0,30000.0
20250328,2500.0,32500.0
20250331,-1500.0,31000.0
20250401,2500.0,33500.0
20250402,-1500.0,32000.0
20250403,2500.0,34500.0
20250404,-1500.0,33000.0
20250407,-1500.0,31500.0
20250408,-1500.0,30000.0
20250409,2500.0,32500.0
20250410,-1500.0,31000.0
20250411,-1500.0,29500.0
20250414,2500.0,32000.0
20250415,-1500.0,30500.0
20250416,2500.0,33000.0
20250417,2500.0,35500.0
20250418,0.0,35500.0
20250421,-1500.0,34000.0
20250422,2500.0,36500.0
20250423,-1500.0,35000.0
20250424,2500.0,37500.0
20250425,2500.0,40000.0
20250428,2500.0,42500.0
20250429,2500.0,45000.0
20250430,2500.0,47500.0
20250501,-1500.0,46000.0
20250502,2500.0,48500.0
20250505,2500.0,51000.0
20250506,2500.0,53500.0
20250507,2500.0,56000.0
20250508,2500.0,58500.0
20250509,2500.0,61000.0
20250512,-1500.0,59500.0
20250513,2500.0,62000.0
20250514,-1500.0,60500.0
20250515,-1500.0,59000.0
20250516,-1500.0,57500.0
20250519,2500.0,60000.0
20250520,-1500.0,58500.0
20250521,2500.0,61000.0
20250522,-1500.0,59500.0
20250523,2500.0,62000.0
20250526,0.0,62000.0
20250527,2500.0,64500.0
20250528,-1500.0,63000.0
20250529,2500.0,65500.0
20250530,-1500.0,64000.0
20250602,2500.0,66500.0
20250603,-1500.0,65000.0
20250604,2500.0,67500.0
20250605,-1500.0,66000.0
20250606,2500.0,68500.0
20250609,-1500.0,67000.0
20250610,-1500.0,65500.0
20250611,-1500.0,64000.0
20250612,2500.0,66500.0
20250613,2500.0,69000.0
20250616,2500.0,71500.0
20250617,2500.0,74000.0
20250618,2500.0,76500.0
20250619,0.0,76500.0
20250620,2500.0,79000.0
20250623,2500.0,81500.0
20250624,2500.0,84000.0
20250625,2500.0,86500.0
20250626,-1500.0,85000.0
20250627,-1500.0,83500.0
20250630,2500.0,86000.0
20250701,5000.0,91000.0
20250702,1000.0,92000.0
20250703,0.0,92000.0
20250704,0.0,92000.0
20250707,1000.0,93000.0
20250708,5000.0,98000.0
20250709,5000.0,103000.0
20250710,1000.0,104000.0
20250711,1000.0,105000.0
20250714,-3000.0,102000.0
20250715,1000.0,103000.0
20250716,1000.0,104000.0
20250717,5000.0,109000.0
20250718,1000.0,110000.0
20250721,1000.0,111000.0
20250722,1000.0,112000.0
20250723,1000.0,113000.0
20250724,1000.0,114000.0
20250725,-3000.0,111000.0
20250728,5000.0,116000.0
20250729,5000.0,121000.0
20250730,5000.0,126000.0
20250731,5000.0,131000.0
20250801,2500.0,133500.0
20250804,-1500.0,132000.0
20250805,2500.0,134500.0
20250806,2500.0,137000.0
20250807,2500.0,139500.0
20250808,2500.0,142000.0
20250811,-1500.0,140500.0
20250812,2500.0,143000.0
20250813,2500.0,145500.0
20250814,-1500.0,144000.0
20250815,2500.0,146500.0
20250818,2500.0,149000.0
20250819,-1500.0,147500.0
20250820,2500.0,150000.0
20250821,2500.0,152500.0
20250822,2500.0,155000.0
20250825,-1500.0,153500.0
20250826,-1500.0,152000.0
20250827,2500.0,154500.0
20250828,2500.0,157000.0
20250829,2500.0,159500.0
20250901,0.0,159500.0
20250902,2500.0,162000.0
20250903,0.0,162000.0
20250904,2500.0,164500.0
20250905,2500.0,167000.0
20250908,2500.0,169500.0
20250909,-1500.0,168000.0
20250910,-1500.0,166500.0
20250911,0.0,166500.0
20250912,-1500.0,165000.0
20250915,-1500.0,163500.0
20250916,-1500.0,162000.0
20250917,2500.0,164500.0
20250918,2500.0,167000.0
20250919,-1500.0,165500.0
20250922,-1500.0,164000.0
20250923,-1500.0,162500.0
20250924,-1500.0,161000.0
20250925,2500.0,163500.0
20250926,2500.0,166000.0
20250929,2500.0,168500.0
20250930,2500.0,171000.0
20251001,2500.0,173500.0
20251002,2500.0,176000.0
20251003,-1500.0,174500.0
20251006,2500.0,177000.0
20251007,2500.0,179500.0
20251008,2500.0,182000.0
20251009,-1500.0,180500.0
20251010,2500.0,183000.0
20251013,2500.0,185500.0
20251014,-1500.0,184000.0
20251015,2500.0,186500.0
20251016,2500.0,189000.0
20251017,2500.0,191500.0
20251020,2500.0,194000.0
20251021,2500.0,196500.0
20251022,2500.0,199000.0
20251023,2500.0,201500.0
20251024,2500.0,204000.0
20251027,-1500.0,202500.0
20251028,-1500.0,201000.0
20251029,2500.0,203500.0
20251030,2500.0,206000.0
20251031,-1500.0,204500.0
20251103,-1500.0,203000.0
20251104,-1500.0,201500.0
20251105,2500.0,204000.0
20251106,-1500.0,202500.0
20251107,2500.0,205000.0
20251110,-1500.0,203500.0
20251111,2500.0,206000.0
20251112,-1500.0,204500.0
20251113,2500.0,207000.0
20251114,-1500.0,205500.0
20251117,2500.0,208000.0
20251118,2500.0,210500.0
20251119,2500.0,213000.0
20251120,2500.0,215500.0
20251121,2500.0,218000.0
20251124,-1500.0,216500.0
20251125,2500.0,219000.0
20251126,2500.0,221500.0
20251127,0.0,221500.0
20251128,-1500.0,220000.0
20251201,2500.0,222500.0
20251202,2500.0,225000.0
20251203,-1500.0,223500.0
20251204,2500.0,226000.0
20251205,2500.0,228500.0
20251208,2500.0,231000.0
20251209,-1500.0,229500.0
20251210,2500.0,232000.0
20251211,2500.0,234500.0
20251212,2500.0,237000.0
20251215,2500.0,239500.0
20251216,2500.0,242000.0
20251217,2500.0,244500.0
20251218,2500.0,247000.0
20251219,2500.0,249500.0
20251222,-1500.0,248000.0
20251223,2500.0,250500.0
20251224,-1500.0,249000.0
20251225,0.0,249000.0
20251226,2500.0,251500.0
20251229,-1500.0,250000.0
20251230,2500.0,252500.0
20251231,2500.0,255000.0
20260101,0.0,255000.0
20260102,2500.0,257500.0
20260105,-1500.0,256000.0
20260106,2500.0,258500.0
20260107,-1500.0,257000.0
20260108,2500.0,259500.0
20260109,-1500.0,258000.0
20260112,-1500.0,256500.0
20260113,2500.0,259000.0
20260114,2500.0,261500.0
20260115,0.0,261500.0
20260116,-1500.0,260000.0
20260119,0.0,260000.0
20260120,-1500.0,258500.0
20260121,-1500.0,257000.0
20260122,2500.0,259500.0
20260123,-1500.0,258000.0
20260126,-1500.0,256500.0
20260127,-1500.0,255000.0
20260128,2500.0,257500.0
20260129,2500.0,260000.0
20260130,2500.0,262500.0
20260202,-1500.0,261000.0
20260203,2500.0,263500.0
20260204,2500.0,266000.0
20260205,2500.0,268500.0
20260206,2500.0,271000.0
20260209,-1500.0,269500.0
20260210,-1500.0,268000.0
20260211,2500.0,270500.0
20260212,2500.0,273000.0
20260213,-1500.0,271500.0
20260216,0.0,271500.0
20260217,2500.0,274000.0
20260218,2500.0,276500.0
20260219,-1500.0,275000.0
20260220,-1500.0,273500.0
20260223,2500.0,276000.0
20260224,-1500.0,274500.0
20260225,-1500.0,273000.0
20260226,2500.0,275500.0
20260227,-1500.0,274000.0
20260302,2500.0,276500.0
20260303,2500.0,279000.0
20260304,-1500.0,277500.0
20260305,2500.0,280000.0
20260306,-1500.0,278500.0
20260309,-1500.0,277000.0
20260310,2500.0,279500.0
20260311,2500.0,282000.0
20260312,-1500.0,280500.0
20260313,2500.0,283000.0
20260316,2500.0,285500.0
20260317,-1500.0,284000.0
20260318,2500.0,286500.0
20260319,2500.0,289000.0
20260320,-1500.0,287500.0
20260323,-1500.0,286000.0
20260324,2500.0,288500.0
20260325,2500.0,291000.0
20260326,-1500.0,289500.0
20260327,-1500.0,288000.0
20260330,-1500.0,286500.0
20260331,2500.0,289000.0
20260401,-1500.0,287500.0
20260402,2500.0,290000.0
20260403,0.0,290000.0
20260406,0.0,290000.0
20260407,2500.0,292500.0
20260408,2500.0,295000.0
20260409,-1500.0,293500.0
20260410,2500.0,296000.0
20260413,2500.0,298500.0
20260414,2500.0,301000.0
20260415,0.0,301000.0
20260416,2500.0,303500.0
20260417,-1500.0,302000.0
20260420,2500.0,304500.0
20260421,2500.0,307000.0
20260422,-1500.0,305500.0
20260423,2500.0,308000.0
20260424,2500.0,310500.0
20260427,-1500.0,309000.0
20260428,0.0,309000.0
20260429,-1500.0,307500.0
20260430,2500.0,310000.0
