date,daily_pnl,cum_pnl
20250102,-3000.0,-3000.0
20250103,1000.0,-2000.0
20250106,-1500.0,-3500.0
20250107,0.0,-3500.0
20250108,-500.0,-4000.0
20250109,0.0,-4000.0
20250110,2500.0,-1500.0
20250113,2500.0,1000.0
20250114,1000.0,2000.0
20250115,-1500.0,500.0
20250116,1000.0,1500.0
20250117,-500.0,1000.0
20250120,0.0,1000.0
20250121,-1500.0,-500.0
20250122,-4500.0,-5000.0
20250123,-4500.0,-9500.0
20250124,3500.0,-6000.0
20250127,0.0,-6000.0
20250128,2500.0,-3500.0
20250129,-500.0,-4000.0
20250130,-1500.0,-5500.0
20250131,-500.0,-6000.0
20250203,5000.0,-1000.0
20250204,1000.0,0.0
20250205,1000.0,1000.0
20250206,-3000.0,-2000.0
20250207,1000.0,-1000.0
20250210,1000.0,0.0
20250211,-3000.0,-3000.0
20250212,-3000.0,-6000.0
20250213,1000.0,-5000.0
20250214,1000.0,-4000.0
20250217,0.0,-4000.0
20250218,-3000.0,-7000.0
20250219,5000.0,-2000.0
20250220,5000.0,3000.0
20250221,5000.0,8000.0
20250224,1000.0,9000.0
20250225,1000.0,10000.0
20250226,-3000.0,7000.0
20250227,1000.0,8000.0
20250228,-3000.0,5000.0
20250303,-3000.0,2000.0
20250304,-3000.0,-1000.0
20250305,-3000.0,-4000.0
20250306,1000.0,-3000.0
20250307,-3000.0,-6000.0
20250310,5000.0,-1000.0
20250311,5000.0,4000.0
20250312,-3000.0,1000.0
20250313,5000.0,6000.0
20250314,1000.0,7000.0
20250317,-3000.0,4000.0
20250318,-3000.0,1000.0
20250319,-3000.0,-2000.0
20250320,1000.0,-1000.0
20250321,-3000.0,-4000.0
20250324,-3000.0,-7000.0
20250325,-3000.0,-10000.0
20250326,5000.0,-5000.0
20250327,5000.0,0.0
20250328,5000.0,5000.0
20250331,1000.0,6000.0
20250401,-1500.0,4500.0
20250402,-3000.0,1500.0
20250403,5000.0,6500.0
20250404,-3000.0,3500.0
