arm,test_month,date,minute,ticker,realized_return
control,202410,20241001,635,SPY,-0.6216216383115025
control,202410,20241002,655,SPY,0.4035088104554496
control,202410,20241003,645,SPY,-0.6500000037252902
control,202410,20241004,635,SPY,-0.6078431240781732
control,202410,20241007,645,SPY,-0.1643835638808273
control,202410,20241008,675,SPY,-0.618181838378433
control,202410,20241009,660,SPY,-0.6056337892193328
control,202410,20241010,665,SPY,0.31249992083758227
control,202410,20241011,635,SPY,-0.6101694671253598
control,202410,20241014,635,SPY,-0.6153846012770066
control,202410,20241015,650,SPY,-0.6101694671253598
control,202410,20241016,680,SPY,0.3124999883584676
control,202410,20241017,645,SPY,-0.625
control,202410,20241018,680,SPY,0.6216216651604412
control,202410,20241021,705,SPY,0.10447759866236495
control,202410,20241022,655,SPY,-0.6078431240781732
control,202410,20241023,700,SPY,-0.6666666666666667
control,202410,20241024,675,SPY,-0.6612903357606523
control,202410,20241025,695,SPY,1.2602738808860812
control,202410,20241028,675,SPY,0.4444443340654771
control,202410,20241029,650,SPY,0.2073170953318877
control,202410,20241030,635,SPY,-0.6060606361639609
control,202410,20241031,725,SPY,-0.3265305985911895
weighted,202410,20241001,635,SPY,-0.6216216383115025
weighted,202410,20241002,635,SPY,0.1692307974459868
weighted,202410,20241003,645,SPY,-0.6500000037252902
weighted,202410,20241007,660,SPY,-0.2000000496705353
weighted,202410,20241008,635,SPY,-0.6056337892193328
weighted,202410,20241009,635,SPY,-0.6153846012770066
weighted,202410,20241010,645,SPY,0.6290322301539126
weighted,202410,20241011,645,SPY,-0.6075949443492572
weighted,202410,20241014,665,SPY,-0.6206896463132214
weighted,202410,20241015,635,SPY,-0.6025640849295917
weighted,202410,20241016,635,SPY,-0.6346153757981292
weighted,202410,20241017,665,SPY,-0.7241379292626442
weighted,202410,20241018,675,SPY,0.7647059339140521
weighted,202410,20241021,660,SPY,-0.6874999883584676
weighted,202410,20241022,695,SPY,-0.6065573950699339
weighted,202410,20241023,705,SPY,0.9230769936149668
weighted,202410,20241024,635,SPY,-0.6200000047683716
weighted,202410,20241025,690,SPY,1.2297296687753825
weighted,202410,20241028,670,SPY,0.17142858115994208
weighted,202410,20241029,640,SPY,-0.03773581510593205
weighted,202410,20241030,635,SPY,-0.6060606361639609
weighted,202410,20241031,695,SPY,-0.6025640849295917
