feature,importance
ib_range_bps,9114.548148751259
oi_diff,7015.640523672104
dist_ib_high_bps,3698.925305366516
dist_ib_low_bps,3077.366196036339
iv_diff,2479.9272475242615
minute,1718.3550109863281
ret_30m_bps,1298.178640782833
nearest_level_abs_bps,1227.178451180458
abs_delta_diff,1022.6805381774902
ret_15m_bps,1021.867412507534
vega_diff,956.9463132619858
spread_pct_diff,874.7283902168274
spread_pct_diff_chg_15m,860.7390693426132
iv_diff_chg_15m,852.6670089960098
volume_diff_chg_15m,834.1329889297485
ret_5m_bps,819.0265513658524
spread_pct_diff_chg_5m,800.007398724556
volume_diff,794.3143581151962
iv_diff_chg_5m,781.529468536377
volume_diff_chg_5m,780.9359166622162
iv_diff_chg_25m,740.4252626895905
ret_1m_bps,738.887021780014
vega_diff_chg_5m,622.3867652416229
spread_pct_diff_chg_25m,592.4036387205124
abs_delta_diff_chg_15m,570.2332369089127
abs_delta_diff_chg_5m,562.6731594800949
volume_diff_chg_25m,553.4729007482529
abs_delta_diff_chg_25m,513.8639293909073
vega_diff_chg_15m,493.80657064914703
vega_diff_chg_25m,459.6429214477539
