feature,importance
ib_range_bps,5014.152202308178
oi_diff,4134.8787831664085
dist_ib_low_bps,2531.857186317444
dist_ib_high_bps,2231.7202661037445
nearest_level_abs_bps,1953.9030575752258
minute,1790.5007013082504
ret_30m_bps,1555.832071006298
iv_diff,1506.063861489296
abs_delta_diff,1409.4324352741241
ret_15m_bps,1255.9278237819672
spread_pct_diff,1234.375632405281
vega_diff,1228.3805314302444
ret_1m_bps,1125.2585002183914
volume_diff_chg_15m,1109.4044393897057
iv_diff_chg_15m,1102.873390197754
iv_diff_chg_5m,999.9715771079063
volume_diff,985.627429664135
iv_diff_chg_25m,969.5291145443916
ret_5m_bps,963.4742668867111
spread_pct_diff_chg_15m,874.4948710203171
volume_diff_chg_5m,786.6574562191963
abs_delta_diff_chg_15m,779.9694609642029
spread_pct_diff_chg_5m,763.017779648304
volume_diff_chg_25m,753.1337889432907
vega_diff_chg_15m,708.1034595966339
spread_pct_diff_chg_25m,707.6084936261177
abs_delta_diff_chg_25m,625.5998537540436
abs_delta_diff_chg_5m,618.7100516557693
vega_diff_chg_5m,603.4715509414673
vega_diff_chg_25m,499.9018315076828
