feature,importance
ib_range_bps,13294.264672636986
oi_diff,9975.694794893265
dist_ib_high_bps,4284.711985468864
dist_ib_low_bps,3785.177819132805
iv_diff,2845.8891484737396
minute,2540.6356803178787
ret_30m_bps,1634.917113661766
nearest_level_abs_bps,1401.6153390407562
abs_delta_diff,1086.1965214014053
ret_15m_bps,1055.659368276596
vega_diff,1027.8718184232712
spread_pct_diff,989.812149643898
iv_diff_chg_5m,869.1780010461807
volume_diff,818.703776717186
ret_1m_bps,816.8488199710846
iv_diff_chg_25m,786.9061276912689
iv_diff_chg_15m,740.8575093746185
volume_diff_chg_25m,725.4510984420776
ret_5m_bps,700.5510301589966
spread_pct_diff_chg_15m,699.9606992006302
spread_pct_diff_chg_5m,686.4214415550232
vega_diff_chg_15m,685.7673692703247
volume_diff_chg_5m,666.4383565187454
vega_diff_chg_5m,660.6926221847534
abs_delta_diff_chg_5m,582.247970700264
volume_diff_chg_15m,563.1723611354828
vega_diff_chg_25m,558.0316808223724
spread_pct_diff_chg_25m,511.57462298870087
abs_delta_diff_chg_15m,492.0961090326309
abs_delta_diff_chg_25m,463.1809012889862
