feature,importance
ib_range_bps,12994.007008194923
oi_diff,9142.861257195473
dist_ib_high_bps,3998.233355998993
dist_ib_low_bps,3713.7189000844955
iv_diff,3389.6081252098083
minute,3343.671177148819
nearest_level_abs_bps,1826.0065058469772
ret_30m_bps,1809.1350024938583
ret_15m_bps,1330.61268055439
volume_diff,1189.2455171346664
iv_diff_chg_15m,1160.3451952934265
spread_pct_diff,1106.5374999046326
iv_diff_chg_5m,1079.5834596157074
iv_diff_chg_25m,1069.2819813489914
vega_diff,1054.6725406646729
ret_1m_bps,1031.0483094453812
ret_5m_bps,1001.1771504878998
volume_diff_chg_5m,934.2236022949219
abs_delta_diff,932.176367521286
vega_diff_chg_15m,861.8781489133835
volume_diff_chg_15m,842.7008975744247
spread_pct_diff_chg_5m,763.1023916006088
vega_diff_chg_25m,750.9678307771683
spread_pct_diff_chg_25m,735.7653397321701
abs_delta_diff_chg_15m,705.5429508686066
volume_diff_chg_25m,698.5932331085205
spread_pct_diff_chg_15m,695.812647819519
abs_delta_diff_chg_5m,643.8438107967377
abs_delta_diff_chg_25m,613.1998071670532
vega_diff_chg_5m,611.267662525177
