feature,importance
ib_range_bps,11855.976349115372
oi_diff,5044.783936500549
dist_ib_high_bps,3283.6845108270645
dist_ib_low_bps,3078.9696135520935
minute,2950.994142770767
iv_diff,2720.6181663274765
ret_30m_bps,2105.237959623337
nearest_level_abs_bps,1807.3863164186478
volume_diff,1483.3658199310303
ret_15m_bps,1466.4938465356827
ret_5m_bps,1294.4078035354614
iv_diff_chg_15m,1278.1232628822327
iv_diff_chg_5m,1177.3789694309235
spread_pct_diff,1086.9888299703598
ret_1m_bps,1038.2495671510696
spread_pct_diff_chg_5m,1010.7516193389893
spread_pct_diff_chg_25m,962.5513689517975
volume_diff_chg_15m,947.2992298603058
iv_diff_chg_25m,930.9719902276993
spread_pct_diff_chg_15m,887.8640900850296
volume_diff_chg_5m,875.0511201620102
abs_delta_diff_chg_5m,864.4759097099304
volume_diff_chg_25m,854.8752006292343
vega_diff_chg_5m,849.9664207696915
vega_diff,828.858029127121
abs_delta_diff_chg_15m,695.0129302740097
abs_delta_diff,682.9844392538071
vega_diff_chg_25m,671.0502500534058
vega_diff_chg_15m,651.1512002944946
abs_delta_diff_chg_25m,643.586550116539
