feature,importance
ib_range_bps,12085.541955471039
oi_diff,5485.086062192917
dist_ib_low_bps,3697.354818224907
dist_ib_high_bps,3526.8455847501755
iv_diff,2387.1511734724045
minute,2366.0226932764053
nearest_level_abs_bps,1525.7598576545715
ret_30m_bps,1442.0723993778229
ret_15m_bps,1260.0371898412704
ret_5m_bps,1123.5245916843414
spread_pct_diff,1117.532286643982
volume_diff,1030.989191532135
ret_1m_bps,976.4527459144592
iv_diff_chg_25m,963.7377581596375
iv_diff_chg_5m,955.1824394464493
spread_pct_diff_chg_5m,839.615919470787
iv_diff_chg_15m,809.6993788480759
spread_pct_diff_chg_15m,802.705029129982
volume_diff_chg_5m,786.0457904338837
abs_delta_diff,770.9400599002838
volume_diff_chg_15m,761.9214363098145
spread_pct_diff_chg_25m,760.9629001617432
vega_diff,733.6708911657333
volume_diff_chg_25m,727.8572204113007
abs_delta_diff_chg_15m,709.6696119308472
abs_delta_diff_chg_5m,687.6290707588196
abs_delta_diff_chg_25m,655.0237395763397
vega_diff_chg_25m,575.9780397415161
vega_diff_chg_5m,562.6275298595428
vega_diff_chg_15m,552.0805804729462
