feature,importance
ib_range_bps,11741.082685470581
oi_diff,5561.829748988152
dist_ib_low_bps,3499.8332135677338
dist_ib_high_bps,3339.8434113264084
minute,3104.509437084198
iv_diff,2600.917136788368
ret_30m_bps,1994.8034576177597
nearest_level_abs_bps,1478.0756684541702
ret_15m_bps,1443.277204990387
ret_5m_bps,1382.8934525251389
iv_diff_chg_15m,1326.9880417585373
iv_diff_chg_25m,1317.9078007936478
volume_diff,1315.406326532364
spread_pct_diff,1210.8805490732193
iv_diff_chg_5m,1196.2075793743134
abs_delta_diff,1165.6007096767426
ret_1m_bps,1146.7832372188568
spread_pct_diff_chg_15m,1028.1260170936584
volume_diff_chg_5m,1012.0571788549423
abs_delta_diff_chg_15m,992.1004077196121
spread_pct_diff_chg_5m,991.9699808359146
volume_diff_chg_25m,990.4855613708496
volume_diff_chg_15m,977.2718490362167
vega_diff,924.4642411470413
abs_delta_diff_chg_25m,829.2405288219452
spread_pct_diff_chg_25m,715.9739594459534
vega_diff_chg_5m,643.1061007976532
vega_diff_chg_15m,633.3951808214188
abs_delta_diff_chg_5m,629.7526288032532
vega_diff_chg_25m,615.769451379776
