feature,importance
ib_range_bps,8318.856837034225
oi_diff,4932.451226472855
dist_ib_low_bps,3665.3169457912445
dist_ib_high_bps,2970.146744251251
minute,2854.7952667474747
iv_diff,2668.6767444610596
nearest_level_abs_bps,2244.4466658830643
ret_30m_bps,2140.775471687317
ret_1m_bps,1569.1998835802078
spread_pct_diff,1375.6081206798553
volume_diff_chg_5m,1373.8618791103363
abs_delta_diff,1364.4779571294785
ret_5m_bps,1361.7201622724533
iv_diff_chg_25m,1351.4139008522034
ret_15m_bps,1339.4898929595947
spread_pct_diff_chg_25m,1204.9438400268555
iv_diff_chg_5m,1198.6662563085556
spread_pct_diff_chg_5m,1190.271773815155
spread_pct_diff_chg_15m,1175.3192828893661
volume_diff_chg_15m,1171.3630094528198
volume_diff_chg_25m,1150.9907177686691
iv_diff_chg_15m,1150.7157528400421
volume_diff,1052.8111680746078
abs_delta_diff_chg_5m,987.6970196962357
vega_diff,968.2558265924454
abs_delta_diff_chg_25m,938.9510391950607
vega_diff_chg_5m,931.3353401422501
vega_diff_chg_15m,876.4801106452942
abs_delta_diff_chg_15m,718.530210852623
vega_diff_chg_25m,715.1800001859665
