feature,importance
ib_range_bps,13385.812249541283
oi_diff,9349.316198825836
dist_ib_high_bps,4151.653831481934
dist_ib_low_bps,3813.5749918222427
minute,3114.8305258750916
iv_diff,2533.9631583690643
ret_30m_bps,1738.7157543897629
nearest_level_abs_bps,1705.9513258337975
ret_15m_bps,1024.4575320482254
spread_pct_diff,1010.9470903873444
ret_1m_bps,974.897549033165
vega_diff,972.9728547334671
iv_diff_chg_5m,961.4302986860275
iv_diff_chg_25m,922.4475172758102
spread_pct_diff_chg_15m,874.615361571312
ret_5m_bps,872.1177225112915
volume_diff_chg_5m,868.962441444397
abs_delta_diff,865.4292905330658
volume_diff,836.6852805614471
iv_diff_chg_15m,827.8391102552414
volume_diff_chg_25m,783.3357270956039
spread_pct_diff_chg_25m,747.6253416538239
spread_pct_diff_chg_5m,716.6068826913834
abs_delta_diff_chg_15m,673.9785680770874
volume_diff_chg_15m,667.046380519867
vega_diff_chg_25m,609.4431612491608
vega_diff_chg_5m,560.5085703134537
vega_diff_chg_15m,508.2206689119339
abs_delta_diff_chg_5m,492.09064877033234
abs_delta_diff_chg_25m,372.8906903266907
