feature,importance
ib_range_bps,16869.04720413685
oi_diff,12299.589757561684
dist_ib_high_bps,4710.791996359825
dist_ib_low_bps,4324.363763213158
iv_diff,3116.4309569597244
minute,2599.6751194000244
nearest_level_abs_bps,1713.2084122896194
ret_30m_bps,1673.1243934631348
spread_pct_diff,1115.614693403244
ret_15m_bps,1063.4025620222092
vega_diff,1013.8834490776062
abs_delta_diff,999.2326526641846
volume_diff,933.2869772911072
iv_diff_chg_15m,867.9937082529068
ret_5m_bps,721.6084808111191
iv_diff_chg_5m,706.5123802423477
iv_diff_chg_25m,697.1044689416885
ret_1m_bps,611.4603507518768
volume_diff_chg_15m,610.3842903375626
volume_diff_chg_5m,591.12957072258
volume_diff_chg_25m,582.439691066742
spread_pct_diff_chg_5m,562.8356912136078
vega_diff_chg_15m,560.2415909767151
abs_delta_diff_chg_15m,535.5712208747864
vega_diff_chg_5m,528.0998120307922
abs_delta_diff_chg_5m,491.92861890792847
spread_pct_diff_chg_25m,473.57308065891266
spread_pct_diff_chg_15m,412.9307680130005
vega_diff_chg_25m,398.3396100997925
abs_delta_diff_chg_25m,383.86145091056824
