feature,importance
ib_range_bps,16269.274144291878
oi_diff,9931.979625105858
dist_ib_high_bps,4602.12785923481
dist_ib_low_bps,4581.434131383896
iv_diff,4153.230803370476
minute,3432.8903208971024
ret_30m_bps,2032.9565252065659
nearest_level_abs_bps,1567.5233385562897
iv_diff_chg_25m,1543.3815976381302
spread_pct_diff,1344.173439860344
ret_15m_bps,1189.0151127576828
iv_diff_chg_15m,1030.3884088993073
abs_delta_diff,996.5705999135971
ret_5m_bps,966.5091691017151
volume_diff,913.0062588453293
iv_diff_chg_5m,912.4118515253067
ret_1m_bps,907.4590293169022
volume_diff_chg_5m,847.0420695543289
volume_diff_chg_15m,839.6109199523926
vega_diff,771.2287193536758
spread_pct_diff_chg_25m,766.6027929782867
spread_pct_diff_chg_5m,755.1770716905594
vega_diff_chg_5m,737.6201705932617
vega_diff_chg_25m,718.2926924228668
abs_delta_diff_chg_25m,702.1895698308945
volume_diff_chg_25m,691.483441233635
vega_diff_chg_15m,638.2615212202072
abs_delta_diff_chg_5m,553.6723001003265
abs_delta_diff_chg_15m,543.7947494983673
spread_pct_diff_chg_15m,497.1410176753998
