feature,importance
ib_range_bps,7840.916236877441
oi_diff,6213.077659487724
dist_ib_high_bps,3249.48198390007
dist_ib_low_bps,2836.7448815107346
iv_diff,2726.1812188625336
minute,2564.69859457016
nearest_level_abs_bps,2045.4879341125488
ret_30m_bps,1847.354532957077
ret_15m_bps,1450.893109679222
iv_diff_chg_25m,1438.3320370912552
spread_pct_diff,1375.1994692087173
iv_diff_chg_15m,1206.531709432602
volume_diff,1200.1514003276825
ret_5m_bps,1196.8474892377853
ret_1m_bps,1169.4475519657135
vega_diff,1106.6529695987701
iv_diff_chg_5m,1105.4220893383026
volume_diff_chg_25m,1097.1043586730957
abs_delta_diff,1049.6843849420547
volume_diff_chg_5m,1035.004561305046
abs_delta_diff_chg_15m,961.0258312225342
volume_diff_chg_15m,908.3106007575989
vega_diff_chg_15m,896.8195189237595
spread_pct_diff_chg_15m,873.3964112997055
vega_diff_chg_25m,831.5915237665176
spread_pct_diff_chg_5m,820.0321995019913
spread_pct_diff_chg_25m,814.1939868927002
abs_delta_diff_chg_25m,761.4336607456207
abs_delta_diff_chg_5m,704.2163891792297
vega_diff_chg_5m,656.7560539245605
