feature,importance
ib_range_bps,12323.627397179604
oi_diff,9367.45096385479
dist_ib_high_bps,4177.329676628113
dist_ib_low_bps,4145.092521548271
iv_diff,2769.614770412445
minute,2494.2708703279495
ret_30m_bps,1708.3650183677673
nearest_level_abs_bps,1567.662741303444
ret_15m_bps,1280.8919397592545
vega_diff,1246.333312869072
spread_pct_diff,1178.0190581083298
volume_diff,1139.516492843628
abs_delta_diff,1066.7670689821243
iv_diff_chg_25m,1042.2663621902466
ret_5m_bps,976.7551611661911
volume_diff_chg_5m,972.4812015295029
ret_1m_bps,957.5358694791794
iv_diff_chg_15m,937.6739603281021
spread_pct_diff_chg_15m,928.0480117797852
spread_pct_diff_chg_5m,857.6957614421844
volume_diff_chg_25m,806.1438900232315
iv_diff_chg_5m,792.6810510158539
vega_diff_chg_15m,753.1908682584763
spread_pct_diff_chg_25m,691.9378192424774
vega_diff_chg_5m,666.7182797193527
volume_diff_chg_15m,642.2272276878357
abs_delta_diff_chg_5m,632.59415102005
abs_delta_diff_chg_25m,625.7414191961288
abs_delta_diff_chg_15m,582.4349012374878
vega_diff_chg_25m,553.3705811500549
