feature,importance
ib_range_bps,11280.650238513947
oi_diff,10200.986741304398
dist_ib_high_bps,4769.6688812971115
dist_ib_low_bps,3792.382221221924
iv_diff,2859.9951070547104
minute,2343.4412838220596
nearest_level_abs_bps,1838.588651418686
ret_30m_bps,1789.1007498502731
vega_diff,1371.2087057828903
ret_15m_bps,1315.8836750984192
spread_pct_diff,1111.6713292598724
abs_delta_diff,1079.2431304454803
iv_diff_chg_15m,1076.2956788539886
iv_diff_chg_5m,1064.8441820144653
volume_diff,1027.993021607399
ret_5m_bps,1019.9679826498032
ret_1m_bps,1002.3740454912186
vega_diff_chg_5m,996.503626704216
volume_diff_chg_25m,965.7164289951324
iv_diff_chg_25m,951.7766112089157
volume_diff_chg_5m,942.2248507738113
spread_pct_diff_chg_5m,934.3788685798645
spread_pct_diff_chg_15m,915.3404202461243
volume_diff_chg_15m,862.585351228714
vega_diff_chg_25m,847.9924784898758
abs_delta_diff_chg_5m,793.2557027339935
spread_pct_diff_chg_25m,731.9391306638718
vega_diff_chg_15m,664.4187880754471
abs_delta_diff_chg_25m,619.0394997596741
abs_delta_diff_chg_15m,527.3033277988434
