feature,importance
ib_range_bps,15666.919741868973
oi_diff,9360.175035357475
dist_ib_high_bps,4224.750633239746
dist_ib_low_bps,3182.8315049409866
iv_diff,3002.1870608329773
minute,2253.909891605377
ret_30m_bps,1815.2723883390427
nearest_level_abs_bps,1407.6386224031448
vega_diff,1074.654260635376
spread_pct_diff,988.3601711988449
iv_diff_chg_25m,970.5522493124008
ret_15m_bps,921.2092423439026
ret_1m_bps,906.8281388282776
iv_diff_chg_5m,883.6579993963242
abs_delta_diff,831.3862111568451
volume_diff,811.3986814022064
iv_diff_chg_15m,793.4114202260971
volume_diff_chg_5m,733.2659769058228
ret_5m_bps,728.0840691328049
abs_delta_diff_chg_5m,719.3654911518097
vega_diff_chg_15m,717.212433218956
spread_pct_diff_chg_5m,677.2261904478073
spread_pct_diff_chg_25m,666.9165481328964
volume_diff_chg_15m,620.1882711648941
volume_diff_chg_25m,619.9114701747894
spread_pct_diff_chg_15m,588.9446606636047
vega_diff_chg_25m,571.5625194311142
vega_diff_chg_5m,530.0354783535004
abs_delta_diff_chg_25m,481.56695079803467
abs_delta_diff_chg_15m,429.375040769577
