feature,importance
ib_range_bps,6134.685484886169
oi_diff,5174.795317769051
dist_ib_low_bps,3273.983868956566
dist_ib_high_bps,3086.1878648996353
iv_diff,2592.494250535965
minute,2213.7560287714005
ret_30m_bps,1802.5486590862274
nearest_level_abs_bps,1660.5537912845612
volume_diff,1455.0596326589584
spread_pct_diff,1344.8231085538864
ret_15m_bps,1335.8064286708832
vega_diff,1253.3135430812836
iv_diff_chg_5m,1212.321370959282
volume_diff_chg_15m,1170.2297895550728
ret_5m_bps,1159.9226480722427
volume_diff_chg_5m,1152.3028559684753
iv_diff_chg_25m,1109.5106182098389
iv_diff_chg_15m,1081.943386554718
spread_pct_diff_chg_15m,1069.2333730459213
ret_1m_bps,1060.1062580347061
volume_diff_chg_25m,1033.3155192136765
spread_pct_diff_chg_25m,953.0519316196442
abs_delta_diff,934.8130303621292
vega_diff_chg_5m,895.7566405534744
abs_delta_diff_chg_5m,838.7826088666916
vega_diff_chg_25m,804.927080988884
abs_delta_diff_chg_25m,801.9778983592987
abs_delta_diff_chg_15m,797.7428603172302
spread_pct_diff_chg_5m,766.2174900770187
vega_diff_chg_15m,711.827899813652
