feature,importance
ib_range_bps,13030.134649515152
oi_diff,4842.098873615265
dist_ib_high_bps,3701.941817522049
dist_ib_low_bps,3369.390751004219
minute,2794.6028126478195
iv_diff,2387.255746245384
ret_30m_bps,1964.2632267475128
nearest_level_abs_bps,1845.967861175537
volume_diff,1468.018306851387
ret_15m_bps,1451.6167228221893
ret_5m_bps,1377.8631777763367
iv_diff_chg_5m,1151.5290088653564
spread_pct_diff,1115.4295673370361
iv_diff_chg_15m,1114.1373399496078
volume_diff_chg_5m,1078.5601323843002
spread_pct_diff_chg_5m,1075.4986436367035
iv_diff_chg_25m,1006.7511614561081
ret_1m_bps,963.3885703086853
spread_pct_diff_chg_15m,956.9098885059357
volume_diff_chg_25m,951.4820573329926
abs_delta_diff,859.8044185638428
spread_pct_diff_chg_25m,838.1833099126816
volume_diff_chg_15m,827.436551451683
abs_delta_diff_chg_25m,804.2999416589737
abs_delta_diff_chg_15m,792.1034089326859
vega_diff_chg_5m,755.2097599506378
abs_delta_diff_chg_5m,716.887298822403
vega_diff_chg_25m,716.0417785644531
vega_diff,710.1202079057693
vega_diff_chg_15m,703.1139005422592
