feature,importance
ib_range_bps,11582.571607351303
oi_diff,6994.05662548542
dist_ib_low_bps,4319.358837246895
iv_diff,4106.716299414635
dist_ib_high_bps,3630.1700369119644
minute,3560.2674490213394
ret_30m_bps,2060.1077188253403
nearest_level_abs_bps,2030.797663450241
ret_15m_bps,1592.3777241706848
iv_diff_chg_25m,1406.6007928848267
ret_5m_bps,1207.565689086914
iv_diff_chg_15m,1161.418708205223
volume_diff,1151.145167708397
ret_1m_bps,1110.530279159546
spread_pct_diff,1109.4018726348877
volume_diff_chg_25m,1109.038869380951
iv_diff_chg_5m,1107.870689034462
volume_diff_chg_15m,1018.6063876152039
spread_pct_diff_chg_15m,968.6024597883224
abs_delta_diff,967.462562084198
spread_pct_diff_chg_25m,951.345450758934
volume_diff_chg_5m,912.5927623510361
vega_diff,848.1587196588516
spread_pct_diff_chg_5m,838.4198817014694
abs_delta_diff_chg_25m,754.8735622167587
abs_delta_diff_chg_15m,749.2665678262711
vega_diff_chg_15m,740.4418796300888
abs_delta_diff_chg_5m,719.6869193315506
vega_diff_chg_25m,687.9481185674667
vega_diff_chg_5m,682.7074189186096
