feature,importance
ib_range_bps,13009.694207787514
oi_diff,6174.159495949745
dist_ib_low_bps,4552.008786201477
iv_diff,3556.270982027054
dist_ib_high_bps,3494.648794770241
minute,2822.4361613988876
ret_30m_bps,1998.3526438474655
nearest_level_abs_bps,1919.750144481659
ret_15m_bps,1304.5847754478455
iv_diff_chg_25m,1289.950628399849
iv_diff_chg_15m,1016.0359417200089
ret_5m_bps,928.0780311822891
ret_1m_bps,881.1762692928314
volume_diff,860.4713975191116
volume_diff_chg_5m,843.0730412006378
spread_pct_diff,841.3917338848114
spread_pct_diff_chg_5m,830.283140540123
volume_diff_chg_25m,821.9720195531845
spread_pct_diff_chg_25m,784.2936283349991
iv_diff_chg_5m,763.8801916837692
volume_diff_chg_15m,757.5766314268112
abs_delta_diff,755.5249570608139
spread_pct_diff_chg_15m,751.034789443016
vega_diff,695.814769744873
abs_delta_diff_chg_5m,631.6131991147995
abs_delta_diff_chg_25m,623.1132298707962
abs_delta_diff_chg_15m,575.3854784965515
vega_diff_chg_15m,559.1371200084686
vega_diff_chg_25m,534.278219461441
vega_diff_chg_5m,430.4312707185745
