feature,importance
ib_range_bps,6822.212783455849
oi_diff,3908.38008749485
iv_diff,3426.039685845375
dist_ib_high_bps,2898.2167296409607
dist_ib_low_bps,2717.804303407669
minute,2387.5204315185547
nearest_level_abs_bps,2258.1558570861816
ret_30m_bps,1808.9803674221039
ret_1m_bps,1586.5456978082657
ret_15m_bps,1565.6629267930984
ret_5m_bps,1559.6313412189484
spread_pct_diff,1556.3010586500168
iv_diff_chg_25m,1535.958018541336
volume_diff,1504.5400686264038
volume_diff_chg_5m,1467.1793781518936
iv_diff_chg_15m,1219.5400187969208
spread_pct_diff_chg_15m,1218.8268991708755
volume_diff_chg_15m,1212.9367903470993
vega_diff,1207.075811624527
iv_diff_chg_5m,1181.3269098997116
spread_pct_diff_chg_25m,1173.214651107788
volume_diff_chg_25m,1164.1606820821762
spread_pct_diff_chg_5m,1161.1363908052444
abs_delta_diff_chg_5m,969.5649172067642
vega_diff_chg_5m,896.3073103427887
abs_delta_diff,869.0949417352676
vega_diff_chg_15m,835.7041786909103
vega_diff_chg_25m,802.8041998147964
abs_delta_diff_chg_15m,789.5550807714462
abs_delta_diff_chg_25m,760.9340642690659
