feature,importance
ib_range_bps,15102.84548664093
oi_diff,11509.660131573677
dist_ib_high_bps,4658.865158200264
dist_ib_low_bps,4515.490676164627
iv_diff,3021.199822306633
minute,2756.175576686859
ret_30m_bps,2341.630523085594
nearest_level_abs_bps,2095.1156470775604
spread_pct_diff,1380.3877230882645
iv_diff_chg_25m,1225.9338175058365
iv_diff_chg_15m,1150.8158688545227
abs_delta_diff,1103.4302595853806
iv_diff_chg_5m,1077.2572914361954
ret_15m_bps,1063.9283418655396
ret_5m_bps,992.9907028675079
vega_diff,964.8613176345825
volume_diff,921.3737778663635
volume_diff_chg_25m,889.9539623260498
volume_diff_chg_5m,878.0195202827454
vega_diff_chg_15m,750.210207939148
volume_diff_chg_15m,748.0513018369675
vega_diff_chg_5m,732.9581991434097
ret_1m_bps,717.4080303907394
spread_pct_diff_chg_25m,684.2724391222
spread_pct_diff_chg_5m,676.1644086837769
abs_delta_diff_chg_15m,655.910110116005
abs_delta_diff_chg_5m,643.8565106391907
vega_diff_chg_25m,630.6443215608597
spread_pct_diff_chg_15m,623.6490092277527
abs_delta_diff_chg_25m,536.968209028244
