feature,importance
ib_range_bps,7823.124675631523
oi_diff,7256.442351818085
dist_ib_high_bps,3994.3471150398254
dist_ib_low_bps,3689.515665769577
iv_diff,3306.789711356163
minute,2855.984603404999
nearest_level_abs_bps,1937.747209906578
ret_30m_bps,1868.0101588964462
spread_pct_diff,1645.0351897478104
iv_diff_chg_25m,1449.4875509738922
ret_15m_bps,1330.7428473234177
vega_diff,1276.067903995514
iv_diff_chg_15m,1273.1042829751968
ret_5m_bps,1227.740837931633
ret_1m_bps,1154.13480758667
abs_delta_diff,1068.6379817724228
volume_diff,1030.8168869018555
volume_diff_chg_25m,1014.0494697093964
iv_diff_chg_5m,1008.3337293863297
volume_diff_chg_15m,945.6180213689804
volume_diff_chg_5m,926.0044231414795
spread_pct_diff_chg_15m,802.6551427841187
spread_pct_diff_chg_5m,776.2975900173187
abs_delta_diff_chg_5m,752.5195206403732
vega_diff_chg_5m,727.9514594078064
abs_delta_diff_chg_15m,717.345960021019
vega_diff_chg_25m,715.4010469913483
abs_delta_diff_chg_25m,715.0362507104874
vega_diff_chg_15m,711.9481127262115
spread_pct_diff_chg_25m,692.4767489433289
