feature,importance
ib_range_bps,16032.123461961746
oi_diff,11348.672647953033
dist_ib_high_bps,5121.537633895874
dist_ib_low_bps,4988.870727062225
iv_diff,3469.26791369915
minute,3153.1957960128784
nearest_level_abs_bps,1943.0402146577835
ret_30m_bps,1794.6997500658035
spread_pct_diff,1409.5651197433472
ret_15m_bps,1364.8111476898193
iv_diff_chg_25m,1149.2645009756088
vega_diff,1137.6458104848862
ret_5m_bps,1063.339321732521
volume_diff,1015.2427703142166
abs_delta_diff,1006.4825795888901
iv_diff_chg_15m,905.1941576004028
volume_diff_chg_15m,823.115268945694
iv_diff_chg_5m,821.5110383033752
vega_diff_chg_5m,781.9181801080704
spread_pct_diff_chg_15m,742.9391093254089
ret_1m_bps,723.2853617668152
volume_diff_chg_5m,701.4749699831009
spread_pct_diff_chg_5m,660.7346695661545
abs_delta_diff_chg_15m,627.3347309827805
abs_delta_diff_chg_5m,624.8182297945023
spread_pct_diff_chg_25m,590.2743616104126
volume_diff_chg_25m,544.8322011232376
abs_delta_diff_chg_25m,520.9905995130539
vega_diff_chg_15m,478.68362760543823
vega_diff_chg_25m,447.6793192625046
