feature,importance
ib_range_bps,13879.992584586143
oi_diff,9093.72686779499
dist_ib_low_bps,4582.171904683113
iv_diff,4078.5600382089615
dist_ib_high_bps,3947.9954484701157
minute,2869.321058511734
ret_30m_bps,1854.5772532224655
nearest_level_abs_bps,1739.4078121185303
spread_pct_diff,1506.192176103592
ret_15m_bps,1113.5966988801956
iv_diff_chg_25m,967.0373915433884
abs_delta_diff,966.1095479726791
vega_diff,956.9909031391144
iv_diff_chg_15m,927.7419984340668
ret_5m_bps,903.8104988336563
ret_1m_bps,795.7293508052826
iv_diff_chg_5m,790.6617186069489
spread_pct_diff_chg_25m,782.4619235992432
volume_diff_chg_15m,704.500360250473
volume_diff,696.2653526067734
volume_diff_chg_5m,648.1075513362885
vega_diff_chg_5m,612.5828567743301
spread_pct_diff_chg_5m,612.1232190132141
volume_diff_chg_25m,586.2177004814148
vega_diff_chg_15m,550.4764922857285
spread_pct_diff_chg_15m,536.9406492710114
vega_diff_chg_25m,527.6897712945938
abs_delta_diff_chg_25m,501.92450082302094
abs_delta_diff_chg_15m,498.0876508951187
abs_delta_diff_chg_5m,416.7126603126526
