trigger_losses,pause_days,loss_threshold,rolling_sum_window,rolling_sum_threshold,volume_protect_monthly_target,skipped_days,volume_protected_days,select_spxw_trades,select_spxw_win_rate,select_spxw_profit_factor,select_spxw_pnl_return,select_spxw_avg_return,select_spxw_max_drawdown,select_spxw_call_rate,select_spxw_days_with_trades,select_spxw_daily_win_rate,select_spxw_daily_max_drawdown,select_spxw_top5_share_of_pnl,select_spxw_min_month_trades,select_spxw_positive_month_rate,select_spxw_pass,select_spy_trades,select_spy_win_rate,select_spy_profit_factor,select_spy_pnl_return,select_spy_avg_return,select_spy_max_drawdown,select_spy_call_rate,select_spy_days_with_trades,select_spy_daily_win_rate,select_spy_daily_max_drawdown,select_spy_top5_share_of_pnl,select_spy_min_month_trades,select_spy_positive_month_rate,select_spy_pass,select_qqq_trades,select_qqq_win_rate,select_qqq_profit_factor,select_qqq_pnl_return,select_qqq_avg_return,select_qqq_max_drawdown,select_qqq_call_rate,select_qqq_days_with_trades,select_qqq_daily_win_rate,select_qqq_daily_max_drawdown,select_qqq_top5_share_of_pnl,select_qqq_min_month_trades,select_qqq_positive_month_rate,select_qqq_pass,select_overall_trades,select_overall_win_rate,select_overall_profit_factor,select_overall_pnl_return,select_overall_avg_return,select_overall_max_drawdown,select_overall_call_rate,select_overall_days_with_trades,select_overall_daily_win_rate,select_overall_daily_max_drawdown,select_overall_top5_share_of_pnl,select_overall_min_month_trades,select_overall_positive_month_rate,select_pass,select_pf_min,select_wr_min,select_min_month_min,valid_spxw_trades,valid_spxw_win_rate,valid_spxw_profit_factor,valid_spxw_pnl_return,valid_spxw_avg_return,valid_spxw_max_drawdown,valid_spxw_call_rate,valid_spxw_days_with_trades,valid_spxw_daily_win_rate,valid_spxw_daily_max_drawdown,valid_spxw_top5_share_of_pnl,valid_spxw_min_month_trades,valid_spxw_positive_month_rate,valid_spxw_pass,valid_spy_trades,valid_spy_win_rate,valid_spy_profit_factor,valid_spy_pnl_return,valid_spy_avg_return,valid_spy_max_drawdown,valid_spy_call_rate,valid_spy_days_with_trades,valid_spy_daily_win_rate,valid_spy_daily_max_drawdown,valid_spy_top5_share_of_pnl,valid_spy_min_month_trades,valid_spy_positive_month_rate,valid_spy_pass,valid_qqq_trades,valid_qqq_win_rate,valid_qqq_profit_factor,valid_qqq_pnl_return,valid_qqq_avg_return,valid_qqq_max_drawdown,valid_qqq_call_rate,valid_qqq_days_with_trades,valid_qqq_daily_win_rate,valid_qqq_daily_max_drawdown,valid_qqq_top5_share_of_pnl,valid_qqq_min_month_trades,valid_qqq_positive_month_rate,valid_qqq_pass,valid_overall_trades,valid_overall_win_rate,valid_overall_profit_factor,valid_overall_pnl_return,valid_overall_avg_return,valid_overall_max_drawdown,valid_overall_call_rate,valid_overall_days_with_trades,valid_overall_daily_win_rate,valid_overall_daily_max_drawdown,valid_overall_top5_share_of_pnl,valid_overall_min_month_trades,valid_overall_positive_month_rate,valid_pass,valid_pf_min,valid_wr_min,valid_min_month_min,pretest_pass,pretest_health_flag_count,pretest_negative_months,pretest_max_negative_day_streak,pretest_max_dd_to_pnl,pretest_flags_json,selection_score
4,2,0.0,5,-2.0,0,18,0,122,0.5,1.4336257585640872,5.9678208179073415,0.04891656408120772,-1.985985460885445,0.19672131147540983,122,0.5,-1.985985460885445,0.41891338166494124,18,0.8333333333333334,True,303,0.5412541254125413,1.5066554295466439,13.65503332771017,0.04506611659310287,-2.9654143211772244,0.32673267326732675,119,0.6134453781512605,-2.9018171184459005,0.5079871339872726,18,1.0,True,128,0.578125,1.6867521743874054,7.426786993312355,0.05802177338525277,-1.8934407533550637,0.21875,122,0.5901639344262295,-1.732440787687339,0.40394318602397355,18,0.8333333333333334,True,553,0.5406871609403255,1.5249473781212997,27.049641138929864,0.04891436010656395,-2.965414321177244,0.2730560578661845,127,0.5905511811023622,-3.777114457903913,0.4196049870473378,54,1.0,True,1.4336257585640872,0.5,18,122,0.5,1.4336257585640872,5.9678208179073415,0.04891656408120772,-1.985985460885445,0.19672131147540983,122,0.5,-1.985985460885445,0.41891338166494124,18,0.8333333333333334,True,303,0.5412541254125413,1.5066554295466439,13.65503332771017,0.04506611659310287,-2.9654143211772244,0.32673267326732675,119,0.6134453781512605,-2.9018171184459005,0.5079871339872726,18,1.0,True,128,0.578125,1.6867521743874054,7.426786993312355,0.05802177338525277,-1.8934407533550637,0.21875,122,0.5901639344262295,-1.732440787687339,0.40394318602397355,18,0.8333333333333334,True,553,0.5406871609403255,1.5249473781212997,27.049641138929864,0.04891436010656395,-2.965414321177244,0.2730560578661845,127,0.5905511811023622,-3.777114457903913,0.4196049870473378,54,1.0,True,1.4336257585640872,0.5,18,True,3,2,4,0.32040677432167747,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months;max_month_pnl_share>0.65"", ""SPY"": """"}",-16.70805079490417
4,1,0.0,5,-2.0,0,9,0,125,0.512,1.4953547746887708,6.817372995614007,0.05453898396491206,-1.6020722740502078,0.192,125,0.512,-1.6020722740502078,0.36671016850748644,19,0.8333333333333334,True,309,0.5372168284789643,1.4924816564980818,13.72905751617531,0.04443060684846378,-3.8897929185366658,0.32038834951456313,122,0.6065573770491803,-3.8277929299807605,0.5052481742808371,19,0.8333333333333334,True,131,0.5725190839694656,1.6098049769912834,6.977464178501187,0.05326308533207013,-2.0427635681662313,0.21374045801526717,125,0.584,-1.8817636024985065,0.4299556290440782,20,0.6666666666666666,True,565,0.5398230088495575,1.5185162605003422,27.523894690290504,0.04871485785892125,-3.889792918536692,0.2672566371681416,128,0.578125,-4.177886062837583,0.41781877635423487,58,1.0,True,1.4924816564980818,0.512,19,125,0.512,1.4953547746887708,6.817372995614007,0.05453898396491206,-1.6020722740502078,0.192,125,0.512,-1.6020722740502078,0.36671016850748644,19,0.8333333333333334,True,309,0.5372168284789643,1.4924816564980818,13.72905751617531,0.04443060684846378,-3.8897929185366658,0.32038834951456313,122,0.6065573770491803,-3.8277929299807605,0.5052481742808371,19,0.8333333333333334,True,131,0.5725190839694656,1.6098049769912834,6.977464178501187,0.05326308533207013,-2.0427635681662313,0.21374045801526717,125,0.584,-1.8817636024985065,0.4299556290440782,20,0.6666666666666666,True,565,0.5398230088495575,1.5185162605003422,27.523894690290504,0.04871485785892125,-3.889792918536692,0.2672566371681416,128,0.578125,-4.177886062837583,0.41781877635423487,58,1.0,True,1.4924816564980818,0.512,19,True,3,4,4,0.2788095923897857,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",-18.627489170464095
4,1,0.0,0,0.0,0,8,0,125,0.512,1.4953547746887708,6.817372995614007,0.05453898396491206,-1.6020722740502078,0.192,125,0.512,-1.6020722740502078,0.36671016850748644,19,0.8333333333333334,True,312,0.5352564102564102,1.47859378677608,13.62905751617531,0.043682876654408044,-3.9897929185366654,0.3173076923076923,123,0.6016260162601627,-3.927792929980761,0.5089553137780561,19,0.8333333333333334,True,131,0.5725190839694656,1.6098049769912834,6.977464178501187,0.05326308533207013,-2.0427635681662313,0.21374045801526717,125,0.584,-1.8817636024985065,0.4299556290440782,20,0.6666666666666666,True,568,0.5387323943661971,1.510858022331169,27.423894690290503,0.04828150473642694,-3.989792918536697,0.2658450704225352,128,0.578125,-4.277886062837583,0.41934233375216406,58,1.0,True,1.47859378677608,0.512,19,125,0.512,1.4953547746887708,6.817372995614007,0.05453898396491206,-1.6020722740502078,0.192,125,0.512,-1.6020722740502078,0.36671016850748644,19,0.8333333333333334,True,312,0.5352564102564102,1.47859378677608,13.62905751617531,0.043682876654408044,-3.9897929185366654,0.3173076923076923,123,0.6016260162601627,-3.927792929980761,0.5089553137780561,19,0.8333333333333334,True,131,0.5725190839694656,1.6098049769912834,6.977464178501187,0.05326308533207013,-2.0427635681662313,0.21374045801526717,125,0.584,-1.8817636024985065,0.4299556290440782,20,0.6666666666666666,True,568,0.5387323943661971,1.510858022331169,27.423894690290503,0.04828150473642694,-3.989792918536697,0.2658450704225352,128,0.578125,-4.277886062837583,0.41934233375216406,58,1.0,True,1.47859378677608,0.512,19,True,3,4,4,0.2881925566253688,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",-18.698040649352105
4,1,0.0,3,-2.0,0,8,0,125,0.512,1.4953547746887708,6.817372995614007,0.05453898396491206,-1.6020722740502078,0.192,125,0.512,-1.6020722740502078,0.36671016850748644,19,0.8333333333333334,True,312,0.5352564102564102,1.47859378677608,13.62905751617531,0.043682876654408044,-3.9897929185366654,0.3173076923076923,123,0.6016260162601627,-3.927792929980761,0.5089553137780561,19,0.8333333333333334,True,131,0.5725190839694656,1.6098049769912834,6.977464178501187,0.05326308533207013,-2.0427635681662313,0.21374045801526717,125,0.584,-1.8817636024985065,0.4299556290440782,20,0.6666666666666666,True,568,0.5387323943661971,1.510858022331169,27.423894690290503,0.04828150473642694,-3.989792918536697,0.2658450704225352,128,0.578125,-4.277886062837583,0.41934233375216406,58,1.0,True,1.47859378677608,0.512,19,125,0.512,1.4953547746887708,6.817372995614007,0.05453898396491206,-1.6020722740502078,0.192,125,0.512,-1.6020722740502078,0.36671016850748644,19,0.8333333333333334,True,312,0.5352564102564102,1.47859378677608,13.62905751617531,0.043682876654408044,-3.9897929185366654,0.3173076923076923,123,0.6016260162601627,-3.927792929980761,0.5089553137780561,19,0.8333333333333334,True,131,0.5725190839694656,1.6098049769912834,6.977464178501187,0.05326308533207013,-2.0427635681662313,0.21374045801526717,125,0.584,-1.8817636024985065,0.4299556290440782,20,0.6666666666666666,True,568,0.5387323943661971,1.510858022331169,27.423894690290503,0.04828150473642694,-3.989792918536697,0.2658450704225352,128,0.578125,-4.277886062837583,0.41934233375216406,58,1.0,True,1.47859378677608,0.512,19,True,3,4,4,0.2881925566253688,"{""QQQ"": ""negative_months"", ""SPXW"": ""negative_months"", ""SPY"": ""negative_months""}",-18.698040649352105
0,3,0.0,3,0.0,18,81,121,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,True,3,2,6,0.2710924977922621,"{""QQQ"": """", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-20.08413268178152
3,3,0.0,3,0.0,18,81,121,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,True,3,2,6,0.2710924977922621,"{""QQQ"": """", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-20.08413268178152
4,3,0.0,3,0.0,18,81,121,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,True,3,2,6,0.2710924977922621,"{""QQQ"": """", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-20.08413268178152
5,3,0.0,3,0.0,18,81,121,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,True,3,2,6,0.2710924977922621,"{""QQQ"": """", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-20.08413268178152
6,3,0.0,3,0.0,18,81,121,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,True,3,2,6,0.2710924977922621,"{""QQQ"": """", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-20.08413268178152
7,3,0.0,3,0.0,18,81,121,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,111,0.5135135135135135,1.536912281346079,6.3237886006050665,0.05697106847391952,-1.7881868901382603,0.2072072072072072,111,0.5135135135135135,-1.7881868901382603,0.3953326333142758,18,0.6666666666666666,True,201,0.572139303482587,1.8721653966938594,14.1339016138744,0.07031791847698707,-3.219056885278031,0.31840796019900497,84,0.6190476190476191,-3.019056885278032,0.456817963348691,19,1.0,True,111,0.5945945945945946,1.9299293927274765,7.816917557568118,0.07042268069881187,-1.5335587686344576,0.24324324324324326,105,0.6095238095238096,-1.3725588029667328,0.38378299091762647,18,1.0,True,423,0.5626477541371159,1.7769986149591246,28.274607772047585,0.06684304437836308,-3.219056885278043,0.2695035460992908,126,0.6190476190476191,-3.408558218566169,0.36304134129449,57,1.0,True,1.536912281346079,0.5135135135135135,18,True,3,2,6,0.2710924977922621,"{""QQQ"": """", ""SPXW"": ""negative_months;negative_day_streak>4"", ""SPY"": ""negative_day_streak>4""}",-20.08413268178152
