month,history_2025_seed,history_2025_train_start_month,history_2025_train_end_month,history_2025_train_rows,history_2025_train_months,history_2025_train_windows,history_2025_test_rows,history_2025_feature_count,history_2025_context_valid_rate,history_2025_train_pred,history_2025_train_total,history_2025_train_z_effective_rank_ratio,history_2025_train_z_max_pc_var_ratio,history_2022_seed,history_2022_train_start_month,history_2022_train_end_month,history_2022_train_rows,history_2022_train_months,history_2022_train_windows,history_2022_test_rows,history_2022_feature_count,history_2022_context_valid_rate,history_2022_train_pred,history_2022_train_total,history_2022_train_z_effective_rank_ratio,history_2022_train_z_max_pc_var_ratio
202505,20463123,202501,202504,7750,4,2563,2352,277,0.7045068144798279,0.0177073265035962,0.331202227263259,0.1065638661384582,0.441161960363388,20463123,202201,202504,79110,40,30127,2352,277,0.7045068144798279,0.0138743157517179,0.2639554655438743,0.1214457601308822,0.4830732345581054
202506,20463124,202501,202505,10102,5,3349,2260,277,0.7725663781166077,0.017253363266961,0.3240882167178291,0.1136969029903411,0.4185361266136169,20463124,202201,202505,81462,41,30913,2260,277,0.7725663781166077,0.0165281345129263,0.2620617788429266,0.1155682504177093,0.5273182392120361
202507,20463125,202501,202506,12362,6,4314,2508,277,0.8341307640075684,0.0133544527621154,0.3027684644078788,0.1113840192556381,0.3994425535202026,20463125,202201,202506,83722,42,31878,2508,277,0.8341307640075684,0.0151680470058329,0.2397601765374391,0.1301487386226654,0.405710220336914
202508,20463126,202501,202507,14870,7,5577,2293,277,0.7897950410842896,0.0149279272336407,0.3196830124127858,0.1139619946479797,0.3660069108009338,20463126,202201,202507,86230,43,33141,2293,277,0.7897950410842896,0.0134366010792744,0.2397922611318225,0.1390404403209686,0.3827213943004608
202509,20463127,202501,202508,17163,8,6628,2393,277,0.8044295907020569,0.0161069787411478,0.3076239762424199,0.1197065263986587,0.3692978918552398,20463127,202201,202508,88523,44,34192,2393,277,0.8044295907020569,0.0144845793083847,0.2309640438257114,0.1480475217103958,0.3612054884433746
202510,20463128,202501,202509,19556,9,7788,2458,277,0.781936526298523,0.0175181245120384,0.3050240105736482,0.1389103084802627,0.3114447891712188,20463128,202201,202509,90916,45,35352,2458,277,0.781936526298523,0.0140421472455691,0.2317228739982979,0.1338492184877395,0.4053564965724945
202511,20463129,202501,202510,22014,10,8888,1859,277,0.7525551319122314,0.0228617777402448,0.2950938855281936,0.1507849991321563,0.3489166498184204,20463129,202201,202510,93374,46,36452,1859,277,0.7525551319122314,0.0156407332846797,0.2421091078426683,0.1216959655284881,0.4408732652664184
202512,20463130,202501,202511,23873,11,9685,2392,277,0.764214038848877,0.0199851727894919,0.3037671399658097,0.1205832585692405,0.3751690089702606,20463130,202201,202511,95233,47,37249,2392,277,0.764214038848877,0.0161457739700105,0.2398939332031314,0.1266219913959503,0.4391575753688812
202601,20463219,202501,202512,26265,12,10763,2211,277,0.7616463303565979,0.0223122324831219,0.3026396434546115,0.1421364843845367,0.3254557847976684,20463219,202201,202512,97625,48,38327,2211,277,0.7616463303565979,0.0161155316928441,0.2302704466523897,0.1464801430702209,0.3755740523338318
202602,20463220,202501,202601,28476,13,11702,1710,277,0.68830406665802,0.0232567948215518,0.2954333437811389,0.1432763934135437,0.3660588562488556,20463220,202201,202601,99836,49,39266,1710,277,0.68830406665802,0.0142104865757615,0.2315799782776234,0.1365568935871124,0.3920398950576782
202603,20463221,202501,202602,30186,14,12332,2304,277,0.6388888955116272,0.0206066834421038,0.3025252077918218,0.1417820006608963,0.3830325007438659,20463221,202201,202602,101546,50,39896,2304,277,0.6388888955116272,0.0132798627694963,0.2322804234729206,0.1390583664178848,0.3789185583591461
202604,20463222,202501,202603,32490,15,13040,2082,277,0.7766570448875427,0.016160964954393,0.2960311940842611,0.1190551370382309,0.4531449675559997,20463222,202201,202603,103850,51,40604,2082,277,0.7766570448875427,0.0183589741739571,0.2540510568436396,0.1383584290742874,0.3809136152267456
202605,20463223,202501,202604,34572,16,14007,2224,277,0.7675359845161438,0.0188346654066338,0.286596264825002,0.1473293751478195,0.3167703151702881,20463223,202201,202604,105932,52,41571,2224,277,0.7675359845161438,0.0130247630778258,0.2357755362591788,0.1505348235368728,0.4005737006664276
