arm,ticker,month,n,z_dim,effective_rank,effective_rank_ratio,max_pc_var_ratio,min_dim_std,median_dim_std,near_zero_std_dims,prediction_to_persistence_ratio_mean,prediction_to_persistence_ratio_median,prediction_beats_persistence_rate,ratio_observations
flat,QQQ,202601,556,32,3.657192534468513,0.11428726670214102,0.48625131514087594,0.18945694456191486,0.5807311007341173,0,1.1797349452972412,1.0924468040466309,0.42234848484848486,528
flat,QQQ,202602,362,32,2.926521115153071,0.09145378484853346,0.5628114651352103,0.12704115700097454,0.45526112148481185,0,1.1151456832885742,0.9650812745094299,0.5473372781065089,338
flat,QQQ,202603,492,32,2.591330908420132,0.08097909088812913,0.6341921522538678,0.14640496414485074,0.5132171900160489,0,1.0805590152740479,0.9843772053718567,0.5239130434782608,460
flat,QQQ,202604,529,32,3.782497313514499,0.1182030410473281,0.4719811339240353,0.11471711955333128,0.4672254680408313,0,1.1182491779327393,1.0219788551330566,0.4763779527559055,508
flat,QQQ,202605,583,32,2.692486034633463,0.08414018858229572,0.6242032327537118,0.10135854147241938,0.5003434431701039,0,1.0739141702651978,1.0061664581298828,0.4883303411131059,557
flat,SPXW,202601,731,32,2.8748072954999557,0.08983772798437362,0.6161778418158245,0.09233641083022437,0.43169782592853656,0,1.0979318618774414,0.9674477577209473,0.5289957567185289,707
flat,SPXW,202602,503,32,3.0327252206621083,0.09477266314569088,0.5305203572702698,0.11370949540339335,0.48011153631493264,0,0.9697247743606567,0.8653337359428406,0.6611226611226612,481
flat,SPXW,202603,544,32,2.641922209776371,0.0825600690555116,0.6036982845975823,0.12547633351217102,0.5543224713598014,0,0.9852045774459839,0.8829123973846436,0.6381322957198443,514
flat,SPXW,202604,749,32,2.6458852891492843,0.08268391528591514,0.7075060510473854,0.08184130008056445,0.393904081496238,0,1.0631940364837646,0.9415600895881653,0.5656984785615491,723
flat,SPXW,202605,740,32,2.0908199074962432,0.0653381221092576,0.7637549786233077,0.05482596970463714,0.41874421501513365,0,0.9683366417884827,0.9107350707054138,0.634965034965035,715
flat,SPY,202601,728,32,3.5206507520851167,0.1100203360026599,0.48882136287822353,0.17203130167911052,0.4201792175042003,0,1.1143027544021606,0.9845342040061951,0.5163584637268848,703
flat,SPY,202602,493,32,2.926853731314167,0.09146417910356772,0.5774384532450023,0.12124860644438476,0.48971542328144857,0,1.065969705581665,0.940083920955658,0.5690021231422505,471
flat,SPY,202603,590,32,2.8658691751868703,0.0895584117245897,0.5319031851598923,0.12399889162786747,0.49102111824201966,0,1.0868068933486938,0.9910035729408264,0.5116279069767442,559
flat,SPY,202604,668,32,3.573619457663827,0.1116756080519946,0.48446880729499125,0.1057237400908447,0.4637854971864355,0,1.0957534313201904,1.012266993522644,0.47832817337461303,646
flat,SPY,202605,730,32,2.637233774767698,0.08241355546149057,0.6639660571003574,0.07836661713525428,0.4779709868256971,0,1.0421711206436157,0.9492363929748535,0.5926449787835927,707
modal,QQQ,202601,556,32,2.581372127283432,0.08066787897760724,0.7001862054222471,0.10388068482894858,0.5305546887703669,0,1.328599214553833,1.216421127319336,0.19128787878787878,528
modal,QQQ,202602,362,32,1.648345810233995,0.05151080656981234,0.8910415019380492,0.12036294714547843,0.37956185638641016,0,1.3586546182632446,1.317106008529663,0.2514792899408284,338
modal,QQQ,202603,492,32,1.71585197264452,0.05362037414514125,0.873431824529615,0.10221457149127115,0.4608203178773197,0,1.2251415252685547,1.0867478847503662,0.4,460
modal,QQQ,202604,529,32,3.541533231482353,0.11067291348382353,0.5986137130160644,0.16287757024765104,0.5373172156602088,0,1.036583423614502,1.0146160125732422,0.42322834645669294,508
modal,QQQ,202605,583,32,3.192229947711804,0.09975718586599387,0.5961994103949922,0.18867465232224762,0.4895412325428261,0,1.1385022401809692,1.0565612316131592,0.3895870736086176,557
modal,SPXW,202601,731,32,3.008468701958229,0.09401464693619466,0.6503214389672565,0.1263856815780852,0.4466103170321828,0,1.1575409173965454,1.0687345266342163,0.32673267326732675,707
modal,SPXW,202602,503,32,2.3063551343533732,0.07207359794854291,0.7061119058603341,0.12981772034314615,0.5127595873402853,0,1.393545150756836,1.2650175094604492,0.2390852390852391,481
modal,SPXW,202603,544,32,1.8713969601324132,0.05848115500413791,0.8463487839681133,0.08856133184489712,0.4327765330394363,0,1.3701616525650024,1.2046096324920654,0.2801556420233463,514
modal,SPXW,202604,749,32,3.0675169200950596,0.09585990375297061,0.5962503321130438,0.08917206171447896,0.3856377735987877,0,1.0838932991027832,1.048582911491394,0.33195020746887965,723
modal,SPXW,202605,740,32,3.484729543025987,0.1088977982195621,0.4396493992153663,0.09097419618064284,0.4164653840291248,0,1.1075432300567627,1.0149916410446167,0.47412587412587415,715
modal,SPY,202601,728,32,3.38902612790086,0.10590706649690187,0.5682388354920885,0.11494807130193328,0.4275180010578207,0,1.2208572626113892,1.1153656244277954,0.15362731152204837,703
modal,SPY,202602,493,32,2.8319739676606757,0.08849918648939611,0.6366543396525404,0.14425078581205367,0.5821904451149758,0,1.3415172100067139,1.279631495475769,0.22929936305732485,471
modal,SPY,202603,590,32,2.2242987035335067,0.06950933448542208,0.7881178913230262,0.11516004794833384,0.48877023431518896,0,1.1564923524856567,1.0454728603363037,0.43112701252236135,559
modal,SPY,202604,668,32,3.7576663843854603,0.11742707451204563,0.43988499751775567,0.19102868103212384,0.6662083412303377,0,1.0424673557281494,1.01083242893219,0.4535603715170279,646
modal,SPY,202605,730,32,4.313003107016135,0.1347813470942542,0.363490685352899,0.1500727012307115,0.5054253784403995,0,1.1013624668121338,1.0254191160202026,0.4752475247524752,707
