sources,maxday,minscore,select_pass,test_pass,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call,both,near
"d80,win80,ptdj80",8,-999999.0,True,True,322,0.515527950310559,1.4648969143526882,100,16.04100186380644,0.4968944099378882,575,0.4765217391304348,1.3684058049121677,72,23.843315198777162,0.5947826086956521,True,3.1374020981468433
"d80,ptdj80,win80",8,-999999.0,True,True,322,0.515527950310559,1.4648969143526882,100,16.041001863806443,0.4968944099378882,575,0.4765217391304348,1.3684058049121677,72,23.843315198777166,0.591304347826087,True,3.1374020981468433
"ptdj80,d80,win80",8,-999999.0,True,True,322,0.515527950310559,1.4648969143526882,100,16.041001863806443,0.4968944099378882,575,0.4765217391304348,1.3684058049121677,72,23.843315198777162,0.591304347826087,True,3.1374020981468433
"win80,d80,ptdj80",8,-999999.0,True,True,322,0.515527950310559,1.4648969143526882,100,16.04100186380644,0.4968944099378882,575,0.4765217391304348,1.3679336508564137,72,23.812757271014846,0.5947826086956521,True,3.136929944091089
"win80,ptdj80,d80",8,-999999.0,True,True,322,0.515527950310559,1.4648969143526882,100,16.04100186380644,0.4968944099378882,575,0.4765217391304348,1.3679336508564137,72,23.81275727101485,0.5947826086956521,True,3.136929944091089
"ptdj80,win80,d80",8,-999999.0,True,True,322,0.515527950310559,1.4648969143526882,100,16.041001863806443,0.4968944099378882,575,0.4765217391304348,1.3679336508564137,72,23.812757271014846,0.591304347826087,True,3.136929944091089
"win80,d80,ptdj80",8,0.0,True,True,321,0.5171339563862928,1.4655739499049782,100,16.056941505823346,0.4984423676012461,550,0.48,1.3889868391055038,65,24.355382871944983,0.5781818181818181,True,3.0288287017830675
"win80,ptdj80,d80",8,0.0,True,True,321,0.5171339563862928,1.4655739499049782,100,16.056941505823346,0.4984423676012461,550,0.48,1.3889868391055038,65,24.355382871944983,0.5781818181818181,True,3.0288287017830675
"ptdj80,win80,d80",8,0.0,True,True,321,0.5171339563862928,1.4655739499049782,100,16.05694150582335,0.4984423676012461,550,0.48,1.3889868391055038,65,24.355382871944983,0.5745454545454546,True,3.0288287017830675
"d80,win80,ptdj80",8,0.0,True,True,321,0.5171339563862928,1.4655739499049782,100,16.05694150582335,0.4984423676012461,550,0.48,1.3828850716803118,65,23.9733368310613,0.5781818181818181,True,3.0227269343578755
"d80,ptdj80,win80",8,0.0,True,True,321,0.5171339563862928,1.4655739499049782,100,16.05694150582335,0.4984423676012461,550,0.48,1.3828850716803118,65,23.9733368310613,0.5745454545454546,True,3.0227269343578755
"ptdj80,d80,win80",8,0.0,True,True,321,0.5171339563862928,1.4655739499049782,100,16.05694150582335,0.4984423676012461,550,0.48,1.3828850716803118,65,23.9733368310613,0.5745454545454546,True,3.0227269343578755
"win80,consall,ptdj80",8,-999999.0,True,True,353,0.5042492917847026,1.343850167819832,94,13.758246417803257,0.5014164305949008,560,0.4857142857142857,1.3582869233459118,76,21.961763652717522,0.5964285714285714,True,2.9620642461637203
"win80,ptdj80,consall",8,-999999.0,True,True,353,0.5042492917847026,1.343850167819832,94,13.758246417803257,0.5014164305949008,560,0.4857142857142857,1.358286923345912,76,21.961763652717522,0.5964285714285714,True,2.9620642461637203
"ptdj80,win80,consall",8,-999999.0,True,True,353,0.5042492917847026,1.343850167819832,94,13.758246417803257,0.5014164305949008,560,0.48392857142857143,1.3435541889534484,76,21.16176365271752,0.5946428571428571,True,2.943760083199828
"consall,win80,ptdj80",8,-999999.0,True,True,353,0.5042492917847026,1.3450308682634406,94,13.805488993695462,0.5014164305949008,560,0.4875,1.334072477271054,76,20.63706437105424,0.5946428571428571,True,2.9426019291038994
