arm,arm_role,ticker,test_month,status,abstain_reason,profile,model_threshold,direction_mode,gate_feature,gate_direction,gate_quantile,gate_numeric_threshold,threshold_train_start,threshold_train_end,inner_start,inner_end,candidates_raw,candidates_scored,candidates_after_model_threshold,candidates_after_regime_gate,executed_trades,test_wr,test_pf,test_pnl,test_max_drawdown,test_min_exit_minutes,monthly_gate_pass,provenance_status,dataset_sha256,commit_sha
C0,internal control,SPXW,202601,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202509,202510,202512,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPXW,202602,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202510,202511,202601,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPXW,202603,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202511,202512,202602,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPXW,202604,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202512,202601,202603,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPXW,202605,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202601,202602,202604,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,QQQ,202601,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202509,202510,202512,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,QQQ,202602,ok,none,target_zero_dte_d35_win,0.700,model,,,,,202501,202510,202511,202601,562,562,,,21,0.4761904761904761,1.4161365939378292,2.77144552896584,-2.6799109784803976,30,PASS,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,QQQ,202603,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202511,202512,202602,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,QQQ,202604,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202512,202601,202603,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,QQQ,202605,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202601,202602,202604,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPY,202601,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202509,202510,202512,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPY,202602,ok,none,target_zero_dte_d35_win,0.515,model,,,,,202501,202510,202511,202601,663,663,,,19,0.4736842105263157,1.343676593574814,2.2074214858348418,-2.629094062327048,30,PASS,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPY,202603,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202511,202512,202602,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPY,202604,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202512,202601,202603,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
C0,internal control,SPY,202605,abstain_no_valid_profile,fail_validation_gates,ABSTAIN_NO_VALID_PROFILE,,,,,,,202501,202601,202602,202604,0,0,,,0,,,0.0,,0,FAIL,PASS,a1970d2cbd7ef8f96a8b2d9fc092f4b323513c03895e73c2058f39b11c7cbef5,9cc585af7bee23786a99326a83be22593f64d8a6
