sources,min_score,select_pass,select_user_pass,test2025_pass,test2025_user_pass,test2026_pass,test2026_user_pass,sel_trades,sel_wr,sel_pf,sel_pnl,sel_minM,sel_call,sel_top5,sel_posM,t2025_trades,t2025_wr,t2025_pf,t2025_pnl,t2025_minM,t2025_call,t2025_top5,t2025_posM,t2026_trades,t2026_wr,t2026_pf,t2026_pnl,t2026_minM,t2026_call,t2026_top5,t2026_posM
d50ret,-999999.0,False,False,False,False,False,False,116,0.4396551724137931,1.0815219970452086,1.4057892045931857,11,0.31896551724137934,1.7783605051395046,0.5,192,0.4322916666666667,1.0528148038475926,1.381608842207059,0,0.421875,1.809484655589176,0.4166666666666667,101,0.42574257425742573,1.0211502358632611,0.29976963331820156,19,0.46534653465346537,8.339737325382396,0.6
d50ret,0.0,False,False,False,False,False,False,95,0.43157894736842106,1.071055955296598,1.091445287278219,9,0.30526315789473685,2.2905408352940446,0.5,158,0.4240506329113924,1.0621722605964194,1.3853727930373678,0,0.3924050632911392,1.8045684255996264,0.5833333333333334,63,0.3968253968253968,0.9086435635805329,-0.9526520229076296,4,0.25396825396825395,,0.6
d65ret,-999999.0,False,False,False,False,False,False,86,0.36046511627906974,0.8374778213299657,-2.438822555203633,0,0.3023255813953488,,0.16666666666666666,205,0.3902439024390244,0.8778977861007922,-3.9393610845347427,0,0.3951219512195122,,0.4166666666666667,96,0.3958333333333333,0.8904954880526875,-1.6554784436385617,18,0.5208333333333334,,0.2
d65ret,0.0,False,False,False,False,False,False,86,0.36046511627906974,0.8374778213299657,-2.438822555203633,0,0.3023255813953488,,0.16666666666666666,180,0.37777777777777777,0.879879326492682,-3.5183167933320894,0,0.3888888888888889,,0.5,90,0.3888888888888889,0.8453204790200626,-2.2862365389929966,15,0.5333333333333333,,0.2
d65win,-999999.0,False,False,False,False,False,False,108,0.5277777777777778,1.4403589454937067,3.9883958524690284,12,0.21296296296296297,0.6268184233649645,0.6666666666666666,221,0.47058823529411764,1.0656070215280238,1.5641085857123942,0,0.38461538461538464,1.5983545022619652,0.5833333333333334,94,0.4574468085106383,1.0190492645625915,0.15681277245205733,14,0.7127659574468085,15.94257891693312,0.8
d65win,0.0,False,False,False,False,False,False,108,0.5277777777777778,1.4403589454937067,3.9883958524690284,12,0.21296296296296297,0.6268184233649645,0.6666666666666666,221,0.47058823529411764,1.0656070215280238,1.5641085857123942,0,0.38461538461538464,1.5983545022619652,0.5833333333333334,94,0.4574468085106383,1.0190492645625915,0.15681277245205733,14,0.7127659574468085,15.94257891693312,0.8
d80,-999999.0,False,False,False,False,False,False,103,0.47572815533980584,1.3416552975871865,5.379588871954277,0,0.05825242718446602,0.4647195277381503,0.8333333333333334,198,0.4292929292929293,1.1981332029875882,5.575564751630023,0,0.37373737373737376,0.4483850715336275,0.5833333333333334,77,0.4805194805194805,1.490720416912089,4.303168666508619,8,0.4805194805194805,0.5809672345537824,0.8
d80,0.0,False,False,False,False,False,False,103,0.47572815533980584,1.3416552975871865,5.379588871954277,0,0.05825242718446602,0.4647195277381503,0.8333333333333334,182,0.4065934065934066,1.108977240639982,2.9725836563772594,0,0.37362637362637363,0.8410192240129566,0.5,70,0.4857142857142857,1.5326075469381633,4.286098270883976,8,0.45714285714285713,0.5832810733675488,0.8
d80_front,-999999.0,False,False,False,False,False,False,111,0.5045045045045045,1.1336536418694252,1.178873557929788,6,0.17117117117117117,2.1206684832173464,0.6666666666666666,199,0.5025125628140703,1.3452043369105617,5.122372963280801,0,0.4120603015075377,0.4880550514226493,0.5833333333333334,98,0.5204081632653061,1.0630750545045566,0.4187662396448669,19,0.6326530612244898,5.860240504294523,0.4
d80_front,0.0,False,False,False,False,False,False,111,0.5045045045045045,1.1336536418694252,1.178873557929788,6,0.17117117117117117,2.1206684832173464,0.6666666666666666,176,0.5340909090909091,1.537322842120802,6.663605063868762,0,0.4034090909090909,0.3751722942818804,0.6666666666666666,98,0.5204081632653061,1.0630750545045566,0.4187662396448669,19,0.6326530612244898,5.860240504294523,0.4
d80_zero,-999999.0,False,False,False,False,False,False,75,0.4,1.0691045223238378,0.8947709250962242,0,0.10666666666666667,2.794011215475233,0.3333333333333333,100,0.45,1.280248943191398,4.447825628794157,0,0.5,0.5620723941639256,0.4166666666666667,54,0.5925925925925926,2.252989933166391,7.976425371643232,0,0.7222222222222222,0.3134236056276137,0.8
d80_zero,0.0,False,False,False,False,False,False,75,0.4,1.0691045223238378,0.8947709250962242,0,0.10666666666666667,2.794011215475233,0.3333333333333333,52,0.40384615384615385,1.1640233744862298,1.4375822541060979,0,0.28846153846153844,1.7390309270021724,0.3333333333333333,20,0.65,2.85921471260325,3.9043508964668256,0,0.6,0.6403113004679809,0.6
cons_m2s1c45,-999999.0,False,False,False,False,True,True,128,0.421875,0.9665110224258591,-0.6316034309688536,20,0.1953125,,0.5,249,0.43775100401606426,1.1387787626897121,4.270105768353403,19,0.357429718875502,0.5854655916319436,0.5,102,0.5588235294117647,1.963455898721809,8.47973841590719,19,0.6078431372549019,0.2948204151333531,1.0
cons_m2s1c45,0.0,False,False,False,False,False,False,127,0.4251968503937008,0.982133473599888,-0.331603430968853,20,0.1968503937007874,,0.5,243,0.4403292181069959,1.1503188925827972,4.505575245089208,18,0.3497942386831276,0.5548681054044857,0.5,96,0.5729166666666666,2.134657122715376,9.021665710299594,16,0.59375,0.27711068889926527,1.0
cons_m2s2c30,-999999.0,False,False,False,False,True,True,128,0.484375,1.23996939400933,3.6256848206928534,20,0.1875,0.6895249100891954,0.8333333333333334,249,0.4899598393574297,1.2107191370081007,6.128689911607387,19,0.357429718875502,0.4079175216982578,0.5833333333333334,102,0.5098039215686274,1.555807271227849,5.332310272749715,19,0.5490196078431373,0.4688399346857256,0.8
cons_m2s2c30,0.0,False,False,False,False,True,True,128,0.484375,1.23996939400933,3.6256848206928534,20,0.1875,0.6895249100891954,0.8333333333333334,244,0.4959016393442623,1.2393796267103283,6.789632715287401,18,0.3483606557377049,0.3682084296505539,0.75,100,0.51,1.5670711931667405,5.37491993493068,19,0.55,0.4651232074645299,0.8
cons_m3allc30,-999999.0,False,False,False,False,True,True,128,0.484375,1.268676099920397,3.899806902730648,20,0.1875,0.641057381135845,0.8333333333333334,249,0.4819277108433735,1.1908849347585269,5.452129332743608,19,0.3493975903614458,0.45853644464849036,0.4166666666666667,102,0.5196078431372549,1.6952169789341638,6.181065777963125,19,0.5588235294117647,0.4044609926192755,0.8
cons_m3allc30,0.0,False,False,False,False,True,True,128,0.484375,1.268676099920397,3.899806902730648,20,0.1875,0.641057381135845,0.8333333333333334,244,0.48770491803278687,1.219569268430801,6.113072136423622,18,0.3401639344262295,0.40895967595478017,0.5833333333333334,100,0.52,1.7092169023728059,6.22367544014409,19,0.56,0.4016918979859464,0.8
cons_m3s2c30,-999999.0,False,False,False,False,True,True,128,0.484375,1.2052803542936954,3.1087126969514456,20,0.1953125,0.8041913948663127,0.8333333333333334,249,0.4819277108433735,1.2094514181282148,6.082221144738955,19,0.357429718875502,0.41103405162478657,0.5833333333333334,102,0.5,1.635477286426545,5.794471308515711,19,0.5588235294117647,0.4314457466250515,0.8
cons_m3s2c30,0.0,False,False,False,False,True,True,128,0.484375,1.2052803542936954,3.1087126969514456,20,0.1953125,0.8041913948663127,0.8333333333333334,244,0.48770491803278687,1.2381259993749858,6.7431639484189665,18,0.3483606557377049,0.37074584262275895,0.75,100,0.5,1.6483575893090958,5.837080970696675,19,0.56,0.42829626872584164,0.8
"d50ret,d65ret",-999999.0,False,False,False,False,False,False,119,0.36134453781512604,0.8719963977306789,-2.7423714370059744,11,0.29411764705882354,,0.3333333333333333,227,0.3876651982378855,0.9425055306255705,-2.0495013515405534,0,0.4052863436123348,,0.4166666666666667,101,0.40594059405940597,1.0545137912439324,0.860971201510858,19,0.42574257425742573,2.903697586647411,0.4
